#mp.idol
#./workspace/mp.idol_0/mp.idolf778f2d411ac69b1a2c6321ea4f82fe557746553.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:56:31.647568,925,324,846,2056,981,0,0,0,326121,704,697694,855,S,16803,0,215,0,45,10,0,0,40,3380396032,51253,0,825546,52648,38591,5,0
2023-01-10 05:56:31.911028,931,324,848,2056,981,0,0,0,327888,725,701833,878,S,17481,0,233,0,50,11,0,0,40,3381420032,52648,0,825804,53092,39026,5,0
2023-01-10 05:56:32.185716,939,326,851,2056,981,0,0,0,330090,751,707619,908,S,17492,0,233,0,57,11,0,0,40,3381444608,52648,0,825864,53271,39214,5,0
2023-01-10 05:56:32.440981,946,327,855,2056,981,0,0,0,331894,772,710626,932,S,18057,0,237,0,63,14,0,0,40,3382493184,53316,0,825866,53290,39214,5,0
2023-01-10 05:56:32.689761,955,329,857,2056,981,0,0,0,333912,796,715120,959,S,18181,0,237,0,66,14,0,0,40,3382747136,53290,0,825866,53290,39214,5,0
2023-01-10 05:56:32.970392,961,331,858,2056,981,0,0,0,336114,822,719525,985,S,18181,0,237,0,66,14,0,0,40,3382747136,53290,0,825866,53290,39214,5,0
2023-01-10 05:56:33.223257,967,336,862,2056,981,0,0,0,338986,857,724680,1019,S,18198,0,237,0,67,14,0,0,40,3382005760,52212,0,825742,52277,39100,5,0
2023-01-10 05:56:33.477171,973,338,864,2056,981,0,0,0,341046,882,729235,1048,S,18325,0,238,0,68,14,0,0,40,3382239232,52277,0,825742,52284,39107,5,0
2023-01-10 05:56:33.749749,981,341,868,2056,981,0,0,0,344236,920,735971,1088,S,18343,0,238,0,69,14,0,0,40,3382239232,52284,0,825742,52300,39122,5,0
2023-01-10 05:56:34.010085,987,341,869,2056,981,0,0,0,346074,942,739104,1113,S,18453,0,238,0,69,15,0,0,40,3382239232,52285,0,825742,52276,39160,5,0
2023-01-10 05:56:34.260351,993,343,874,2056,981,0,0,0,348498,971,744044,1146,S,18710,0,238,0,69,16,0,0,40,3382239232,52411,0,825742,52411,39250,5,0
2023-01-10 05:56:34.523506,1008,349,880,2056,981,0,0,0,350652,997,748601,1175,S,18783,0,238,0,69,16,0,0,40,3382239232,52412,0,825742,52449,39282,5,0
2023-01-10 05:56:34.778500,1023,359,888,2056,982,0,0,0,353274,1029,753609,1209,S,18986,0,238,0,70,17,0,0,40,3382239232,52449,0,825742,52464,39296,5,0
2023-01-10 05:56:35.044160,1049,364,896,2056,982,0,0,0,355584,1057,758281,1239,S,19288,0,238,0,72,17,0,0,40,3382239232,52464,0,825774,52464,39296,5,0
2023-01-10 05:56:35.304418,1065,372,902,2056,982,0,0,0,357894,1085,762801,1267,S,19359,0,238,0,72,17,0,0,40,3382370304,52464,0,825774,52443,39296,5,0
2023-01-10 05:56:35.580014,1078,382,912,2056,982,0,0,0,360096,1111,767586,1298,S,19395,0,238,0,73,18,0,0,40,3382370304,52443,0,825774,52459,39312,5,0
2023-01-10 05:56:35.851503,1092,393,917,2056,982,0,0,0,362892,1146,772438,1330,S,19438,0,239,0,73,18,0,0,40,3382370304,52490,0,825774,52490,39327,5,0
2023-01-10 05:56:36.117053,1104,408,925,2057,983,0,0,0,365688,1181,777355,1363,S,19438,0,239,0,73,19,0,0,40,3382370304,52490,0,825774,52490,39327,5,0
