#net.androbook.material110319162447_3b20a736
#./workspace/net.androbook.material110319162447_3b20a736_0/net.androbook.material110319162447_3b20a736.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:25:35.971632,903,317,876,1799,1261,0,0,0,102280,536,636350,758,S,4210,0,6,0,3,1,0,0,12,3291516928,27344,0,803593,27344,22194,5,0
2023-01-10 03:25:36.244710,913,317,879,1801,1261,0,0,0,104878,568,641445,791,S,4210,0,6,0,3,1,0,0,12,3291516928,27344,0,803593,27344,22194,5,0
2023-01-10 03:25:36.504521,921,317,883,1807,1261,0,0,0,107278,597,647456,821,S,4210,0,6,0,3,1,0,0,12,3291516928,27344,0,803593,27344,22194,5,0
2023-01-10 03:25:36.759520,929,318,885,1809,1262,0,0,0,109834,628,652457,853,S,4222,0,6,0,4,1,0,0,12,3291516928,27344,1,803593,27344,22194,5,0
2023-01-10 03:25:37.014897,934,321,887,1833,1262,0,0,0,112234,657,657374,886,S,4232,0,6,0,4,1,0,0,12,3291516928,27344,0,803593,27344,22194,5,0
2023-01-10 03:25:37.275321,937,322,889,1874,1262,0,0,0,115186,694,662495,921,S,4255,0,6,0,5,1,0,0,12,3291516928,27344,1,803593,27344,22194,5,0
2023-01-10 03:25:37.525525,941,322,891,1911,1262,0,0,0,117916,728,667346,953,S,4703,0,9,0,6,2,0,0,12,3292438528,28843,1,804539,29501,24225,5,0
2023-01-10 03:25:37.812202,970,322,896,1921,1264,0,0,0,120482,759,672209,985,S,5424,0,9,0,7,2,0,0,12,3295391744,29501,1,804539,29501,24225,5,0
2023-01-10 03:25:38.057215,980,323,898,1945,1265,0,0,0,122924,789,676772,1013,S,5597,0,9,0,8,2,0,0,12,3295391744,29590,0,804539,29591,24303,5,0
2023-01-10 03:25:38.326552,1009,323,902,1956,1265,0,0,0,125810,825,681738,1046,S,5657,0,9,0,9,2,0,0,12,3295391744,29591,1,804539,29607,24319,5,0
2023-01-10 03:25:38.574872,1014,323,904,1991,1265,0,0,0,128498,858,686588,1078,R,5694,0,9,0,9,2,0,0,12,3295391744,29607,1,804539,29607,24319,5,0
2023-01-10 03:25:38.835338,1022,324,906,2026,1265,0,0,0,131450,895,691583,1111,S,5694,0,9,0,10,2,0,0,12,3295391744,29607,0,804539,29607,24319,5,0
