#netveneta.eurobarchioggia
#./workspace/netveneta.eurobarchioggia_0/netveneta.eurobarchioggia.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:06:30.970880,745,297,807,1649,1448,0,0,0,854893,1020,670269,805,S,15345,0,207,0,21,13,0,0,41,3382562816,49690,0,826542,50416,37222,5,0
2023-01-10 03:06:31.231569,758,299,813,1649,1448,0,0,0,858692,1066,679035,854,S,16475,0,211,0,34,15,0,0,41,3387883520,50987,0,827120,50987,37722,5,0
2023-01-10 03:06:31.502139,759,299,814,1649,1448,0,0,0,859281,1073,680512,862,S,16475,0,211,0,34,15,0,0,41,3387883520,50987,0,827120,50987,37722,5,0
2023-01-10 03:06:31.767757,762,304,824,1650,1454,0,0,0,862117,1107,685754,897,S,16557,0,216,0,36,17,0,0,42,3393171456,50934,0,835183,56022,38400,5,0
2023-01-10 03:06:32.013094,772,305,829,1651,1455,0,0,0,864805,1140,690700,930,S,22105,0,229,0,42,19,0,0,44,3423006720,56150,1,835699,56245,38431,5,0
2023-01-10 03:06:32.296396,785,306,831,1651,1457,0,0,0,867427,1172,695556,962,S,23407,0,229,0,51,21,0,0,44,3427241984,57391,1,836741,57406,38446,5,0
2023-01-10 03:06:32.554720,796,306,834,1661,1458,0,0,0,869845,1202,700007,989,D,23560,0,230,0,65,21,0,0,44,3427299328,57406,0,836743,57406,38446,5,0
2023-01-10 03:06:32.820162,804,307,836,1691,1460,0,0,0,872113,1229,704863,1021,S,23802,0,231,0,66,21,0,0,44,3427299328,57474,1,836743,57443,38478,5,0
2023-01-10 03:06:33.075621,809,307,839,1730,1460,0,0,0,875131,1267,709833,1054,S,23911,0,231,0,67,21,0,0,44,3427299328,55825,1,836743,55842,38577,5,0
2023-01-10 03:06:33.341147,815,308,841,1772,1461,0,0,0,878281,1307,714828,1087,S,24044,0,232,0,68,21,0,0,44,3427299328,55842,0,836743,55842,38577,5,0
2023-01-10 03:06:33.601610,820,308,843,1811,1462,0,0,0,881233,1344,719758,1119,S,24220,0,232,0,69,21,0,0,44,3427299328,55858,1,836743,55874,38609,5,0
2023-01-10 03:06:33.849586,824,309,845,1847,1462,0,0,0,884095,1380,724550,1150,S,24288,0,232,0,70,21,0,0,44,3424022528,55920,0,835943,55921,38605,5,0
2023-01-10 03:06:34.115247,826,309,847,1893,1463,0,0,0,886537,1410,729450,1183,S,24318,0,233,0,70,21,0,0,44,3424022528,55937,0,835943,55937,38621,5,0
2023-01-10 03:06:34.370874,830,309,849,1935,1464,0,0,0,889291,1444,734512,1217,S,24335,0,233,0,71,21,0,0,44,3424153600,55937,0,835975,55937,38621,5,0
2023-01-10 03:06:34.641605,834,309,852,1979,1465,0,0,0,892087,1479,739395,1249,S,24439,0,233,0,71,21,0,0,44,3424153600,55955,1,835975,55955,38637,5,0
2023-01-10 03:06:34.906973,841,309,856,2017,1466,0,0,0,894577,1509,744410,1283,S,24440,0,233,0,72,22,0,0,44,3424153600,55938,1,835975,55939,38638,5,0
2023-01-10 03:06:35.162256,846,310,860,2048,1468,0,0,0,897529,1546,749606,1319,S,24527,0,233,0,72,22,0,0,44,3424153600,55939,1,835975,55939,38638,5,0
2023-01-10 03:06:35.422808,850,311,862,2092,1468,0,0,0,900325,1581,754862,1356,S,24527,0,233,0,73,22,0,0,44,3424153600,54905,1,835975,54905,38639,5,0
2023-01-10 03:06:35.683284,853,311,864,2133,1470,0,0,0,903277,1618,759926,1390,S,24528,0,233,0,73,22,0,0,44,3424153600,54905,0,835975,54905,38639,5,0
2023-01-10 03:06:35.943620,856,311,867,2172,1471,0,0,0,905899,1650,765681,1430,S,24550,0,233,0,73,22,0,0,44,3424153600,54905,1,835975,54905,38639,5,0
2023-01-10 03:06:36.209227,866,313,873,2202,1475,0,0,0,908917,1688,771292,1467,S,24561,0,233,0,73,22,0,0,44,3424153600,54905,1,835975,54905,38639,5,0
2023-01-10 03:06:36.465155,876,322,877,2210,1475,0,0,0,911581,1721,776855,1504,S,25007,0,233,0,74,23,0,0,44,3424677888,54911,0,836103,54969,38701,5,0
2023-01-10 03:06:36.729894,885,322,879,2216,1475,0,0,0,913981,1750,782885,1538,S,25008,0,233,0,75,23,0,0,44,3424677888,54969,0,836375,57265,38708,5,0
2023-01-10 03:06:37.000399,896,322,883,2221,1476,0,0,0,916811,1785,787866,1572,S,27403,0,233,0,77,25,0,0,44,3425792000,57265,0,836375,57295,38737,5,0
2023-01-10 03:06:37.256003,916,323,886,2224,1477,0,0,0,919125,1813,792469,1601,S,27542,0,233,0,78,25,0,0,44,3425792000,57295,0,836375,57295,38737,5,0
2023-01-10 03:06:37.536473,931,331,891,2235,1477,0,0,0,921615,1843,797444,1634,S,27543,0,233,0,78,25,0,0,44,3425792000,57295,0,836375,57295,38737,5,0
2023-01-10 03:06:37.794552,936,332,893,2269,1477,0,0,0,924279,1876,803432,1667,S,27544,0,233,0,78,26,0,0,44,3425792000,57295,0,836375,57295,38737,5,0
2023-01-10 03:06:38.060031,939,332,895,2313,1477,0,0,0,926745,1906,808449,1701,S,27556,0,233,0,79,26,0,0,44,3425792000,56283,1,836375,56283,38737,5,0
2023-01-10 03:06:38.315380,943,332,897,2356,1478,0,0,0,929583,1942,813172,1732,S,27711,0,233,0,80,26,0,0,44,3425792000,56315,0,836375,56315,38768,5,0
2023-01-10 03:06:38.575771,950,333,900,2390,1479,0,0,0,932469,1978,818213,1766,S,27712,0,233,0,81,26,0,0,44,3425792000,56315,1,836375,56315,38768,5,0
2023-01-10 03:06:38.836295,954,333,902,2432,1479,0,0,0,935085,2011,822804,1795,S,27873,0,233,0,81,27,0,0,44,3425792000,56317,1,836103,56373,38761,5,0
2023-01-10 03:06:39.112022,981,334,906,2441,1479,0,0,0,937617,2042,827665,1827,S,27874,0,233,0,82,27,0,0,44,3424677888,56374,0,836103,56374,38761,5,0
