#nl.appyhapps.tinnitusmassage
#./workspace/nl.appyhapps.tinnitusmassage_0/nl.appyhapps.tinnitusmassage24EA4769C5B2425D87E5F32FE36779B0024A4C95.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:20:20.663571,874,317,881,1926,1170,0,0,0,1038229,1158,661459,805,S,13222,0,17,0,59,5,0,0,15,3329134592,39797,1,812777,39797,27690,5,0
2023-01-10 02:20:20.918083,883,319,885,1926,1170,0,0,0,1041055,1192,668327,845,S,13222,0,17,0,59,5,0,0,15,3329134592,39797,1,812777,39797,27690,5,0
2023-01-10 02:20:21.172941,891,322,890,1941,1171,0,0,0,1043629,1224,673199,878,S,13667,0,18,0,65,6,0,0,15,3329830912,40006,0,812951,40006,27886,5,0
2023-01-10 02:20:21.458449,902,322,893,1956,1171,0,0,0,1046237,1256,678143,910,S,13880,0,18,0,82,8,0,0,15,3330396160,40041,1,813085,40041,27918,5,0
2023-01-10 02:20:21.722693,915,323,895,1962,1171,0,0,0,1048925,1289,683375,947,S,13882,0,18,0,88,8,0,0,15,3330396160,40041,0,813085,40041,27918,5,0
2023-01-10 02:20:21.982994,926,323,899,1972,1172,0,0,0,1051721,1324,688163,978,S,13906,0,19,0,89,9,0,0,15,3330396160,40241,1,813085,40257,28089,5,0
2023-01-10 02:20:22.243320,932,323,901,2005,1172,0,0,0,1054409,1357,693239,1013,S,13936,0,19,0,90,9,0,0,15,3330396160,40257,1,813086,40257,28089,5,0
2023-01-10 02:20:22.514948,951,324,904,2026,1174,0,0,0,1057115,1391,698052,1045,S,13946,0,20,0,92,11,0,0,15,3330400256,39550,0,813086,39550,28089,5,0
2023-01-10 02:20:22.775332,974,325,908,2041,1174,0,0,0,1059425,1419,702598,1073,S,13972,0,20,0,95,12,0,0,15,3330400256,39550,1,813086,39555,28089,5,0
2023-01-10 02:20:23.024789,998,328,913,2043,1174,0,0,0,1061669,1446,707120,1101,S,14041,0,20,0,97,14,0,0,15,3330400256,39554,0,813086,39554,28089,5,0
2023-01-10 02:20:23.283387,1011,329,916,2059,1174,0,0,0,1064069,1475,712004,1133,S,14079,0,20,0,98,14,0,0,15,3330400256,39554,0,813086,39526,28089,5,0
2023-01-10 02:20:23.548959,1032,330,920,2071,1174,0,0,0,1066601,1506,716799,1164,S,14080,0,20,0,100,15,0,0,15,3330400256,39526,1,812593,39005,27600,5,0
2023-01-10 02:20:23.804319,1057,330,925,2082,1174,0,0,0,1069331,1540,721636,1196,S,14680,0,24,0,103,16,0,0,15,3328602112,39657,0,812757,40081,27879,5,0
