#nuu643.JJK73f
#./workspace/nuu643.JJK73f_0/app3842.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:09:29.708557,544,86,429,1662,848,0,0,0,248409,1452,701679,1526,S,5756,0,18,0,25,4,0,0,14,3289468928,24703,0,803093,24703,19121,5,0
2023-01-11 16:09:29.984226,549,91,433,1671,848,0,0,0,252782,1504,710381,1586,S,5757,0,18,0,25,4,0,0,14,3289468928,24703,0,803093,24769,19184,5,0
2023-01-11 16:09:30.257039,563,93,438,1684,849,0,0,0,255824,1542,716949,1625,S,5773,0,18,0,26,4,0,0,14,3289468928,24769,0,803093,24769,19184,5,0
2023-01-11 16:09:30.514675,568,97,443,1709,849,0,0,0,258974,1582,721934,1658,S,5776,0,18,0,26,4,0,0,14,3289468928,24769,0,803093,24772,19184,5,0
2023-01-11 16:09:30.775015,574,103,451,1729,849,0,0,0,261662,1615,727074,1694,S,5862,0,18,0,27,4,0,0,14,3289468928,24772,0,803094,25029,19388,5,0
2023-01-11 16:09:31.035484,582,108,458,1741,852,0,0,0,264335,1648,731688,1723,S,5959,0,18,0,28,5,0,0,14,3289473024,25029,1,803094,25030,19388,5,0
2023-01-11 16:09:31.306538,600,113,471,1743,860,0,0,0,267657,1688,738453,1765,S,6039,0,18,0,28,6,0,0,14,3289473024,25096,1,803094,25129,19484,5,0
2023-01-11 16:09:31.562068,626,117,481,1744,860,0,0,0,271474,1733,744066,1811,S,6113,0,18,0,29,7,0,0,14,3289473024,25129,1,803094,25129,19484,5,0
2023-01-11 16:09:31.822130,644,124,493,1744,860,0,0,0,274342,1768,749706,1850,S,6152,0,18,0,30,7,0,0,14,3289473024,25129,1,803094,25129,19484,5,0
2023-01-11 16:09:32.098466,660,129,505,1744,862,0,0,0,276652,1796,754285,1879,S,6178,0,18,0,30,7,0,0,14,3289473024,25129,1,803094,25129,19484,5,0
2023-01-11 16:09:32.343601,675,135,517,1745,863,0,0,0,305922,1854,761605,1923,S,6196,0,18,0,31,7,0,0,14,3289473024,25129,1,803094,25130,19484,5,0
2023-01-11 16:09:32.601721,691,142,524,1746,863,0,0,0,371636,1939,767639,1972,S,6230,0,18,0,31,7,0,0,14,3289473024,25130,1,803094,25130,19484,5,0
2023-01-11 16:09:32.870699,711,150,531,1746,864,0,0,0,374276,1972,772463,2004,S,6361,0,18,0,31,7,0,0,14,3289473024,25132,1,803190,25133,19484,5,0
2023-01-11 16:09:33.130929,732,159,536,1746,864,0,0,0,376520,1999,777131,2034,S,6581,0,18,0,32,7,0,0,14,3289866240,25134,1,803190,25134,19484,5,0
2023-01-11 16:09:33.396403,757,160,541,1755,864,0,0,0,379118,2031,781937,2065,S,6607,0,18,0,32,8,0,0,14,3289866240,25134,1,803190,25134,19484,5,0
2023-01-11 16:09:33.656922,780,160,543,1775,864,0,0,0,404543,2088,791707,2113,S,6630,0,18,0,33,8,0,0,14,3289866240,25134,1,803190,25134,19484,5,0
2023-01-11 16:09:33.917209,801,162,547,1790,866,0,0,0,524877,2217,814369,2198,S,6660,0,18,0,33,8,0,0,14,3289866240,25134,1,803190,25094,19484,5,0
2023-01-11 16:09:34.167454,824,163,550,1807,866,0,0,0,527187,2245,819037,2228,S,6673,0,18,0,33,8,0,0,14,3289866240,25094,1,803190,25097,19484,5,0
2023-01-11 16:09:34.443208,831,165,553,1839,867,0,0,0,544175,2323,858586,2304,S,6786,0,18,0,33,8,0,0,14,3289866240,25097,1,803190,25097,19484,5,0
2023-01-11 16:09:34.713714,838,173,556,1854,870,0,0,0,593903,2389,864202,2348,S,6917,0,18,0,34,8,0,0,14,3289866240,25100,1,803190,25105,19484,5,0
2023-01-11 16:09:34.965435,849,174,561,1855,872,0,0,0,596369,2419,868984,2379,S,6998,0,18,0,34,8,0,0,14,3289866240,25105,1,803190,25105,19484,5,0
2023-01-11 16:09:35.249252,863,174,564,1869,872,0,0,0,599123,2453,874144,2415,S,7043,0,18,0,35,9,0,0,14,3289866240,25106,1,803190,25106,19484,5,0
2023-01-11 16:09:35.488815,878,175,568,1878,873,0,0,0,600857,2473,878783,2445,S,7153,0,18,0,35,10,0,0,14,3289866240,25108,1,803190,25108,19484,5,0
2023-01-11 16:09:35.749427,897,175,571,1898,873,0,0,0,603587,2507,883980,2482,S,7236,0,18,0,36,10,0,0,14,3289866240,25125,1,803190,25126,19500,5,0
2023-01-11 16:09:36.021165,899,175,573,1943,873,0,0,0,606581,2545,889358,2516,S,7314,0,18,0,37,10,0,0,14,3289866240,25126,1,803190,25161,19532,5,0
2023-01-11 16:09:36.286537,901,176,574,1995,873,0,0,0,609245,2578,894754,2551,S,7666,0,18,0,37,10,0,0,14,3289866240,25165,1,803190,25167,19532,5,0
2023-01-11 16:09:36.551412,912,176,577,2026,873,0,0,0,612089,2613,900557,2591,S,7979,0,18,0,39,10,0,0,14,3289866240,25172,0,803190,25172,19532,5,0
2023-01-11 16:09:36.795800,925,176,581,2046,873,0,0,0,614621,2644,906798,2628,S,7979,0,18,0,39,10,0,0,14,3289866240,25172,0,803190,25173,19532,5,0
2023-01-11 16:09:37.066603,933,177,583,2092,873,0,0,0,617399,2678,912157,2665,S,8213,0,18,0,41,10,0,0,14,3289866240,25176,0,803190,25176,19532,5,0
