#org.SIMInformation
#./workspace/org.SIMInformation_0/app3137.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:39:14.546099,555,64,441,737,595,0,0,0,484576,1817,1252858,1967,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:14.813353,562,64,443,737,595,0,0,0,485570,1829,1255873,1978,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:15.068774,574,65,448,737,595,0,0,0,489560,1877,1266208,2033,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:15.594972,597,69,458,737,596,0,0,0,497314,1973,1290994,2138,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:15.330331,595,69,457,737,596,0,0,0,496569,1964,1289144,2127,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:15.848563,606,71,464,737,596,0,0,0,500500,2012,1297325,2180,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:16.111252,615,74,469,737,596,0,0,0,505243,2068,1307764,2240,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:16.376578,624,77,471,737,596,0,0,0,510777,2140,1344499,2314,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:16.621678,636,81,478,737,596,0,0,0,546501,2231,1358182,2385,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:16.913052,647,85,487,739,597,0,0,0,612238,2331,1368680,2460,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:17.154523,655,88,493,740,598,0,0,0,622208,2452,1388449,2582,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:17.428499,662,91,500,740,598,0,0,0,627416,2517,1412472,2654,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:17.695450,667,94,505,740,598,0,0,0,649495,2580,1422951,2715,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
2023-01-11 23:39:17.955615,678,100,512,740,600,0,0,0,725504,2697,1438590,2808,S,1995,361,2,0,2,1,0,0,12,3282403328,23434,1,801368,23434,18953,5,0
