#org.andhat.WebCamFree
#./workspace/org.andhat.WebCamFree_0/app5409.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:57:21.740928,821,199,666,1041,683,0,0,0,692435,896,625971,762,D,7698,0,195,0,57,15,0,0,23,3325775872,32860,1,811957,32860,25610,5,0
2023-01-11 02:57:22.017037,829,201,670,1041,683,0,0,0,694995,927,631380,797,R,8067,0,238,0,59,19,0,0,28,3331608576,34450,1,816380,39051,30202,5,0
2023-01-11 02:57:22.280576,836,202,673,1041,683,0,0,0,697867,962,636863,833,S,10098,0,282,0,67,26,0,0,38,3345014784,39623,1,817387,40990,32148,5,0
2023-01-11 02:57:22.537262,849,204,680,1041,684,0,0,0,701014,1000,646105,876,S,11439,0,290,0,72,29,0,0,38,3348017152,40990,1,817387,40990,32148,5,0
2023-01-11 02:57:22.787590,855,205,683,1041,684,0,0,0,702847,1022,650311,901,S,11439,0,290,0,72,29,0,0,38,3348017152,40990,1,817387,40990,32148,5,0
2023-01-11 02:57:23.053441,859,206,687,1041,684,0,0,0,704619,1043,653471,926,S,11441,0,290,0,72,29,0,0,38,3348017152,40990,1,817387,40918,32201,5,0
2023-01-11 02:57:23.309013,864,210,697,1041,684,0,0,0,707818,1081,660670,971,S,11457,0,291,0,74,30,0,0,38,3348017152,40918,1,819149,41195,32438,5,0
2023-01-11 02:57:23.570555,868,212,700,1041,684,0,0,0,709221,1098,663072,989,S,11517,0,300,0,76,30,0,0,38,3355234304,41195,1,819149,41512,32750,5,0
2023-01-11 02:57:23.823650,874,216,703,1041,684,0,0,0,711555,1126,669228,1025,S,11640,0,300,0,77,31,0,0,39,3356454912,41513,1,819671,41547,32782,5,0
2023-01-11 02:57:24.094228,880,220,706,1041,684,0,0,0,713955,1155,674059,1057,S,11884,0,300,0,77,31,0,0,39,3357372416,41547,1,819671,41547,32782,5,0
2023-01-11 02:57:24.369999,886,225,711,1042,684,0,0,0,717049,1193,679480,1095,S,11904,0,300,0,78,31,0,0,39,3357372416,41547,0,819671,41919,33130,5,0
2023-01-11 02:57:24.626091,887,226,715,1044,684,0,0,0,719133,1218,684156,1125,S,11916,0,302,0,79,31,0,0,39,3357372416,41919,0,819671,41919,33130,5,0
2023-01-11 02:57:24.870632,892,230,720,1046,686,0,0,0,721731,1250,688842,1155,S,11916,0,302,0,79,31,0,0,39,3357372416,41919,0,819671,41920,33130,5,0
2023-01-11 02:57:25.126042,897,233,725,1046,690,0,0,0,723975,1277,693364,1183,S,12036,0,302,0,80,32,0,0,39,3357372416,41920,0,819671,42210,33335,5,0
2023-01-11 02:57:25.388020,903,238,734,1048,691,0,0,0,727168,1316,699769,1220,S,12165,0,302,0,81,32,0,0,39,3357372416,42210,0,819671,42250,33368,5,0
2023-01-11 02:57:25.648449,915,240,740,1048,701,0,0,0,729322,1342,704409,1252,S,12183,0,302,0,82,32,0,0,39,3357372416,42210,0,819671,42277,33384,5,0
2023-01-11 02:57:25.914446,947,244,755,1048,701,0,0,0,732421,1380,710736,1288,S,12447,0,302,0,84,33,0,0,39,3357372416,42269,1,819671,42269,33384,5,0
2023-01-11 02:57:26.180174,962,246,763,1048,701,0,0,0,733758,1396,713361,1307,S,12448,0,302,0,84,33,0,0,39,3357372416,42269,1,819671,42270,33384,5,0
2023-01-11 02:57:26.432890,978,255,776,1049,703,0,0,0,736002,1423,717948,1336,S,12530,0,302,0,85,33,0,0,39,3357372416,42270,1,819671,42270,33384,5,0
2023-01-11 02:57:26.709160,994,259,789,1050,705,0,0,0,738468,1453,722757,1368,S,12549,0,302,0,85,34,0,0,39,3357372416,42270,1,819671,42270,33384,5,0
2023-01-11 02:57:26.964263,1015,263,804,1050,705,0,0,0,740424,1476,727190,1395,S,12549,0,302,0,85,34,0,0,39,3357372416,42270,1,819671,42270,33384,5,0
2023-01-11 02:57:27.240055,1033,270,815,1051,705,0,0,0,742824,1505,732025,1427,S,12552,0,302,0,85,35,0,0,39,3357372416,42270,1,819671,42335,33384,5,0
2023-01-11 02:57:27.510550,1049,276,827,1051,705,0,0,0,745224,1534,736746,1458,S,12631,0,302,0,86,35,0,0,39,3357372416,42270,1,819671,42225,33384,5,0
2023-01-11 02:57:27.775983,1067,286,842,1051,706,0,0,0,747690,1564,741647,1491,S,12672,0,302,0,86,36,0,0,39,3357372416,42264,1,819671,42265,33413,5,0
2023-01-11 02:57:28.042444,1082,297,853,1052,706,0,0,0,750472,1598,746638,1525,S,12875,0,302,0,88,36,0,0,39,3357372416,42266,1,819671,42266,33413,5,0
2023-01-11 02:57:28.322642,1104,305,866,1052,706,0,0,0,752532,1623,751118,1552,S,12875,0,302,0,88,36,0,0,39,3357372416,42266,1,819671,42282,33428,5,0
2023-01-11 02:57:28.581975,1118,312,875,1052,706,0,0,0,754998,1653,755862,1583,S,12920,0,302,0,89,36,0,0,39,3357372416,42282,1,819671,42282,33428,5,0
2023-01-11 02:57:28.837325,1138,320,883,1052,706,0,0,0,757332,1681,761002,1619,S,12920,0,302,0,90,36,0,0,39,3357372416,42282,1,819671,42282,33428,5,0
2023-01-11 02:57:29.092720,1154,326,890,1054,706,0,0,0,759765,1710,765848,1651,S,12927,0,302,0,90,36,0,0,39,3357372416,42339,1,819671,42339,33462,5,0
2023-01-11 02:57:29.358970,1161,329,893,1055,706,0,0,0,762189,1739,771420,1689,S,12927,0,302,0,90,36,0,0,39,3357372416,42339,1,819671,42339,33462,5,0
2023-01-11 02:57:29.624289,1168,333,897,1055,706,0,0,0,764749,1770,778067,1725,S,12954,0,302,0,91,37,0,0,39,3357372416,42429,1,819671,42429,33540,5,0
2023-01-11 02:57:29.874834,1172,333,899,1055,706,0,0,0,766455,1790,781538,1750,S,12978,0,302,0,91,37,0,0,39,3357372416,42429,1,819671,42429,33540,5,0
2023-01-11 02:57:30.148968,1183,334,903,1055,706,0,0,0,769043,1821,787678,1786,S,13013,0,302,0,92,37,0,0,39,3357372416,42429,1,819671,42449,33554,5,0
2023-01-11 02:57:30.645498,1234,336,912,1055,706,0,0,0,772328,1860,796271,1833,S,13080,0,302,0,93,37,0,0,39,3357372416,42449,1,819671,42449,33554,5,0
2023-01-11 02:57:30.399109,1233,336,912,1055,706,0,0,0,773854,1878,798986,1853,S,13080,0,302,0,93,37,0,0,39,3357372416,42449,1,819671,42466,33570,5,0
2023-01-11 02:57:30.908431,1244,336,917,1055,706,0,0,0,774443,1885,800397,1860,S,13113,0,302,0,93,37,0,0,39,3357372416,42449,1,819671,42466,33570,5,0
