#org.catinthedark.audiothermometer
#./workspace/org.catinthedark.audiothermometer_0/org.catinthedark.audiothermometer.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:33:40.635855,828,296,829,1862,1219,0,0,0,541735,814,680082,835,S,12776,0,7,0,51,4,0,0,20,3333726208,37625,0,813918,37625,26397,5,0
2023-01-10 03:33:40.892102,842,302,835,1864,1219,0,0,0,544873,852,687071,879,S,12825,0,7,0,53,4,0,0,20,3333890048,37685,0,813958,37685,26397,5,0
2023-01-10 03:33:41.157568,858,309,841,1881,1220,0,0,0,547669,887,692218,914,S,12938,0,8,0,56,4,0,0,20,3332907008,37269,0,813738,37331,26464,5,0
2023-01-10 03:33:41.425511,869,316,846,1896,1221,0,0,0,550135,917,697043,946,R,13033,0,8,0,59,4,0,0,20,3333234688,37331,0,813798,36852,26464,5,0
2023-01-10 03:33:41.690930,886,318,850,1919,1221,0,0,0,553087,954,702165,981,S,13107,0,8,0,62,5,0,0,20,3333480448,36852,1,813858,37049,26559,5,0
2023-01-10 03:33:41.951260,900,319,854,1948,1221,0,0,0,555907,989,707091,1013,S,13396,0,8,0,65,5,0,0,20,3333726208,37049,1,813918,37174,26622,5,0
2023-01-10 03:33:42.213012,918,320,856,1967,1221,0,0,0,558547,1022,711675,1042,S,13543,0,8,0,67,6,0,0,20,3333971968,37236,1,813974,37236,26622,5,0
2023-01-10 03:33:42.463311,935,320,859,1987,1221,0,0,0,560923,1051,716440,1073,S,13687,0,8,0,70,6,0,0,20,3332907008,36932,1,813718,36932,26622,5,0
2023-01-10 03:33:42.723815,949,321,864,2012,1222,0,0,0,563365,1081,721313,1106,S,13821,0,8,0,72,7,0,0,20,3333152768,36994,0,813778,36994,26622,5,0
2023-01-10 03:33:42.999634,961,321,867,2045,1222,0,0,0,565699,1109,726324,1140,S,13931,0,8,0,75,7,0,0,20,3333398528,37054,0,813838,37054,26622,5,0
