#org.eurekainfosoluciones.btmanager.free
#./workspace/org.eurekainfosoluciones.btmanager.free_0/org.eurekainfosoluciones.btmanager.free.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:08:14.660945,912,286,850,744,1058,0,0,0,249205,562,642112,679,S,9622,0,2,0,12,2,0,0,17,3320115200,34851,1,810575,34851,24230,5,0
2023-01-10 03:08:14.935613,920,289,856,744,1058,0,0,0,251911,596,646649,707,S,9622,0,2,0,12,2,0,0,17,3320115200,34851,1,811695,35278,25555,5,0
2023-01-10 03:08:15.191871,933,292,859,744,1059,0,0,0,254453,626,652902,738,D,10173,0,7,0,14,3,0,0,21,3324702720,35278,1,814468,40076,27283,5,0
2023-01-10 03:08:15.441289,940,293,863,744,1059,0,0,0,257387,662,659333,775,S,13884,0,8,0,26,6,0,0,21,3336085504,40133,1,816566,42667,29876,5,0
2023-01-10 03:08:15.701416,947,295,866,744,1059,0,0,0,260166,695,664625,810,S,16349,0,8,0,31,7,0,0,20,3340128256,41983,1,815463,41983,29129,5,0
2023-01-10 03:08:15.967570,953,296,868,744,1059,0,0,0,261261,708,666480,823,S,16353,0,10,0,31,7,0,0,20,3340128256,41983,1,815466,41983,29129,5,0
2023-01-10 03:08:16.235012,958,297,871,744,1059,0,0,0,266244,768,677251,885,S,16573,0,11,0,50,7,0,0,20,3340673024,42318,1,815620,40683,29407,5,0
2023-01-10 03:08:16.510742,984,304,875,744,1059,0,0,0,265899,764,676206,882,S,16469,0,11,0,50,7,0,0,20,3340279808,42112,1,815620,40683,29407,5,0
2023-01-10 03:08:17.016529,1031,308,884,744,1059,0,0,0,268948,800,682650,923,S,16633,0,12,0,70,10,0,0,20,3340779520,40683,0,815672,40682,29407,5,0
2023-01-10 03:08:16.765926,1050,310,888,744,1059,0,0,0,270922,824,686633,945,S,16647,0,12,0,80,11,0,0,20,3340886016,40682,0,815672,40663,29407,5,0
2023-01-10 03:08:17.539736,1097,313,897,745,1059,0,0,0,274530,867,694036,991,S,16663,0,12,0,92,13,0,0,20,3340992512,40663,0,815698,40663,29407,5,0
2023-01-10 03:08:17.286923,1074,311,893,744,1059,0,0,0,274280,864,693880,989,S,16661,0,12,0,89,12,0,0,20,3340992512,40668,0,815698,40663,29407,5,0
2023-01-10 03:08:17.815471,1117,316,901,745,1059,0,0,0,277408,902,699918,1026,S,16707,0,12,0,101,13,0,0,20,3341099008,40663,0,815698,40663,29407,5,0
