#org.gameabsg
#./workspace/org.gameabsg_0/app5326.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 17:47:41.797271,566,117,490,1375,936,0,0,0,7153457,6020,721252,1755,S,8392,0,276,0,15,10,0,0,34,3334729728,34885,1,813895,35145,28105,5,0
2023-01-11 17:47:42.068084,572,119,492,1375,936,0,0,0,7157461,6055,727888,1795,S,8406,0,281,0,15,11,0,0,33,3333713920,35145,1,813895,35145,28105,5,0
2023-01-11 17:47:42.331034,577,121,495,1375,936,0,0,0,7160059,6087,732805,1828,S,8406,0,281,0,15,11,0,0,33,3333713920,35145,1,813895,35145,28105,5,0
2023-01-11 17:47:42.610919,586,123,498,1375,936,0,0,0,7162567,6118,737541,1859,S,8406,0,281,0,15,11,0,0,33,3333713920,35145,1,813895,35145,28105,5,0
2023-01-11 17:47:42.880587,594,126,501,1375,936,0,0,0,7223915,6193,744467,1908,S,8406,0,281,0,15,11,0,0,33,3333713920,35145,1,813895,35162,28121,5,0
2023-01-11 17:47:43.145716,604,129,505,1381,937,0,0,0,7226497,6225,764311,1957,S,8451,0,281,0,15,11,0,0,33,3333713920,35162,1,813895,35162,28121,5,0
2023-01-11 17:47:43.401080,618,130,506,1402,938,0,0,0,7300665,6331,771511,2014,S,8464,0,281,0,15,11,0,0,33,3333713920,35162,1,813895,35162,28121,5,0
2023-01-11 17:47:43.661463,625,132,510,1432,941,0,0,0,7318634,6412,810102,2090,S,8471,0,281,0,16,11,0,0,33,3333713920,35162,1,817538,36943,29503,5,0
2023-01-11 17:47:43.928150,638,134,518,1447,943,0,0,0,7325590,6467,818001,2148,S,16025,0,310,0,29,18,0,0,46,3382726656,44346,0,827853,50569,37574,5,0
2023-01-11 17:47:44.188917,650,135,524,1453,945,0,0,0,7328719,6507,824430,2191,S,18737,0,342,0,42,22,0,0,45,3390885888,50635,1,827879,50684,37623,5,0
2023-01-11 17:47:44.455497,664,136,527,1456,945,0,0,0,7331605,6543,831492,2236,S,19112,0,345,0,51,25,0,0,45,3390566400,50345,1,827777,50413,37594,5,0
2023-01-11 17:47:44.701068,673,137,530,1456,945,0,0,0,7333583,6567,836717,2267,S,19245,0,345,0,59,27,0,0,45,3390574592,50413,1,827777,50414,37594,5,0
2023-01-11 17:47:44.979190,684,140,532,1458,945,0,0,0,7336341,6601,842449,2307,S,19379,0,345,0,67,28,0,0,45,3390824448,50521,1,827838,50619,37690,5,0
2023-01-11 17:47:45.239635,698,140,535,1461,945,0,0,0,7338825,6632,847442,2338,S,19572,0,345,0,75,30,0,0,45,3390824448,50621,1,827966,50625,37690,5,0
2023-01-11 17:47:45.490923,714,140,539,1465,945,0,0,0,7341761,6669,852863,2374,S,19945,0,345,0,88,31,0,0,45,3391348736,50642,1,827966,50725,37766,5,0
2023-01-11 17:47:45.758923,726,140,542,1476,945,0,0,0,7344343,6701,858070,2408,S,20350,0,345,0,98,32,0,0,45,3391356928,50534,0,827968,50535,37766,5,0
2023-01-11 17:47:46.008984,739,140,545,1487,945,0,0,0,7347099,6735,864376,2452,S,20397,0,345,0,105,33,0,0,45,3391356928,50598,1,829584,51876,37905,5,0
2023-01-11 17:47:46.269323,752,141,547,1502,946,0,0,0,7349657,6767,870106,2489,S,22216,0,345,0,126,35,0,0,45,3398115328,51895,1,829648,51977,37932,5,0
2023-01-11 17:47:46.544053,769,141,550,1511,946,0,0,0,7352853,6808,876774,2535,S,22377,0,345,0,146,36,0,0,45,3398238208,51978,1,830164,52296,37932,5,0
2023-01-11 17:47:46.783711,781,141,552,1516,946,0,0,0,7355459,6840,882795,2569,S,22891,0,345,0,155,36,0,0,45,3400359936,52296,1,831202,53024,37948,5,0
