#org.ifsc.youth14
#./workspace/org.ifsc.youth14_0/org.ifsc.youth14A99B10CBFD83ACC1303136839ADD08F68B7EDFE7.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:35:24.341172,851,261,826,1167,1014,0,0,0,586163,890,683037,860,S,16414,0,202,0,35,8,0,0,39,3380310016,50417,1,826249,51432,37281,5,0
2023-01-10 03:35:24.606743,859,261,828,1168,1014,0,0,0,588403,917,687479,886,S,17426,0,205,0,38,10,0,0,39,3384315904,51432,1,827295,51439,37285,5,0
2023-01-10 03:35:24.862958,873,262,833,1168,1014,0,0,0,590671,944,692244,917,S,17454,0,206,0,39,11,0,0,41,3388592128,51439,1,827051,51537,37283,5,0
2023-01-10 03:35:25.128967,883,263,838,1168,1014,0,0,0,593888,983,699834,954,S,17695,0,207,0,41,12,0,0,42,3387600896,50754,1,826759,51006,36942,5,0
2023-01-10 03:35:25.374908,891,264,842,1168,1014,0,0,0,596123,1010,704420,983,S,17708,0,207,0,42,12,0,0,43,3388723200,50993,1,826827,51276,37092,5,0
2023-01-10 03:35:25.642551,898,265,845,1168,1014,0,0,0,598523,1039,709349,1015,S,19133,0,207,0,49,13,0,0,43,3386683392,51276,1,826923,51401,37266,5,0
2023-01-10 03:35:25.895195,906,266,847,1168,1014,0,0,0,600139,1058,712220,1037,S,19251,0,207,0,50,14,0,0,43,3387076608,51401,1,826923,51123,37414,5,0
2023-01-10 03:35:26.167757,908,270,850,1168,1015,0,0,0,602563,1087,717365,1073,S,19252,0,207,0,50,14,0,0,43,3387076608,51123,1,826923,50795,37498,5,0
2023-01-10 03:35:26.421142,913,272,854,1168,1015,0,0,0,604717,1113,721886,1101,S,19286,0,209,0,50,15,0,0,43,3387076608,50795,1,826923,50795,37498,5,0
2023-01-10 03:35:26.691670,920,277,860,1168,1018,0,0,0,607267,1145,726383,1129,S,19345,0,210,0,50,15,0,0,43,3387076608,50952,1,826923,50952,37624,5,0
2023-01-10 03:35:26.961964,939,282,865,1169,1019,0,0,0,609511,1172,731192,1161,S,19345,0,210,0,50,15,0,0,43,3387076608,50952,1,826923,50952,37624,5,0
2023-01-10 03:35:27.242368,952,294,877,1171,1025,0,0,0,611911,1201,735987,1192,S,19366,0,211,0,51,15,0,0,43,3387076608,50952,0,826649,50951,37624,5,0
2023-01-10 03:35:27.482560,983,298,883,1172,1025,0,0,0,614717,1235,742274,1227,S,20917,0,229,0,54,16,0,0,42,3394342912,52165,1,832307,55750,38113,5,0
2023-01-10 03:35:27.753939,1003,300,886,1172,1025,0,0,0,616465,1256,745259,1250,S,24713,0,231,0,65,16,0,0,44,3409129472,55750,1,833337,56671,38113,5,0
2023-01-10 03:35:28.005184,1022,305,894,1173,1025,0,0,0,619153,1289,750183,1283,S,25682,0,233,0,81,16,0,0,44,3413389312,56671,1,833393,56684,38126,5,0
2023-01-10 03:35:28.256212,1044,311,899,1173,1026,0,0,0,621727,1321,754927,1314,S,25762,0,233,0,97,18,0,0,44,3413577728,56717,1,834001,56874,38306,5,0
2023-01-10 03:35:28.527056,1073,314,909,1174,1026,0,0,0,624037,1349,759474,1342,S,26223,0,234,0,107,19,0,0,44,3416068096,56874,1,834001,56892,38322,5,0
2023-01-10 03:35:28.771249,1087,321,916,1174,1027,0,0,0,626125,1374,763775,1367,S,26469,0,234,0,107,20,0,0,44,3416068096,56892,1,834001,56201,38402,5,0
2023-01-10 03:35:29.032399,1099,333,928,1176,1027,0,0,0,628813,1407,768724,1400,S,26583,0,234,0,109,20,0,0,44,3416068096,56201,0,834001,56201,38402,5,0
2023-01-10 03:35:29.292847,1105,340,939,1196,1027,0,0,0,631057,1434,773404,1430,S,26587,0,234,0,109,21,0,0,44,3416068096,56201,1,834001,56196,38402,5,0
2023-01-10 03:35:29.558527,1128,342,945,1209,1028,0,0,0,633745,1467,778264,1462,S,26846,0,234,0,118,21,0,0,44,3412791296,56220,1,833201,56208,38390,5,0
2023-01-10 03:35:29.818779,1141,342,948,1237,1029,0,0,0,636145,1496,783280,1496,S,29944,0,235,0,125,23,0,0,44,3420213248,58034,0,835013,58037,38418,5,0
2023-01-10 03:35:30.067817,1164,343,952,1248,1029,0,0,0,638917,1531,787895,1525,S,30198,0,235,0,138,24,0,0,44,3420213248,58039,1,835013,58039,38418,5,0
2023-01-10 03:35:30.338524,1188,343,956,1263,1029,0,0,0,641647,1565,792784,1557,S,30267,0,235,0,146,24,0,0,44,3420213248,58061,1,835013,57411,38447,5,0
2023-01-10 03:35:30.599007,1210,343,960,1271,1029,0,0,0,644023,1594,798766,1591,S,30616,0,235,0,156,26,0,0,44,3420213248,57228,1,835013,57228,38447,5,0
2023-01-10 03:35:30.855230,1217,344,963,1303,1029,0,0,0,646909,1630,803699,1623,S,30618,0,235,0,157,26,0,0,44,3420213248,57228,0,835013,57102,38447,5,0
