#pjbang.myydss
#./workspace/pjbang.myydss_0/app440.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:09:01.525077,729,67,399,818,1083,0,0,0,1116145,1215,682365,815,S,3441,0,0,0,3,1,0,0,11,3287826432,25951,1,802692,25951,21001,5,0
2023-01-11 12:09:01.796183,734,69,403,818,1083,0,0,0,1118971,1249,689316,856,S,3441,0,0,0,3,1,0,0,11,3287826432,25951,1,802692,25951,21001,5,0
2023-01-11 12:09:02.065039,744,71,407,818,1083,0,0,0,1121461,1279,694516,891,S,3460,0,0,0,3,1,0,0,11,3287826432,25951,1,802692,26145,21183,5,0
2023-01-11 12:09:02.324532,750,74,409,818,1083,0,0,0,1124191,1313,699245,922,S,3468,0,0,0,4,1,0,0,11,3287826432,26146,1,803840,30170,24197,5,0
2023-01-11 12:09:02.589126,756,77,412,818,1083,0,0,0,1126907,1346,704176,955,S,6518,0,22,0,7,2,0,0,13,3300708352,31949,1,805901,31828,25750,5,0
2023-01-11 12:09:02.869049,769,79,415,818,1083,0,0,0,1129520,1377,710528,992,S,6570,0,22,0,8,2,0,0,13,3300970496,31828,1,804656,30655,24576,5,0
2023-01-11 12:09:03.114442,777,80,417,818,1083,0,0,0,1130611,1390,712749,1006,S,6573,0,22,0,8,2,0,0,13,3295870976,30655,1,804656,30655,24576,5,0
2023-01-11 12:09:03.391181,786,82,420,818,1083,0,0,0,1133059,1419,717841,1040,S,6573,0,22,0,9,2,0,0,13,3295870976,30655,1,804656,30655,24576,5,0
2023-01-11 12:09:03.635849,792,85,421,818,1083,0,0,0,1135459,1448,722686,1072,S,6573,0,22,0,9,2,0,0,13,3295870976,30655,1,804656,30655,24576,5,0
2023-01-11 12:09:03.901224,797,89,424,818,1083,0,0,0,1138123,1481,727638,1106,S,6573,0,22,0,9,3,0,0,13,3295870976,30655,1,804656,30655,24576,5,0
2023-01-11 12:09:04.161744,805,92,427,818,1083,0,0,0,1140457,1509,732327,1136,S,6573,0,22,0,9,3,0,0,13,3295870976,30655,1,804656,30655,24576,5,0
2023-01-11 12:09:04.443382,812,98,429,818,1083,0,0,0,1143503,1547,737329,1170,S,6584,0,22,0,10,3,0,0,13,3295870976,30655,1,804657,30655,24576,5,0
2023-01-11 12:09:04.674779,820,101,433,819,1083,0,0,0,1145563,1572,741842,1198,S,6589,0,23,0,10,4,0,0,13,3295875072,30655,1,804657,30655,24576,5,0
2023-01-11 12:09:04.940597,827,105,437,828,1083,0,0,0,1148439,1607,747938,1233,S,6621,0,23,0,11,4,0,0,13,3295875072,30655,0,804689,30655,24576,5,0
2023-01-11 12:09:05.210518,844,111,445,828,1084,0,0,0,1150617,1633,752697,1264,S,6627,0,23,0,11,4,0,0,13,3296006144,30655,0,804689,30864,24744,5,0
2023-01-11 12:09:05.466085,862,116,454,828,1084,0,0,0,1152951,1661,757390,1294,S,6634,0,23,0,12,4,0,0,13,3296006144,30864,0,804539,31372,24815,5,0
2023-01-11 12:09:05.741211,883,121,462,828,1084,0,0,0,1155417,1691,762239,1326,S,7219,0,23,0,14,5,0,0,13,3295391744,31252,0,804513,31118,24909,5,0
2023-01-11 12:09:06.001776,912,124,469,828,1084,0,0,0,1159129,1736,769697,1374,S,7599,0,23,0,16,5,0,0,13,3295285248,31118,0,804513,31055,24909,5,0
2023-01-11 12:09:06.252420,929,127,475,828,1084,0,0,0,1159815,1744,771234,1383,S,7636,0,23,0,16,5,0,0,13,3295285248,31055,0,804928,31450,25289,5,0
2023-01-11 12:09:06.516886,955,137,487,828,1084,0,0,0,1162929,1782,778398,1429,S,8052,0,23,0,17,5,0,0,13,3296985088,31450,0,804928,31529,25324,5,0
2023-01-11 12:09:06.772288,966,141,493,828,1084,0,0,0,1164521,1801,781107,1449,S,8158,0,23,0,17,5,0,0,13,3296985088,31529,0,804928,31529,25324,5,0
2023-01-11 12:09:07.030138,983,148,500,828,1084,0,0,0,1166987,1831,786682,1486,S,8159,0,23,0,18,5,0,0,13,3296985088,31529,0,804928,31529,25324,5,0
