#pl.quenaapp
#./workspace/pl.quenaapp_0/pl.quenaapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:12:40.273427,1005,296,872,1619,1186,0,0,0,709299,848,664080,769,S,12048,0,5,0,31,4,0,0,16,3327889408,37298,0,811864,37233,24970,5,0
2023-01-09 06:12:40.534182,1017,298,876,1619,1186,0,0,0,712015,881,670047,799,S,14711,0,6,0,34,4,0,0,17,3333804032,39050,0,815115,40466,27028,5,0
2023-01-09 06:12:40.802273,1022,298,878,1619,1186,0,0,0,714349,909,674581,827,R,17277,0,6,0,41,5,0,0,17,3342913536,41362,0,815128,40722,27169,5,0
2023-01-09 06:12:41.067677,1029,300,882,1619,1186,0,0,0,716617,936,679184,856,S,18560,0,7,0,43,6,0,0,17,3338764288,40722,0,815128,40722,27169,5,0
2023-01-09 06:12:41.322981,1031,302,883,1619,1186,0,0,0,718993,965,683787,885,S,18565,0,7,0,43,6,0,0,17,3338764288,40722,0,815128,40722,27169,5,0
2023-01-09 06:12:41.573277,1040,303,887,1620,1186,0,0,0,721185,992,688430,913,S,18569,0,8,0,43,6,0,0,17,3338764288,40722,0,815128,40722,27169,5,0
2023-01-09 06:12:41.844985,1048,306,890,1628,1186,0,0,0,723873,1025,693327,945,S,18570,0,8,0,43,6,0,0,17,3338764288,40722,0,815128,40722,27169,5,0
2023-01-09 06:12:42.114419,1051,307,892,1671,1186,0,0,0,726825,1062,698248,977,S,18570,0,8,0,43,6,0,0,17,3338764288,40722,0,815128,40874,27270,5,0
2023-01-09 06:12:42.369974,1055,307,893,1713,1187,0,0,0,729579,1096,703301,1011,S,18589,0,8,0,43,7,0,0,17,3338764288,40874,1,814854,40873,27270,5,0
2023-01-09 06:12:42.647710,1067,310,899,1736,1188,0,0,0,732399,1131,708282,1045,S,22427,0,8,0,46,8,0,0,17,3344191488,41559,1,816453,41794,28703,5,0
2023-01-09 06:12:42.919344,1085,310,903,1737,1188,0,0,0,735319,1166,714513,1080,S,22623,0,8,0,50,9,0,0,17,3344191488,41669,1,816453,41669,28703,5,0
2023-01-09 06:12:43.175641,1096,311,904,1738,1188,0,0,0,737001,1186,717376,1102,S,22623,0,8,0,51,9,0,0,17,3344191488,41669,1,816453,41669,28703,5,0
2023-01-09 06:12:43.430935,1105,311,907,1739,1188,0,0,0,739443,1216,722046,1132,S,22623,0,8,0,53,9,0,0,17,3344191488,41669,0,816453,41669,28703,5,0
2023-01-09 06:12:43.700084,1116,311,910,1743,1188,0,0,0,742267,1251,726832,1163,S,22629,0,8,0,55,11,0,0,17,3344191488,41669,1,816453,41669,28703,5,0
2023-01-09 06:12:43.955946,1123,311,911,1751,1188,0,0,0,744039,1272,730838,1184,S,22631,0,8,0,56,11,0,0,17,3344191488,41669,1,816456,41818,28887,5,0
2023-01-09 06:12:44.227314,1139,311,917,1756,1188,0,0,0,746061,1296,735355,1212,S,23909,0,11,0,63,13,0,0,17,3344211968,41884,0,816460,41907,28887,5,0
2023-01-09 06:12:44.492347,1177,313,922,1763,1188,0,0,0,748777,1329,741551,1249,S,24028,0,11,0,69,15,0,0,17,3344220160,41908,0,816460,41908,28887,5,0
2023-01-09 06:12:44.758983,1197,316,927,1764,1188,0,0,0,750483,1349,745558,1270,S,24028,0,11,0,70,16,0,0,17,3344220160,41908,0,816460,41908,28887,5,0
2023-01-09 06:12:45.013615,1219,318,933,1769,1188,0,0,0,753081,1381,750567,1304,S,24028,0,11,0,73,19,0,0,17,3344220160,41908,0,816460,41508,28903,5,0
2023-01-09 06:12:45.281929,1252,319,938,1778,1188,0,0,0,755415,1409,755421,1336,S,24065,0,11,0,75,20,0,0,17,3344220160,41354,1,816460,41011,28903,5,0
2023-01-09 06:12:45.551901,1269,323,943,1781,1188,0,0,0,757624,1435,759999,1364,S,24065,0,11,0,77,21,0,0,17,3344220160,41011,0,816460,41011,28903,5,0
2023-01-09 06:12:45.817386,1295,324,949,1783,1188,0,0,0,759580,1458,764517,1392,S,24177,0,11,0,78,21,0,0,18,3345342464,41142,1,815401,40761,27568,5,0
2023-01-09 06:12:46.083250,1323,325,955,1783,1188,0,0,0,762112,1489,769503,1426,S,26014,0,11,0,81,21,0,0,18,3339882496,40761,1,815401,40761,27568,5,0
