#pl.weblitera
#./workspace/pl.weblitera_0/pl.weblitera.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:35:14.005088,919,326,883,1792,1181,0,0,0,254579,629,650149,791,S,8899,0,207,0,11,7,0,0,38,3347726336,41403,0,817316,41639,34876,5,0
2023-01-10 02:35:14.280962,924,326,885,1792,1181,0,0,0,256417,651,653243,815,S,9095,0,210,0,11,7,0,0,38,3347726336,41639,0,817316,41666,34906,5,0
2023-01-10 02:35:14.531883,936,327,889,1793,1183,0,0,0,259823,693,660066,858,S,9106,0,210,0,11,8,0,0,38,3347726336,41666,0,818422,41934,35116,5,0
2023-01-10 02:35:14.788747,947,327,894,1793,1185,0,0,0,262455,724,666444,894,S,9213,0,221,0,12,9,0,0,40,3351232512,42052,0,818172,42052,35193,5,0
2023-01-10 02:35:15.049164,955,328,897,1793,1186,0,0,0,264023,743,669010,911,S,9216,0,221,0,13,9,0,0,40,3351232512,42052,0,818172,42052,35193,5,0
2023-01-10 02:35:15.316360,962,329,899,1794,1186,0,0,0,266735,776,673910,942,S,9224,0,221,0,13,9,0,0,40,3351232512,42052,0,818172,42052,35193,5,0
2023-01-10 02:35:15.576521,969,330,902,1820,1187,0,0,0,269357,808,678941,976,S,9224,0,221,0,13,9,0,0,40,3351232512,42052,1,818172,42221,35328,5,0
2023-01-10 02:35:15.827337,975,331,904,1841,1187,0,0,0,272111,842,684043,1011,S,9266,0,222,0,14,9,0,0,40,3351232512,42221,1,818172,42221,35328,5,0
2023-01-10 02:35:16.087681,979,332,906,1873,1188,0,0,0,275388,883,689064,1045,S,9657,0,224,0,16,9,0,0,40,3350220800,42541,1,817991,42678,35782,5,0
2023-01-10 02:35:16.353340,1018,332,910,1879,1188,0,0,0,277476,908,693012,1066,S,9782,0,225,0,17,9,0,0,40,3350491136,42678,1,817925,42649,35736,5,0
2023-01-10 02:35:16.608687,1039,333,915,1880,1188,0,0,0,279654,934,699176,1100,S,9795,0,225,0,18,9,0,0,40,3350220800,42649,1,817925,42649,35736,5,0
2023-01-10 02:35:16.880427,1067,335,919,1881,1188,0,0,0,281932,961,702354,1125,S,9799,0,225,0,19,9,0,0,40,3350220800,42649,0,818646,43367,36440,5,0
2023-01-10 02:35:17.125766,1082,337,924,1883,1188,0,0,0,283926,985,706898,1153,R,10526,0,226,0,19,9,0,0,40,3353174016,43367,0,818806,43439,36510,5,0
2023-01-10 02:35:17.384992,1103,339,928,1893,1188,0,0,0,286458,1016,711622,1183,S,10723,0,226,0,23,9,0,0,40,3353829376,43439,1,818838,43439,36510,5,0
2023-01-10 02:35:17.644695,1109,340,930,1930,1188,0,0,0,289320,1052,716478,1215,S,10836,0,226,0,24,9,0,0,40,3353960448,43439,1,818838,43439,36510,5,0
2023-01-10 02:35:17.905199,1114,340,931,1970,1188,0,0,0,292272,1089,721359,1247,S,10838,0,226,0,24,9,0,0,40,3353960448,43439,0,818838,43439,36510,5,0
2023-01-10 02:35:18.170627,1119,340,933,2014,1188,0,0,0,294894,1121,726264,1279,S,10838,0,226,0,25,9,0,0,40,3353960448,43437,1,818838,43436,36522,5,0
2023-01-10 02:35:18.426029,1126,341,936,2046,1189,0,0,0,297516,1153,731302,1313,S,10841,0,226,0,26,9,0,0,40,3353960448,43436,1,818838,43436,36522,5,0
2023-01-10 02:35:18.691642,1131,341,938,2087,1189,0,0,0,300336,1188,736406,1348,S,10842,0,226,0,26,9,0,0,40,3353960448,43436,1,818838,43436,36522,5,0
2023-01-10 02:35:18.952024,1136,342,940,2126,1191,0,0,0,302826,1218,741354,1381,S,10874,0,226,0,27,9,0,0,40,3353960448,43452,1,818838,43452,36538,5,0
2023-01-10 02:35:19.207500,1142,342,943,2165,1191,0,0,0,305514,1251,746416,1415,S,10875,0,226,0,27,9,0,0,40,3353960448,43452,1,818838,43452,36538,5,0
2023-01-10 02:35:19.467911,1147,342,945,2206,1191,0,0,0,307980,1281,751232,1446,S,10877,0,226,0,27,9,0,0,40,3353960448,43452,1,818838,43452,36538,5,0
2023-01-10 02:35:19.738570,1167,344,949,2237,1192,0,0,0,312085,1332,758939,1496,S,12625,0,228,0,30,10,0,0,41,3361267712,45128,0,820622,45128,38047,5,0
2023-01-10 02:35:19.998955,1194,344,954,2237,1192,0,0,0,312768,1340,760416,1504,S,12625,0,228,0,30,10,0,0,41,3361267712,45128,0,820622,45128,38047,5,0
2023-01-10 02:35:20.267360,1221,348,959,2238,1192,0,0,0,315609,1374,765798,1542,S,12625,0,228,0,30,10,0,0,41,3361267712,45128,0,818393,42946,35848,5,0
2023-01-10 02:35:20.789025,1280,359,971,2247,1192,0,0,0,320493,1433,777369,1614,S,12724,0,228,0,31,10,0,0,41,3352137728,42946,0,818393,42947,35848,5,0
2023-01-10 02:35:20.517918,1257,359,967,2246,1192,0,0,0,320091,1428,775758,1606,S,12724,0,228,0,30,10,0,0,41,3352137728,42946,0,818393,42946,35848,5,0
2023-01-10 02:35:21.049248,1297,360,974,2247,1192,0,0,0,324656,1484,785899,1680,S,12812,0,229,0,31,10,0,0,41,3352137728,43131,0,818393,43171,36006,5,0
2023-01-10 02:35:21.299566,1322,361,981,2248,1192,0,0,0,326276,1503,789642,1699,S,12980,0,229,0,31,10,0,0,41,3352137728,43171,0,818393,43171,36006,5,0
2023-01-10 02:35:21.575357,1367,362,986,2248,1192,0,0,0,328393,1529,794347,1728,S,12980,0,229,0,31,10,0,0,41,3352137728,43171,0,818393,43171,36006,5,0
2023-01-10 02:35:21.827919,1373,364,989,2248,1192,0,0,0,330363,1553,799165,1762,S,12984,0,229,0,31,10,0,0,41,3352137728,43171,0,818393,43171,36006,5,0
2023-01-10 02:35:22.103846,1389,373,1000,2250,1192,0,0,0,332673,1581,803911,1793,S,12985,0,229,0,32,10,0,0,41,3352137728,43171,0,818393,43171,36006,5,0
2023-01-10 02:35:22.366179,1400,383,1008,2252,1192,0,0,0,335361,1614,808747,1825,S,12988,0,229,0,32,10,0,0,41,3352137728,43171,0,818393,43171,36006,5,0
2023-01-10 02:35:22.622152,1417,386,1017,2268,1197,0,0,0,338497,1653,813829,1860,S,13156,0,229,0,32,11,0,0,41,3352137728,43199,0,818393,43199,36021,5,0
2023-01-10 02:35:22.882928,1455,387,1021,2268,1197,0,0,0,340845,1682,819570,1890,S,13156,0,229,0,32,11,0,0,41,3352137728,43199,0,818393,43199,36021,5,0
2023-01-10 02:35:23.151764,1472,387,1024,2273,1197,0,0,0,343023,1708,824250,1920,S,13159,0,229,0,32,11,0,0,41,3352137728,43199,0,818472,43296,36110,5,0
2023-01-10 02:35:23.391292,1495,389,1030,2281,1197,0,0,0,345135,1733,828954,1950,S,13427,0,229,0,33,11,0,0,41,3352137728,43239,1,818393,43239,36053,5,0
2023-01-10 02:35:23.667067,1518,390,1033,2292,1197,0,0,0,347691,1764,833904,1983,S,13514,0,229,0,33,12,0,0,41,3352461312,43304,1,818551,43370,36176,5,0
