#programasreales.calculadoraindemnizaciones2
#./workspace/programasreales.calculadoraindemnizaciones2_0/programasreales.calculadoraindemnizaciones2.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:12:38.537592,873,328,859,1660,1448,0,0,0,1004225,1083,690757,773,S,12789,0,4,0,37,5,0,0,16,3330392064,38822,0,813853,39614,27152,5,0
2023-01-10 02:12:38.804167,885,328,862,1661,1448,0,0,0,1006715,1113,697279,809,S,13557,0,4,0,37,5,0,0,16,3333541888,39614,0,813853,39614,27152,5,0
2023-01-10 02:12:39.067911,888,328,865,1664,1448,0,0,0,1008799,1138,701831,836,S,13557,0,4,0,37,5,0,0,16,3333541888,39614,0,813853,39864,27360,5,0
2023-01-10 02:12:39.328316,892,332,868,1696,1449,0,0,0,1011685,1174,706828,868,S,13571,0,6,0,38,5,0,0,16,3333541888,39864,1,813853,39864,27360,5,0
2023-01-10 02:12:39.598869,895,333,871,1726,1449,0,0,0,1014217,1205,711680,900,S,13571,0,6,0,38,5,0,0,16,3333541888,39864,0,813853,39864,27360,5,0
2023-01-10 02:12:39.870994,897,334,873,1767,1449,0,0,0,1016971,1239,716868,936,S,13591,0,6,0,38,6,0,0,16,3333541888,39864,0,813853,39864,27360,5,0
2023-01-10 02:12:40.126359,899,334,875,1803,1450,0,0,0,1019923,1276,722056,972,S,13593,0,7,0,38,6,0,0,16,3333541888,39864,1,813853,39864,27360,5,0
2023-01-10 02:12:40.387269,902,335,877,1842,1450,0,0,0,1022719,1311,727130,1007,S,13593,0,7,0,38,6,0,0,16,3333541888,39864,0,813853,39864,27360,5,0
2023-01-10 02:12:40.651534,913,335,880,1854,1451,0,0,0,1025425,1345,731736,1036,S,13595,0,7,0,39,7,0,0,16,3333541888,39864,1,813853,39864,27360,5,0
2023-01-10 02:12:40.906916,917,335,882,1884,1451,0,0,0,1028023,1377,736678,1069,S,13595,0,7,0,39,7,0,0,16,3333541888,39864,1,813853,39864,27360,5,0
2023-01-10 02:12:41.167172,921,335,883,1927,1451,0,0,0,1030975,1414,741644,1102,S,13659,0,7,0,39,7,0,0,16,3333804032,40574,1,813917,39788,28068,5,0
2023-01-10 02:12:41.427717,923,336,886,1965,1451,0,0,0,1034059,1453,746611,1135,S,13716,0,7,0,40,7,0,0,16,3333804032,39831,0,813917,39831,28159,5,0
2023-01-10 02:12:41.688131,927,336,887,2007,1451,0,0,0,1037077,1491,751646,1169,S,13718,0,7,0,40,7,0,0,16,3333804032,39831,0,813917,39831,28159,5,0
