#rom.jonas.eley
#./workspace/rom.jonas.eley_0/app3484.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:30:15.961191,802,123,557,975,655,0,0,0,7507139,6996,1575857,2907,R,4706,0,5,0,3,3,0,0,17,3298156544,28540,1,805214,28540,23920,5,0
2023-01-11 23:30:16.233315,808,124,560,975,655,0,0,0,7512390,7063,1611962,2983,S,4706,0,5,0,4,4,0,0,17,3298156544,28580,1,805214,28580,23960,5,0
2023-01-11 23:30:16.489057,814,130,564,975,655,0,0,0,7516062,7108,1624642,3032,S,4706,0,5,0,4,4,0,0,17,3298156544,28580,1,805214,28580,23960,5,0
2023-01-11 23:30:16.766705,829,135,569,975,655,0,0,0,7672918,7269,1641949,3138,S,4748,0,5,0,6,4,0,0,17,3298160640,28733,1,805215,28733,24094,5,0
2023-01-11 23:30:17.012550,839,139,575,987,657,0,0,0,7676750,7316,1649627,3186,S,4964,0,5,0,6,5,0,0,17,3298684928,28862,1,805343,28862,24221,5,0
2023-01-11 23:30:17.305644,854,144,579,987,657,0,0,0,7679726,7353,1655529,3222,S,4990,0,5,0,8,5,0,0,17,3298684928,28877,1,805343,28877,24236,5,0
2023-01-11 23:30:17.557069,871,150,585,989,658,0,0,0,7682864,7391,1662413,3265,S,5101,0,5,0,9,5,0,0,17,3298684928,29178,1,805343,29178,24454,5,0
2023-01-11 23:30:17.824288,892,160,595,989,658,0,0,0,7686314,7433,1670099,3315,S,5102,0,5,0,10,5,0,0,17,3298684928,29178,1,805343,29178,24454,5,0
2023-01-11 23:30:18.081191,907,162,600,1000,658,0,0,0,7690973,7480,1689509,3365,S,5118,0,5,0,13,5,0,0,17,3298684928,29178,1,805343,29178,24454,5,0
2023-01-11 23:30:18.317420,928,163,605,1011,659,0,0,0,7694087,7518,1695812,3408,S,5191,0,6,0,15,5,0,0,17,3298684928,29280,1,805343,29281,24531,5,0
2023-01-11 23:30:18.580070,937,163,609,1039,659,0,0,0,7697555,7561,1702385,3455,S,5213,0,6,0,16,5,0,0,17,3298684928,29281,1,805343,29281,24531,5,0
2023-01-11 23:30:18.850406,951,167,614,1066,659,0,0,0,7701227,7606,1709890,3505,S,5269,0,6,0,17,5,0,0,17,3298684928,29281,0,805343,29281,24531,5,0
2023-01-11 23:30:19.120259,957,169,618,1099,659,0,0,0,7703915,7639,1715027,3541,S,5271,0,6,0,18,5,0,0,17,3298684928,29281,0,805343,29281,24531,5,0
2023-01-11 23:30:19.380619,961,169,620,1144,659,0,0,0,7706849,7675,1720737,3580,S,5272,0,6,0,18,5,0,0,17,3298684928,29281,1,805375,29281,24531,5,0
2023-01-11 23:30:19.646351,968,169,624,1182,659,0,0,0,7709627,7709,1726154,3616,S,5278,0,6,0,20,5,0,0,17,3298816000,29287,1,805375,29287,24531,5,0
2023-01-11 23:30:19.900136,981,169,627,1205,659,0,0,0,7712405,7743,1731641,3654,S,5278,0,6,0,22,5,0,0,17,3298816000,29287,0,805375,29287,24531,5,0
2023-01-11 23:30:20.170516,989,169,629,1244,660,0,0,0,7714961,7774,1736670,3688,S,5279,0,6,0,23,6,0,0,17,3298816000,29287,0,805375,29288,24531,5,0
2023-01-11 23:30:20.420651,995,169,631,1280,660,0,0,0,7718405,7817,1744575,3739,R,5279,0,6,0,24,6,0,0,17,3298816000,29288,1,805375,29288,24531,5,0
2023-01-11 23:30:20.680732,1013,169,635,1302,660,0,0,0,7720913,7848,1749335,3770,S,5281,0,6,0,27,6,0,0,17,3298816000,29288,1,805375,29288,24531,5,0
2023-01-11 23:30:20.945948,1018,169,638,1343,660,0,0,0,7723535,7880,1755127,3810,S,5282,0,6,0,27,6,0,0,17,3298816000,29288,1,805375,29284,24531,5,0
2023-01-11 23:30:21.211536,1028,171,644,1372,660,0,0,0,7726905,7922,1762853,3856,S,5285,0,7,0,28,7,0,0,17,3298816000,29284,0,805375,29284,24531,5,0
2023-01-11 23:30:21.469247,1049,183,652,1385,660,0,0,0,7731870,7983,1776967,3928,S,5290,0,7,0,30,7,0,0,17,3298816000,29284,1,805375,29284,24531,5,0
2023-01-11 23:30:21.735354,1066,184,655,1386,661,0,0,0,7734530,8016,1781819,3961,S,5290,0,7,0,31,7,0,0,17,3298816000,29284,1,805375,29284,24531,5,0
2023-01-11 23:30:21.994898,1096,184,665,1391,661,0,0,0,7738986,8071,1791821,4022,S,5291,0,7,0,32,7,0,0,17,3298816000,29284,1,805375,29284,24531,5,0
2023-01-11 23:30:22.256738,1130,184,671,1394,661,0,0,0,7742535,8114,1799001,4074,S,5301,0,7,0,33,8,0,0,17,3298816000,29284,0,805375,29284,24531,5,0
2023-01-11 23:30:22.522196,1147,185,676,1397,661,0,0,0,7743158,8121,1800544,4083,S,5301,0,7,0,33,8,0,0,17,3298816000,29284,0,805375,29284,24531,5,0
2023-01-11 23:30:22.777519,1155,185,681,1426,661,0,0,0,7746290,8160,1806110,4123,S,5303,0,7,0,34,8,0,0,17,3298816000,29284,0,805375,29284,24531,5,0
2023-01-11 23:30:23.032933,1162,185,683,1463,661,0,0,0,7749044,8194,1811911,4163,S,5304,0,7,0,35,8,0,0,17,3298816000,29284,1,805375,29284,24531,5,0
2023-01-11 23:30:23.298661,1180,185,687,1490,661,0,0,0,7752374,8236,1818819,4208,R,5424,0,7,0,40,8,0,0,17,3298816000,29333,1,805375,29333,24579,5,0
2023-01-11 23:30:23.553315,1201,185,692,1502,661,0,0,0,7754906,8267,1823897,4241,R,5426,0,7,0,41,8,0,0,17,3298816000,29407,1,805375,29407,24626,5,0
2023-01-11 23:30:23.828516,1211,185,695,1532,661,0,0,0,7757570,8300,1830320,4280,S,5428,0,7,0,42,9,0,0,17,3298816000,29407,0,805375,29407,24626,5,0
2023-01-11 23:30:24.093804,1235,185,701,1543,661,0,0,0,7761128,8344,1838316,4325,S,5632,0,8,0,44,9,0,0,17,3299086336,29762,1,805481,29824,24947,5,0
