#ru.webvo.book.AOTMKDXKVFDCBAFI
#./workspace/ru.webvo.book.AOTMKDXKVFDCBAFI_0/ru.webvo.book.AOTMKDXKVFDCBAFI.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:36:50.013893,910,326,863,1812,1251,0,0,0,835271,1052,656524,822,S,11801,0,192,0,13,10,0,0,36,3360370688,42851,1,820404,43453,35231,5,0
2023-01-10 03:36:50.273778,919,326,869,1816,1262,0,0,0,837737,1082,661338,853,S,11928,0,197,0,14,10,0,0,36,3360374784,43453,1,820404,43453,35231,5,0
2023-01-10 03:36:50.539177,929,331,875,1822,1271,0,0,0,841677,1131,670077,903,S,12098,0,208,0,15,11,0,0,38,3363880960,44062,1,821260,44062,35684,5,0
2023-01-10 03:36:50.799807,936,332,878,1823,1271,0,0,0,843449,1152,673308,929,S,12098,0,208,0,15,11,0,0,38,3363880960,44062,1,821260,44062,35684,5,0
2023-01-10 03:36:51.070238,944,334,881,1845,1271,0,0,0,846113,1185,678386,964,S,12105,0,208,0,17,11,0,0,38,3363880960,44062,0,821260,44062,35684,5,0
2023-01-10 03:36:51.330650,947,334,883,1883,1272,0,0,0,849131,1223,683662,1002,S,12124,0,208,0,18,11,0,0,38,3363880960,44062,0,821297,44590,36073,5,0
2023-01-10 03:36:51.606354,961,335,886,1915,1273,0,0,0,851993,1259,688560,1035,S,12884,0,212,0,20,11,0,0,38,3364032512,44666,1,821297,44666,36127,5,0
2023-01-10 03:36:51.859317,991,335,890,1918,1273,0,0,0,854345,1288,693212,1065,S,12885,0,212,0,21,11,0,0,38,3364032512,44666,1,822018,45420,36863,5,0
2023-01-10 03:36:52.119002,1010,336,895,1935,1273,0,0,0,856787,1318,697977,1096,R,14257,0,213,0,24,11,0,0,38,3366985728,45437,1,822018,45437,36879,5,0
2023-01-10 03:36:52.374267,1028,337,898,1941,1273,0,0,0,859277,1348,702973,1129,S,14257,0,213,0,25,11,0,0,38,3366985728,45437,1,822018,45503,36941,5,0
2023-01-10 03:36:52.618367,1033,337,901,1979,1273,0,0,0,861611,1376,707923,1162,S,14324,0,213,0,25,11,0,0,38,3366985728,45503,1,822018,45505,36941,5,0
2023-01-10 03:36:52.883765,1041,337,902,2019,1273,0,0,0,864341,1410,712825,1195,S,14520,0,213,0,26,11,0,0,38,3366985728,45505,1,822018,45505,36941,5,0
2023-01-10 03:36:53.144295,1045,337,904,2058,1273,0,0,0,867227,1446,717956,1230,S,14521,0,213,0,27,11,0,0,38,3366985728,45505,1,822018,45505,36941,5,0
2023-01-10 03:36:53.404779,1048,337,906,2102,1273,0,0,0,870023,1481,722685,1260,S,14572,0,213,0,28,11,0,0,38,3367116800,45505,0,822050,45505,36941,5,0
2023-01-10 03:36:53.665357,1061,338,909,2132,1273,0,0,0,872465,1511,727522,1292,S,14770,0,213,0,29,12,0,0,38,3367116800,45520,1,822050,45520,36941,5,0
2023-01-10 03:36:53.929842,1080,338,913,2147,1274,0,0,0,874865,1540,732228,1322,S,14771,0,213,0,29,12,0,0,38,3367116800,45520,1,822050,45520,36941,5,0
2023-01-10 03:36:54.195314,1088,339,915,2183,1274,0,0,0,877595,1574,737048,1353,S,14816,0,213,0,30,12,0,0,38,3367116800,45520,0,822050,45502,36941,5,0
2023-01-10 03:36:54.455711,1093,339,918,2224,1275,0,0,0,880259,1607,742042,1387,S,14816,0,213,0,31,12,0,0,38,3367116800,45502,0,822050,45502,36941,5,0
2023-01-10 03:36:54.716141,1098,340,920,2265,1275,0,0,0,882815,1638,747036,1421,S,14816,0,213,0,31,12,0,0,38,3367116800,45502,0,822050,45502,36941,5,0
2023-01-10 03:36:54.976634,1103,340,922,2307,1275,0,0,0,885569,1672,752036,1454,S,14816,0,213,0,32,12,0,0,38,3367116800,45502,1,822050,45502,36941,5,0
2023-01-10 03:36:55.247070,1111,343,926,2334,1277,0,0,0,888389,1707,757138,1490,S,14823,0,214,0,33,12,0,0,38,3367116800,45502,1,822050,45502,36941,5,0
2023-01-10 03:36:55.504484,1119,346,928,2338,1277,0,0,0,890387,1731,761352,1514,S,14825,0,214,0,34,12,0,0,38,3367116800,45502,1,822050,45502,36941,5,0
2023-01-10 03:36:55.783729,1130,346,931,2349,1277,0,0,0,892541,1757,766118,1545,S,14825,0,214,0,34,13,0,0,38,3367116800,45502,0,822050,45502,36941,5,0
2023-01-10 03:36:56.050580,1139,346,935,2356,1278,0,0,0,895191,1789,771856,1584,S,14853,0,214,0,35,13,0,0,38,3367116800,45518,0,822050,45624,37047,5,0
2023-01-10 03:36:56.306922,1162,346,939,2361,1278,0,0,0,897681,1819,778553,1621,S,15081,0,217,0,37,13,0,0,38,3367116800,45624,0,822050,45624,37047,5,0
2023-01-10 03:36:56.561508,1186,347,944,2363,1278,0,0,0,899897,1846,782372,1654,S,15081,0,217,0,37,13,0,0,38,3367116800,45624,0,822050,45624,37047,5,0
2023-01-10 03:36:56.822606,1193,347,947,2397,1278,0,0,0,902519,1878,788116,1693,S,15209,0,217,0,38,13,0,0,38,3367116800,45641,0,822050,45641,37063,5,0
2023-01-10 03:36:57.077950,1196,347,951,2432,1281,0,0,0,905027,1909,794123,1727,S,15209,0,217,0,39,13,0,0,38,3367116800,45641,1,822050,45641,37063,5,0
2023-01-10 03:36:57.348619,1210,347,953,2471,1281,0,0,0,908064,1946,799201,1761,S,15617,0,217,0,41,13,0,0,38,3367116800,45687,0,822050,45747,37143,5,0
