#ru.webvo.book.AOTTDDWSSBTGHPHT
#./workspace/ru.webvo.book.AOTTDDWSSBTGHPHT_0/ru.webvo.book.AOTTDDWSSBTGHPHT.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:02:22.121043,906,301,838,1936,1157,0,0,0,921638,1132,665027,864,R,10892,0,161,0,16,4,0,0,33,3346919424,40359,1,818491,41246,33636,5,0
2023-01-10 03:02:22.397105,912,302,840,1936,1157,0,0,0,923168,1150,667396,880,R,11756,0,173,0,19,5,0,0,37,3352518656,41103,1,819787,44015,34980,5,0
2023-01-10 03:02:22.641455,919,303,843,1936,1157,0,0,0,925630,1180,672265,911,S,13436,0,199,0,20,8,0,0,38,3357847552,44015,0,819787,44015,34980,5,0
2023-01-10 03:02:22.917232,924,306,846,1936,1157,0,0,0,927898,1207,678336,943,S,13452,0,199,0,21,8,0,0,38,3357847552,44015,0,819787,44348,35267,5,0
2023-01-10 03:02:23.177927,935,308,851,1936,1158,0,0,0,930794,1242,685077,983,S,13585,0,208,0,24,8,0,0,40,3364474880,44624,0,821405,44624,35500,5,0
2023-01-10 03:02:23.444105,939,308,854,1936,1158,0,0,0,932164,1258,687767,1003,S,13585,0,208,0,24,8,0,0,40,3364474880,44624,0,821411,44651,35504,5,0
2023-01-10 03:02:23.699320,944,312,856,1936,1158,0,0,0,934630,1288,692623,1035,S,13611,0,209,0,25,8,0,0,40,3363450880,44606,0,821155,44606,35630,5,0
2023-01-10 03:02:23.959967,949,318,860,1936,1159,0,0,0,937412,1322,697834,1072,S,14379,0,213,0,27,8,0,0,40,3363602432,45169,0,821192,45169,36055,5,0
2023-01-10 03:02:24.226721,973,322,866,1937,1159,0,0,0,939472,1347,702313,1099,S,14381,0,213,0,28,8,0,0,40,3363602432,45169,0,821192,45169,36055,5,0
2023-01-10 03:02:24.497333,987,329,871,1937,1159,0,0,0,942226,1381,707302,1133,S,14726,0,213,0,29,9,0,0,40,3363926016,45311,0,821192,45283,36149,5,0
2023-01-10 03:02:24.752442,1013,335,877,1939,1159,0,0,0,944626,1410,712136,1165,S,15038,0,213,0,32,9,0,0,40,3363602432,45283,0,821913,46008,36866,5,0
2023-01-10 03:02:25.012795,1035,336,883,1943,1159,0,0,0,947026,1439,717086,1198,S,15761,0,213,0,34,10,0,0,40,3366555648,46008,0,821913,46008,36866,5,0
2023-01-10 03:02:25.268150,1041,336,885,1982,1159,0,0,0,949780,1473,721994,1230,S,15987,0,213,0,35,10,0,0,40,3366555648,46011,0,821913,46012,36866,5,0
2023-01-10 03:02:25.528641,1048,337,888,2019,1160,0,0,0,952336,1504,726968,1263,S,16054,0,213,0,36,10,0,0,40,3366555648,46012,0,821913,46012,36866,5,0
