#se.aggressive.sportfack
#./workspace/se.aggressive.sportfack_0/se.aggressive.sportfack.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 00:04:16.305443,1033,232,749,977,648,0,0,0,746171,1110,657578,991,S,7301,0,16,0,66,11,0,0,17,3308986368,30279,0,811839,33299,25698,5,0
2023-01-11 00:04:16.571239,1045,235,758,977,648,0,0,0,760044,1158,664824,1039,R,8519,0,163,0,78,15,0,0,33,3335417856,35222,0,818041,38537,30022,5,0
2023-01-11 00:04:16.820559,1052,236,762,977,648,0,0,0,761937,1181,668170,1066,R,9149,0,181,0,88,16,0,0,36,3338678272,36933,0,820128,42579,33785,5,0
2023-01-11 00:04:17.091890,1061,240,767,977,648,0,0,0,766499,1235,680598,1135,S,11998,0,215,0,100,21,0,0,43,3359244288,42579,0,820128,42966,34122,5,0
2023-01-11 00:04:17.337801,1066,241,769,977,648,0,0,0,765974,1229,679301,1129,S,11965,0,215,0,98,21,0,0,42,3358113792,42521,0,820128,42966,34122,5,0
2023-01-11 00:04:17.603564,1072,242,773,977,648,0,0,0,769490,1271,687937,1181,S,12007,0,219,0,100,22,0,0,43,3359244288,42664,0,820128,42970,34122,5,0
2023-01-11 00:04:18.130816,1087,246,785,977,648,0,0,0,774479,1333,699093,1247,S,12130,0,229,0,103,22,0,0,43,3360563200,43280,0,821955,43862,34910,5,0
2023-01-11 00:04:17.872731,1082,244,779,977,648,0,0,0,772916,1314,695365,1226,S,12089,0,221,0,101,22,0,0,43,3359244288,42970,0,821731,44389,35310,5,0
2023-01-11 00:04:18.412793,1095,249,790,977,648,0,0,0,787271,1380,706585,1297,S,13109,0,234,0,107,24,0,0,43,3365810176,44441,0,821891,44426,35401,5,0
2023-01-11 00:04:18.673374,1100,249,793,977,648,0,0,0,788891,1399,709588,1322,S,13295,0,234,0,108,24,0,0,43,3366465536,44426,0,821891,44426,35401,5,0
2023-01-11 00:04:18.946291,1106,252,798,977,648,0,0,0,790975,1424,714466,1354,S,13295,0,234,0,108,24,0,0,43,3366465536,44426,0,821617,44434,35407,5,0
2023-01-11 00:04:19.190928,1110,256,801,977,648,0,0,0,793750,1458,719392,1388,S,13312,0,234,0,108,25,0,0,42,3365343232,44434,0,821617,44434,35407,5,0
2023-01-11 00:04:19.461582,1113,260,805,977,648,0,0,0,796480,1492,725395,1422,S,13312,0,234,0,108,26,0,0,42,3365343232,44434,0,821617,44434,35407,5,0
2023-01-11 00:04:19.719132,1120,262,809,977,648,0,0,0,799373,1528,730325,1456,S,13317,0,234,0,109,26,0,0,42,3365343232,44434,0,821617,44825,35780,5,0
2023-01-11 00:04:19.987417,1128,268,813,977,648,0,0,0,802593,1568,737084,1498,S,13412,0,234,0,110,27,0,0,42,3365343232,44825,0,821617,44825,35780,5,0
2023-01-11 00:04:20.252924,1132,269,816,977,648,0,0,0,804785,1595,740569,1526,S,13414,0,234,0,111,27,0,0,42,3365343232,44825,0,821617,44825,35780,5,0
2023-01-11 00:04:20.509687,1138,273,823,978,648,0,0,0,807969,1634,746346,1566,S,13444,0,235,0,112,27,0,0,42,3365343232,44825,0,821617,44825,35780,5,0
2023-01-11 00:04:20.791626,1144,275,829,978,648,0,0,0,810632,1662,751224,1599,S,13703,0,235,0,113,29,0,0,42,3365343232,44983,0,821617,44983,35892,5,0
2023-01-11 00:04:21.036489,1148,278,833,978,648,0,0,0,812872,1688,755987,1630,S,13753,0,235,0,114,30,0,0,43,3366432768,44985,0,821883,44985,35892,5,0
2023-01-11 00:04:21.279330,1154,282,838,978,649,0,0,0,815456,1719,762214,1667,S,13753,0,235,0,115,30,0,0,43,3366432768,44985,0,821883,44957,35892,5,0
2023-01-11 00:04:21.546790,1158,286,844,988,649,0,0,0,817524,1744,767176,1699,S,13753,0,235,0,116,30,0,0,43,3366432768,44957,0,821883,45053,35970,5,0
2023-01-11 00:04:21.796960,1175,299,857,988,650,0,0,0,819858,1772,771971,1730,S,13885,0,235,0,119,30,0,0,43,3366432768,45053,0,821883,45087,36000,5,0
2023-01-11 00:04:22.050927,1183,308,867,994,650,0,0,0,822282,1801,776963,1764,S,14108,0,235,0,120,31,0,0,43,3366432768,45087,0,821883,45089,36000,5,0
