#sk.jfox.weather.elsalvador_cuscatancingo
#./workspace/sk.jfox.weather.elsalvador_cuscatancingo_0/sk.jfox.weather.elsalvador_cuscatancingo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:39:47.469666,739,277,810,1908,1189,0,0,0,870238,1388,721014,1135,S,15892,1503,166,0,39,9,0,2,39,3375624192,49550,0,824133,49550,37046,5,0
2023-01-10 01:39:47.721753,746,280,813,1908,1189,0,0,0,874154,1437,729668,1182,S,16561,1503,167,0,58,9,0,2,39,3377410048,50244,0,827269,53900,39673,5,0
2023-01-10 01:39:47.992405,757,281,816,1908,1190,0,0,0,877773,1481,736930,1227,S,19200,1503,202,0,76,15,0,2,42,3388448768,53900,0,828815,55034,39768,5,0
2023-01-10 01:39:48.252399,761,282,818,1908,1190,0,0,0,878807,1493,738563,1237,S,20255,1503,205,0,86,16,0,2,42,3394809856,54973,0,828817,55034,39768,5,0
2023-01-10 01:39:48.522960,786,284,824,1908,1190,0,0,0,882535,1538,747262,1286,S,20292,1503,205,0,94,16,0,2,42,3394826240,55034,0,829675,54531,40105,5,0
2023-01-10 01:39:48.789907,875,288,839,1908,1190,0,0,0,886249,1582,753208,1327,R,20625,1503,216,0,157,19,0,2,44,3399389184,54526,0,829675,54529,40105,5,0
2023-01-10 01:39:49.285453,875,288,838,1908,1190,0,0,0,888486,1609,758861,1356,S,20702,1503,217,0,175,20,0,2,44,3398348800,54553,0,829675,54522,40105,5,0
2023-01-10 01:39:49.555413,940,289,848,1908,1190,0,0,0,891183,1641,764861,1390,S,20761,1503,217,0,190,20,0,2,44,3398348800,54529,0,829675,54522,40105,5,0
2023-01-10 01:39:49.824502,929,289,846,1908,1190,0,0,0,889943,1626,761710,1375,S,20749,1503,217,0,187,20,0,2,44,3398348800,54529,0,829675,54522,40105,5,0
2023-01-10 01:39:49.039765,875,288,839,1908,1190,0,0,0,890691,1635,763486,1384,S,20700,1503,217,0,174,20,0,2,44,3398348800,54553,0,829675,54522,40105,5,0
