#sk.jfox.weather.sale
#./workspace/sk.jfox.weather.sale_0/sk.jfox.weather.sale.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:45:22.202827,920,374,879,1767,1088,0,0,0,845212,1078,692008,860,R,19081,1516,201,0,66,13,0,1,41,3383648256,53379,0,826086,53427,39283,5,0
2023-01-10 03:45:22.473674,933,375,882,1767,1089,0,0,0,847886,1110,697179,896,S,19300,1516,201,0,82,15,0,1,41,3383648256,53427,0,826086,53028,39286,5,0
2023-01-10 03:45:22.754779,941,375,884,1767,1089,0,0,0,849908,1134,701546,922,S,19307,1516,201,0,85,16,0,1,41,3383648256,53028,0,827196,52707,39480,5,0
2023-01-10 03:45:23.006998,948,376,888,1767,1089,0,0,0,852526,1166,707674,956,S,19377,1516,212,0,89,17,0,1,43,3387154432,52828,0,826948,53680,39562,5,0
2023-01-10 03:45:23.272715,957,378,893,1768,1091,0,0,0,854614,1191,712041,982,S,21557,1516,213,0,99,21,0,1,43,3391389696,54728,1,827980,54728,39632,5,0
2023-01-10 03:45:23.517960,981,378,897,1773,1091,0,0,0,857524,1227,717602,1022,S,21598,1516,213,0,123,21,0,1,43,3391430656,54728,1,827988,54728,39632,5,0
2023-01-10 03:45:23.793569,1017,379,902,1779,1091,0,0,0,859726,1253,722505,1055,S,21603,1516,214,0,145,21,0,1,43,3391438848,54728,1,827988,54728,39632,5,0
2023-01-10 03:45:24.059429,1046,380,906,1782,1091,0,0,0,862102,1282,727031,1083,S,21673,1516,214,0,167,21,0,1,43,3391438848,54544,0,827988,54385,39648,5,0
2023-01-10 03:45:24.323066,1073,380,912,1784,1091,0,0,0,864752,1314,731983,1116,S,21730,1516,214,0,185,21,0,1,43,3391438848,54385,0,827988,54011,39648,5,0
2023-01-10 03:45:24.580142,1107,381,917,1786,1091,0,0,0,866746,1338,736506,1144,R,21763,1516,214,0,202,21,0,1,43,3391438848,54011,1,827967,53992,39628,5,0
2023-01-10 03:45:24.841015,1127,381,921,1793,1091,0,0,0,869212,1368,741477,1178,S,21767,1516,214,0,205,21,0,1,43,3391352832,53990,0,827967,53969,39628,5,0
2023-01-10 03:45:25.096396,1159,381,925,1801,1091,0,0,0,871682,1398,746161,1208,S,21787,1516,214,0,219,23,0,1,43,3391352832,53961,1,827967,53961,39628,5,0
2023-01-10 03:45:25.341434,1184,381,930,1802,1091,0,0,0,873964,1426,750887,1239,S,21788,1516,214,0,227,23,0,1,43,3391352832,53961,0,827967,53961,39628,5,0
2023-01-10 03:45:25.598733,1207,381,935,1810,1092,0,0,0,876340,1455,755481,1268,S,21832,1516,214,0,232,24,0,1,43,3391352832,53961,1,827967,53932,39644,5,0
2023-01-10 03:45:25.862927,1227,381,938,1819,1092,0,0,0,878896,1486,760459,1301,S,21914,1516,214,0,235,24,0,1,43,3391352832,53909,1,827967,53777,39644,5,0
2023-01-10 03:45:26.128278,1251,382,942,1838,1092,0,0,0,881494,1518,765413,1334,S,21949,1516,214,0,240,25,0,1,43,3391352832,53767,0,827967,53767,39644,5,0
2023-01-10 03:45:26.378306,1274,382,947,1854,1092,0,0,0,883828,1546,770235,1365,S,21950,1516,214,0,244,25,0,1,43,3391352832,53760,1,827967,53760,39644,5,0
2023-01-10 03:45:26.638519,1292,383,951,1867,1093,0,0,0,886360,1577,775255,1399,S,21952,1516,214,0,247,27,0,1,43,3391352832,53755,0,827967,53755,39644,5,0
2023-01-10 03:45:26.920122,1330,383,957,1872,1093,0,0,0,888892,1608,780671,1438,S,21952,1516,214,0,268,28,0,1,43,3391352832,53755,1,827967,53755,39644,5,0
2023-01-10 03:45:27.187479,1352,384,961,1884,1093,0,0,0,891292,1637,785691,1472,S,21955,1516,215,0,274,28,0,1,43,3391352832,53879,0,827967,53879,39734,5,0
2023-01-10 03:45:27.451942,1365,384,964,1902,1093,0,0,0,893758,1667,791233,1509,S,21968,1516,215,0,275,29,0,1,43,3391352832,53879,0,827967,53879,39734,5,0
2023-01-10 03:45:27.722677,1379,385,966,1921,1093,0,0,0,896266,1698,797051,1545,S,21978,1516,215,0,286,31,0,1,43,3391352832,53879,0,827967,53879,39734,5,0
2023-01-10 03:45:27.996058,1397,385,970,1930,1093,0,0,0,899114,1733,803150,1580,S,21982,1516,215,0,303,32,0,1,43,3391352832,53849,0,827967,53849,39734,5,0
2023-01-10 03:45:28.234107,1408,385,972,1938,1093,0,0,0,901330,1760,807792,1609,S,21982,1516,215,0,310,34,0,1,43,3391352832,53849,0,827967,53849,39734,5,0
2023-01-10 03:45:28.499058,1415,385,976,1950,1093,0,0,0,903706,1789,812434,1638,S,22004,1516,219,0,312,34,0,1,43,3391352832,53849,1,827967,53849,39734,5,0
2023-01-10 03:45:28.759154,1423,391,980,1961,1094,0,0,0,905950,1816,817076,1667,S,22100,1516,219,0,317,35,0,1,43,3391352832,53882,0,827967,53882,39766,5,0
2023-01-10 03:45:29.019810,1434,391,981,1963,1094,0,0,0,908638,1849,823331,1704,S,22101,1516,219,0,321,35,0,1,43,3391352832,53882,0,827967,53882,39766,5,0
2023-01-10 03:45:29.290645,1447,391,984,1966,1094,0,0,0,911723,1886,829974,1743,S,22104,1516,219,0,327,36,0,1,43,3391352832,53882,1,827967,53882,39766,5,0
2023-01-10 03:45:29.553661,1456,391,986,1968,1094,0,0,0,913721,1910,832939,1766,S,22136,1516,219,0,339,37,0,1,43,3391352832,53882,1,827967,53860,39766,5,0
2023-01-10 03:45:29.798079,1484,391,991,1971,1094,0,0,0,916145,1939,837869,1799,S,22166,1516,219,0,352,38,0,1,43,3391352832,53860,0,827967,54011,39869,5,0
2023-01-10 03:45:30.055455,1512,391,995,1974,1094,0,0,0,917983,1961,842019,1822,S,22208,1516,219,0,374,40,0,1,43,3391352832,54011,0,827967,54011,39869,5,0
2023-01-10 03:45:30.323299,1535,391,999,1977,1094,0,0,0,920383,1990,846727,1852,S,22322,1516,219,0,384,41,0,1,43,3391352832,54011,0,827967,54011,39869,5,0
2023-01-10 03:45:30.593874,1564,391,1003,1981,1094,0,0,0,923137,2024,851748,1886,S,22377,1516,219,0,408,44,0,1,43,3391352832,54011,0,827967,54042,39900,5,0
2023-01-10 03:45:30.849328,1603,392,1008,1984,1094,0,0,0,925655,2054,858854,1919,S,22528,1516,219,0,435,45,0,1,43,3391352832,54042,0,827967,54042,39900,5,0
2023-01-10 03:45:31.110433,1617,392,1010,1985,1094,0,0,0,927181,2072,861795,1942,S,22532,1516,219,0,442,46,0,1,43,3391352832,54042,0,827967,54108,39900,5,0
2023-01-10 03:45:31.372130,1654,393,1017,1988,1094,0,0,0,930035,2106,868266,1980,S,22608,1516,219,0,459,47,0,1,43,3391352832,54108,1,827967,54117,39916,5,0
2023-01-10 03:45:31.624220,1684,393,1020,1988,1094,0,0,0,932624,2137,873197,2013,S,22662,1516,219,0,492,48,0,1,43,3391352832,54117,0,827967,54117,39916,5,0
2023-01-10 03:45:31.883845,1718,393,1024,1988,1094,0,0,0,933871,2152,875693,2031,S,22663,1516,219,0,499,48,0,1,43,3391352832,54117,0,827967,54117,39916,5,0
