#soon.giil.panzeraceonline
#./workspace/soon.giil.panzeraceonline_0/soon.giil.panzeraceonline.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:37:44.563956,779,298,826,1625,1299,0,0,0,884564,1058,654449,784,S,8585,0,171,0,9,7,0,0,35,3488198656,49331,1,851611,49331,42657,5,0
2023-01-09 23:37:44.830858,787,299,831,1631,1300,0,0,0,887810,1098,661554,827,S,8586,0,171,0,9,7,0,0,35,3488198656,49331,1,851611,49331,42657,5,0
2023-01-09 23:37:45.096368,796,303,834,1646,1300,0,0,0,891206,1140,666988,864,S,10738,0,191,0,11,8,0,0,40,3504074752,52332,1,856737,55630,47607,5,0
2023-01-09 23:37:45.351688,802,305,836,1646,1301,0,0,0,893885,1172,673181,898,S,12925,0,214,0,14,9,0,0,40,3508826112,55874,1,838858,48330,40111,5,0
2023-01-09 23:37:45.610371,809,307,839,1646,1303,0,0,0,895160,1187,675586,915,S,12926,0,214,0,15,9,0,0,40,3438915584,49026,1,838858,48332,40111,5,0
2023-01-09 23:37:45.876230,815,308,843,1646,1303,0,0,0,898000,1222,680731,950,S,12954,0,215,0,16,10,0,0,40,3435962368,48332,0,838858,48332,40111,5,0
2023-01-09 23:37:46.162896,825,311,846,1646,1304,0,0,0,900244,1249,685540,982,S,12963,0,215,0,16,10,0,0,40,3435962368,48332,0,839212,48689,40629,5,0
2023-01-09 23:37:46.427102,831,314,851,1648,1308,0,0,0,903332,1288,690460,1015,D,13527,0,229,0,19,11,0,0,40,3441156096,49073,0,840412,49384,41224,5,0
2023-01-09 23:37:46.698080,841,315,857,1650,1309,0,0,0,905482,1314,695113,1045,S,14169,0,234,0,21,12,0,0,40,3442327552,49384,0,840254,49315,41150,5,0
2023-01-09 23:37:46.950016,866,315,864,1650,1310,0,0,0,907886,1343,699635,1073,R,14378,0,234,0,22,12,0,0,40,3441680384,49382,0,840242,49369,41177,5,0
2023-01-09 23:37:47.230011,895,316,875,1651,1312,0,0,0,910565,1375,705965,1109,S,14916,0,235,0,25,12,0,0,40,3441631232,49434,1,841267,49390,41193,5,0
2023-01-09 23:37:47.480134,913,317,881,1651,1312,0,0,0,911590,1387,708248,1124,S,14993,0,236,0,26,12,0,0,40,3445829632,49390,1,841267,49390,41193,5,0
2023-01-09 23:37:47.739553,940,319,888,1653,1312,0,0,0,914392,1421,713695,1163,S,15124,0,236,0,28,12,0,0,40,3445829632,49390,0,841267,49390,41193,5,0
2023-01-09 23:37:47.995030,947,320,890,1678,1317,0,0,0,917080,1454,718734,1197,S,15176,0,236,0,29,12,0,0,40,3445960704,49391,0,841299,49392,41193,5,0
2023-01-09 23:37:48.260367,950,320,893,1723,1317,0,0,0,919768,1487,723731,1230,S,15243,0,236,0,30,12,0,0,40,3445960704,49392,0,841299,49392,41193,5,0
2023-01-09 23:37:48.520930,952,320,894,1767,1317,0,0,0,922522,1521,728794,1264,S,15301,0,236,0,30,12,0,0,40,3445960704,49388,0,841299,49388,41208,5,0
2023-01-09 23:37:48.771121,954,321,896,1809,1319,0,0,0,925474,1558,734313,1304,S,15331,0,237,0,30,13,0,0,40,3445960704,49405,0,841299,49405,41224,5,0
2023-01-09 23:37:49.026550,960,321,899,1842,1319,0,0,0,927808,1586,739328,1338,S,15331,0,237,0,31,13,0,0,40,3445960704,49405,1,841299,50087,41932,5,0
2023-01-09 23:37:49.302173,968,322,901,1883,1319,0,0,0,930892,1625,744562,1373,R,15408,0,237,0,31,14,0,0,40,3445960704,50088,1,841299,50089,41933,5,0
2023-01-09 23:37:49.552467,970,322,904,1923,1319,0,0,0,933778,1661,750170,1410,S,15422,0,237,0,32,14,0,0,40,3445960704,50089,1,841299,50089,41933,5,0
2023-01-09 23:37:49.807704,973,323,907,1966,1320,0,0,0,936400,1693,756132,1452,S,15447,0,237,0,32,14,0,0,40,3445960704,50089,1,841299,50089,41933,5,0
2023-01-09 23:37:50.073189,976,323,911,2009,1322,0,0,0,938956,1724,762296,1492,S,15533,0,237,0,32,14,0,0,40,3445960704,50105,0,841299,50105,41949,5,0
2023-01-09 23:37:50.338633,984,323,914,2046,1324,0,0,0,941710,1758,768257,1531,S,15542,0,237,0,33,14,0,0,40,3445960704,50096,1,841299,50135,41964,5,0
2023-01-09 23:37:50.594019,991,331,918,2054,1324,0,0,0,944474,1792,772907,1560,S,15593,0,237,0,34,14,0,0,40,3445960704,50135,0,841427,50122,41945,5,0
2023-01-09 23:37:50.849486,998,331,921,2056,1326,0,0,0,947294,1827,777857,1593,S,16022,0,237,0,35,15,0,0,40,3446484992,50122,0,841427,50122,41945,5,0
2023-01-09 23:37:51.116470,1008,331,924,2063,1326,0,0,0,949916,1859,784223,1631,S,16045,0,237,0,35,15,0,0,40,3446484992,50122,1,841506,50226,42039,5,0
2023-01-09 23:37:51.375405,1021,331,929,2065,1326,0,0,0,952448,1890,788970,1662,S,16211,0,237,0,36,16,0,0,40,3446484992,50179,0,841427,50177,41990,5,0
2023-01-09 23:37:51.656538,1057,332,934,2067,1326,0,0,0,954872,1919,794209,1699,S,16226,0,237,0,37,16,0,0,40,3446484992,50177,1,841427,50178,41990,5,0
2023-01-09 23:37:51.882831,1061,332,936,2088,1326,0,0,0,957626,1953,799472,1736,S,16325,0,237,0,37,16,0,0,40,3446484992,50178,1,841427,50178,41990,5,0
2023-01-09 23:37:52.143249,1064,332,938,2134,1326,0,0,0,960380,1987,804604,1771,S,16412,0,237,0,38,16,0,0,40,3446484992,50205,1,841427,50205,42016,5,0
2023-01-09 23:37:52.399657,1069,333,940,2172,1326,0,0,0,963002,2019,809934,1809,S,16412,0,237,0,38,16,0,0,40,3446484992,50205,1,841427,50231,42031,5,0
2023-01-09 23:37:52.670462,1092,333,945,2190,1326,0,0,0,965690,2052,814868,1841,S,16883,0,237,0,40,16,0,0,40,3446484992,50264,0,841427,50264,42063,5,0
2023-01-09 23:37:52.916859,1106,334,948,2214,1326,0,0,0,968354,2085,819622,1871,S,16924,0,237,0,41,17,0,0,40,3446484992,50265,1,841506,50324,42122,5,0
2023-01-09 23:37:53.182436,1129,334,952,2222,1326,0,0,0,970796,2115,825581,1905,S,17360,0,237,0,43,17,0,0,40,3446484992,50267,1,841427,50267,42063,5,0
2023-01-09 23:37:53.422595,1158,335,957,2226,1326,0,0,0,973196,2144,830513,1938,S,17488,0,238,0,44,18,0,0,40,3446808576,50333,1,841506,50333,42123,5,0
