#spring.wallpaper031912
#./workspace/spring.wallpaper031912_0/spring.wallpaper031912.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 00:02:18.381333,1009,231,716,1389,609,0,0,0,782943,1179,623430,1021,R,6773,0,2,0,44,7,0,0,15,3311173632,30316,0,808444,32323,24030,5,0
2023-01-11 00:02:18.657358,1017,232,718,1389,609,0,0,0,784653,1199,628463,1044,R,6822,0,2,0,57,7,0,0,15,3311173632,30381,0,809518,34331,26245,5,0
2023-01-11 00:02:18.902563,1029,234,722,1389,609,0,0,0,789147,1254,636949,1099,R,9033,0,83,0,67,13,0,0,21,3328507904,36456,0,814696,38561,30417,5,0
2023-01-11 00:02:19.688941,1052,236,733,1389,609,0,0,0,794095,1314,650344,1168,S,10208,0,177,0,75,20,0,0,35,3342721024,39297,0,817375,40406,30886,5,0
2023-01-11 00:02:19.172770,1036,235,727,1389,609,0,0,0,789393,1257,638114,1103,S,9440,0,155,0,68,15,0,0,28,3334455296,37541,0,818433,40795,30906,5,0
2023-01-11 00:02:19.959593,1056,237,735,1389,609,0,0,0,796706,1345,655583,1205,R,10676,0,177,0,81,20,0,0,38,3344568320,39712,0,818379,41495,31175,5,0
2023-01-11 00:02:19.446393,1046,236,731,1389,609,0,0,0,797482,1354,657421,1215,R,11433,0,178,0,85,20,0,0,41,3347968000,40464,0,818379,41495,31175,5,0
2023-01-11 00:02:20.496299,1071,238,740,1389,609,0,0,0,800172,1385,663290,1248,R,12514,0,178,0,87,20,0,0,43,3355447296,41432,0,818389,41716,31319,5,0
2023-01-11 00:02:20.221582,1082,238,743,1389,609,0,0,0,802887,1418,668717,1282,S,12546,0,178,0,88,20,0,0,40,3352080384,41495,0,818303,41412,31310,5,0
2023-01-11 00:02:20.744780,1084,238,744,1389,609,0,0,0,803317,1423,670023,1288,S,12548,0,178,0,88,20,0,0,40,3352080384,41495,0,818303,41412,31310,5,0
2023-01-11 00:02:20.995141,1091,238,746,1389,609,0,0,0,805741,1452,676155,1322,S,12816,0,181,0,90,20,0,0,40,3351769088,41412,0,818303,41412,31310,5,0
2023-01-11 00:02:21.254888,1097,240,750,1389,609,0,0,0,806946,1466,678384,1335,S,12816,0,181,0,90,20,0,0,40,3351769088,41412,0,818303,41412,31310,5,0
2023-01-11 00:02:21.510288,1103,242,754,1389,609,0,0,0,810001,1504,684972,1372,S,12816,0,181,0,90,20,0,0,40,3351769088,41412,0,818303,41412,31310,5,0
2023-01-11 00:02:21.768841,1117,245,760,1389,609,0,0,0,813394,1545,692142,1415,S,12816,0,181,0,90,20,0,0,40,3351769088,41412,0,818303,41412,31310,5,0
2023-01-11 00:02:22.034407,1117,245,760,1389,609,0,0,0,813827,1550,693529,1422,S,12816,0,181,0,90,20,0,0,40,3351769088,41412,0,818303,41412,31310,5,0
2023-01-11 00:02:22.312599,1126,246,764,1389,609,0,0,0,816747,1585,699037,1462,S,12828,0,181,0,90,20,0,0,41,3352891392,41413,0,818609,41413,31310,5,0
2023-01-11 00:02:22.572355,1135,249,768,1389,609,0,0,0,819345,1617,704011,1496,S,12846,0,181,0,90,20,0,0,41,3353022464,41413,0,818609,41413,31310,5,0
2023-01-11 00:02:22.838061,1139,252,771,1389,609,0,0,0,821769,1646,708852,1528,S,12846,0,181,0,90,20,0,0,41,3353022464,41413,0,818609,41413,31310,5,0
2023-01-11 00:02:23.093617,1145,256,776,1389,609,0,0,0,824984,1686,716967,1571,S,12850,0,181,0,90,20,0,0,41,3353022464,41413,0,818609,41413,31310,5,0
2023-01-11 00:02:23.359216,1150,259,779,1389,609,0,0,0,826756,1707,719862,1593,S,12850,0,181,0,90,20,0,0,41,3353022464,41413,0,818609,41413,31310,5,0
2023-01-11 00:02:23.629743,1156,263,784,1389,609,0,0,0,829198,1737,724771,1626,S,12850,0,181,0,90,20,0,0,41,3353022464,41413,0,818609,41413,31310,5,0
