#st.shoutca.baseapp.pinoybeat
#./workspace/st.shoutca.baseapp.pinoybeat_0/st.shoutca.baseapp.pinoybeat.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:31:42.745292,678,254,791,1812,1228,0,0,0,913235,1265,667994,998,S,13356,0,5,0,52,10,0,0,18,3330400256,39548,0,813118,39651,27491,5,0
2023-01-10 00:31:42.998364,686,255,793,1812,1228,0,0,0,914737,1283,670483,1016,S,13557,0,5,0,53,11,0,0,18,3330531328,39651,0,813118,39651,27491,5,0
2023-01-10 00:31:43.275414,693,256,795,1812,1228,0,0,0,917501,1316,675853,1053,S,13557,0,5,0,55,11,0,0,18,3330531328,39651,0,813118,39011,27506,5,0
2023-01-10 00:31:43.525803,700,257,798,1812,1228,0,0,0,919363,1338,681662,1083,S,13557,0,5,0,57,12,0,0,18,3330531328,39142,0,813118,39520,27506,5,0
2023-01-10 00:31:43.796551,708,259,802,1812,1228,0,0,0,922982,1382,689120,1131,S,14546,0,6,0,66,13,0,0,18,3330543616,39520,0,813121,39520,27506,5,0
2023-01-10 00:31:44.046568,712,260,804,1812,1228,0,0,0,924725,1403,692144,1155,S,14546,0,6,0,67,14,0,0,18,3330543616,39520,0,813121,39520,27506,5,0
2023-01-10 00:31:44.306982,719,262,808,1812,1228,0,0,0,927659,1439,697366,1191,S,14546,0,6,0,68,16,0,0,18,3330543616,39520,0,813121,39060,27506,5,0
2023-01-10 00:31:44.563962,726,264,812,1812,1228,0,0,0,930479,1474,702599,1228,S,14564,0,6,0,71,16,0,0,18,3330543616,39060,0,813121,38747,27506,5,0
2023-01-10 00:31:44.819354,735,266,816,1812,1228,0,0,0,932633,1500,706986,1254,S,14570,0,6,0,75,16,0,0,18,3330543616,38747,0,813121,38747,27506,5,0
2023-01-10 00:31:45.082107,740,269,819,1812,1228,0,0,0,934849,1527,711775,1285,S,14571,0,6,0,76,17,0,0,18,3330543616,38747,0,813121,38747,27506,5,0
2023-01-10 00:31:45.337718,750,272,824,1812,1228,0,0,0,936895,1551,716491,1316,S,14571,0,6,0,79,18,0,0,18,3330543616,38715,0,813121,38681,27506,5,0
2023-01-10 00:31:45.593531,757,275,828,1814,1228,0,0,0,939361,1581,721346,1348,S,14573,0,6,0,80,21,0,0,18,3330543616,38640,1,813121,38630,27506,5,0
2023-01-10 00:31:45.854896,765,276,832,1826,1228,0,0,0,942247,1617,726315,1381,S,14593,0,6,0,83,21,0,0,18,3330543616,38613,1,813121,39386,27506,5,0
2023-01-10 00:31:46.126080,779,277,835,1842,1228,0,0,0,944647,1646,731170,1413,S,15808,0,6,0,92,23,0,0,18,3330555904,39451,1,813124,39451,27506,5,0
2023-01-10 00:31:46.377840,791,278,837,1860,1228,0,0,0,947221,1678,737080,1446,S,15824,0,6,0,94,23,0,0,18,3330686976,39451,0,813156,39451,27506,5,0
2023-01-10 00:31:46.638314,801,278,841,1879,1228,0,0,0,949687,1708,742001,1479,S,15858,0,6,0,97,24,0,0,18,3330686976,39252,1,813156,38928,27506,5,0
2023-01-10 00:31:46.916370,813,279,844,1897,1228,0,0,0,952477,1743,746989,1513,R,15858,0,6,0,100,25,0,0,18,3330686976,38889,0,813156,38821,27506,5,0
2023-01-10 00:31:47.171602,824,279,846,1914,1229,0,0,0,955297,1778,752067,1548,S,15858,0,6,0,104,25,0,0,18,3330686976,38821,0,813156,38762,27506,5,0
2023-01-10 00:31:47.426366,834,279,850,1928,1229,0,0,0,957853,1809,757079,1582,S,15876,0,7,0,107,27,0,0,18,3330686976,38724,0,813156,38592,27522,5,0
2023-01-10 00:31:47.676388,843,280,853,1947,1229,0,0,0,960541,1842,762157,1617,S,15876,0,7,0,109,27,0,0,18,3330686976,38592,1,813156,38592,27522,5,0
2023-01-10 00:31:47.942120,853,280,856,1972,1229,0,0,0,963139,1874,767235,1652,S,15877,0,7,0,113,28,0,0,18,3330686976,38592,0,813156,38592,27522,5,0
2023-01-10 00:31:48.188944,860,280,859,1989,1229,0,0,0,965497,1902,772110,1685,S,15877,0,7,0,115,30,0,0,18,3330686976,38591,1,813156,38724,27611,5,0
2023-01-10 00:31:48.471637,874,280,862,2007,1229,0,0,0,968137,1935,776919,1717,S,15877,0,7,0,123,30,0,0,18,3330686976,38721,0,813156,38715,27611,5,0
2023-01-10 00:31:48.752227,884,280,865,2033,1229,0,0,0,970357,1962,781441,1745,S,15878,0,7,0,126,31,0,0,18,3330686976,38715,0,813156,38715,27611,5,0
2023-01-10 00:31:49.018767,895,281,871,2043,1232,0,0,0,972925,1994,786209,1776,S,15884,0,7,0,129,31,0,0,18,3330686976,38715,0,813156,38704,27611,5,0
