#tw.nicky.RemoteControlPhone
#./workspace/tw.nicky.RemoteControlPhone_0/app4331.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:42:55.038969,1230,314,931,1010,934,0,0,0,707795,1225,789271,1176,S,4994,0,30,0,11,2,0,0,14,3295014912,28384,0,805168,29051,23292,5,0
2023-01-11 04:42:55.300885,1239,315,936,1010,934,0,0,0,710786,1261,795666,1213,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:55.566576,1245,316,939,1010,934,0,0,0,712709,1284,800144,1240,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:55.816759,1249,317,943,1010,934,0,0,0,714481,1305,803299,1266,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:56.086942,1254,318,946,1010,934,0,0,0,717061,1336,809532,1301,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:56.347477,1259,322,950,1010,934,0,0,0,719263,1362,815510,1335,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:56.626047,1263,325,954,1010,934,0,0,0,721819,1393,820408,1368,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:56.886647,1266,330,957,1010,934,0,0,0,724219,1422,825060,1398,S,5716,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:57.147568,1270,333,960,1010,934,0,0,0,726619,1451,829803,1429,S,5718,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:57.407394,1273,337,964,1010,934,0,0,0,729619,1488,835177,1468,S,5718,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:57.662508,1279,340,970,1010,934,0,0,0,732533,1524,840166,1502,S,5718,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29051,23292,5,0
2023-01-11 04:42:57.923020,1281,343,973,1010,934,0,0,0,734839,1552,845130,1535,S,5718,0,31,0,12,4,0,0,14,3297968128,29051,0,805168,29241,23432,5,0
2023-01-11 04:42:58.203134,1292,347,978,1010,934,0,0,0,737985,1590,852084,1577,S,6804,0,33,0,15,4,0,0,14,3302273024,29776,0,806251,29944,23523,5,0
2023-01-11 04:42:58.464178,1296,347,979,1010,934,0,0,0,739636,1609,855310,1600,S,6804,0,33,0,15,4,0,0,14,3302273024,29776,0,806251,29944,23523,5,0
2023-01-11 04:42:58.724196,1301,348,986,1012,934,0,0,0,742188,1640,861061,1639,S,7013,0,33,0,15,5,0,0,14,3302404096,29944,0,806475,30832,24340,5,0
2023-01-11 04:42:58.979771,1316,349,993,1024,934,0,0,0,744720,1671,866373,1673,S,7262,0,33,0,17,5,0,0,14,3303321600,30832,0,806475,31266,24701,5,0
2023-01-11 04:42:59.245304,1355,351,1010,1030,934,0,0,0,749376,1728,876698,1729,S,7787,0,40,0,27,6,0,0,14,3303157760,31209,1,806983,31011,25068,5,0
2023-01-11 04:42:59.492965,1370,351,1012,1030,934,0,0,0,750283,1739,878445,1740,R,7858,0,40,0,29,7,0,0,16,3305381888,31284,1,807009,31783,25098,5,0
2023-01-11 04:43:00.015406,1464,353,1033,1031,934,0,0,0,755620,1803,890788,1807,S,9528,0,43,0,38,10,0,0,16,3305508864,31783,1,807547,31918,25120,5,0
2023-01-11 04:42:59.744798,1401,352,1019,1031,934,0,0,0,757162,1822,895064,1829,R,8133,0,42,0,31,8,0,0,16,3305402368,31011,1,807573,31962,25120,5,0
2023-01-11 04:43:00.524365,1511,354,1040,1031,934,0,0,0,761006,1867,901701,1871,S,9597,0,43,0,41,10,0,0,16,3305508864,31783,1,807573,31962,25120,5,0
2023-01-11 04:43:00.280859,1535,354,1046,1031,934,0,0,0,759641,1851,899006,1852,S,9596,0,43,0,41,10,0,0,16,3305508864,31783,1,807573,31962,25120,5,0
2023-01-11 04:43:00.789459,1549,355,1049,1031,934,0,0,0,761966,1879,904259,1887,S,9823,0,43,0,44,10,0,0,16,3307712512,31918,1,807599,31962,25120,5,0
2023-01-11 04:43:01.319147,1558,355,1053,1031,934,0,0,0,764710,1912,909811,1925,S,9890,0,43,0,46,11,0,0,16,3307712512,31962,1,807599,32013,25136,5,0
2023-01-11 04:43:01.058698,1558,355,1054,1031,934,0,0,0,765367,1920,911222,1932,R,9893,0,43,0,47,11,0,0,16,3307712512,31962,1,807599,32013,25136,5,0
2023-01-11 04:43:01.588591,1601,360,1074,1031,934,0,0,0,768005,1951,917007,1970,S,9965,0,43,0,52,12,0,0,16,3307925504,31962,1,807625,32014,25136,5,0
2023-01-11 04:43:01.848899,1610,362,1080,1031,934,0,0,0,769852,1974,921267,1995,S,9967,0,43,0,53,12,0,0,16,3307925504,32013,1,807625,32014,25136,5,0
2023-01-11 04:43:02.105192,1630,366,1091,1031,934,0,0,0,771742,1996,924781,2023,S,9986,0,43,0,54,13,0,0,16,3308032000,32014,1,807625,31845,25136,5,0
2023-01-11 04:43:02.362398,1642,368,1099,1031,934,0,0,0,773670,2019,930697,2057,S,10037,0,43,0,56,13,0,0,16,3308138496,31845,1,807651,31845,25136,5,0
2023-01-11 04:43:02.619180,1665,372,1110,1031,934,0,0,0,775980,2047,935730,2087,S,10047,0,43,0,58,13,0,0,16,3308244992,31845,1,807677,31845,25136,5,0
2023-01-11 04:43:02.874990,1680,378,1119,1031,935,0,0,0,779409,2088,943824,2133,S,10091,0,43,0,59,13,0,0,16,3308244992,31908,1,807677,31348,25175,5,0
2023-01-11 04:43:03.134820,1744,380,1130,1033,935,0,0,0,782771,2128,950887,2175,S,10456,0,43,0,64,15,0,0,16,3308859392,32210,1,807677,31348,25175,5,0
2023-01-11 04:43:03.650979,1776,381,1139,1033,935,0,0,0,784354,2147,955887,2199,S,10483,0,43,0,65,15,0,0,16,3308244992,31348,1,807677,31348,25175,5,0
2023-01-11 04:43:03.390253,1762,380,1133,1033,935,0,0,0,783952,2142,954566,2193,S,10480,0,43,0,64,15,0,0,16,3308244992,31348,1,807677,31348,25175,5,0
2023-01-11 04:43:03.916550,1804,381,1148,1033,935,0,0,0,786836,2176,961279,2237,S,10483,0,43,0,65,15,0,0,16,3308244992,31348,1,807677,31416,25175,5,0
2023-01-11 04:43:04.170564,1812,383,1157,1034,935,0,0,0,788296,2193,963993,2257,S,10484,0,43,0,65,15,0,0,16,3308244992,31348,1,807677,31416,25175,5,0
2023-01-11 04:43:04.436439,1829,388,1169,1037,935,0,0,0,790786,2223,968897,2290,S,10644,0,43,0,67,15,0,0,16,3308244992,31416,1,807469,31414,25239,5,0
2023-01-11 04:43:04.685059,1848,389,1178,1042,935,0,0,0,793492,2257,973645,2321,S,10778,0,43,0,72,16,0,0,16,3307499520,31413,1,807495,31413,25239,5,0
2023-01-11 04:43:04.955748,1867,394,1189,1044,935,0,0,0,795892,2286,978507,2353,S,10778,0,43,0,72,16,0,0,16,3307499520,31413,1,807495,31413,25239,5,0
2023-01-11 04:43:05.221357,1876,405,1202,1049,935,0,0,0,798490,2318,983345,2385,S,10778,0,43,0,72,16,0,0,16,3307499520,31413,1,807521,31507,25269,5,0
2023-01-11 04:43:05.746038,1970,410,1221,1050,935,0,0,0,806792,2418,1000780,2487,S,11348,0,43,0,84,18,0,0,16,3307913216,31550,0,807521,31576,25299,5,0
2023-01-11 04:43:05.470031,1929,409,1214,1050,935,0,0,0,805673,2405,998937,2475,S,11037,0,43,0,81,18,0,0,16,3307606016,31432,0,807521,31576,25299,5,0
2023-01-11 04:43:06.532190,2065,412,1242,1050,935,0,0,0,808794,2442,1004660,2508,S,11424,0,43,0,84,18,0,0,16,3308220416,31616,0,807547,31514,25299,5,0
2023-01-11 04:43:05.996114,1994,410,1229,1050,935,0,0,0,809602,2452,1007418,2517,S,11423,0,43,0,84,18,0,0,16,3308220416,31616,0,807626,31714,25374,5,0
2023-01-11 04:43:07.058404,2161,412,1259,1050,935,0,0,0,816876,2538,1021966,2600,S,11620,0,43,0,89,19,0,0,16,3307712512,31514,0,807547,32414,25425,5,0
2023-01-11 04:43:07.844641,2187,413,1264,1050,935,0,0,0,816810,2537,1021786,2598,S,11616,0,43,0,89,19,0,0,16,3307712512,31576,0,807573,32414,25425,5,0
2023-01-11 04:43:07.318954,2158,412,1258,1050,935,0,0,0,816810,2537,1021786,2598,S,11611,0,43,0,88,19,0,0,16,3307606016,31576,0,807573,32409,25425,5,0
