#u.cbojwn.ooud
#./workspace/u.cbojwn.ooud_0/app128.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:51:10.227892,953,237,655,1328,1122,0,0,0,6984823,5327,854522,1317,S,6658,0,19,0,9,2,0,0,17,3303165952,30595,0,806565,30660,25033,5,0
2023-01-11 12:51:10.500818,967,238,659,1328,1122,0,0,0,6988403,5371,863313,1364,S,6854,0,19,0,11,2,0,0,17,3303690240,30660,0,806565,30681,25054,5,0
2023-01-11 12:51:10.755616,976,240,663,1328,1122,0,0,0,6991969,5410,870358,1407,S,6854,0,19,0,12,4,0,0,17,3303690240,30681,0,806565,30681,25054,5,0
2023-01-11 12:51:11.029563,979,240,665,1328,1122,0,0,0,6994431,5438,875106,1437,S,6854,0,19,0,13,4,0,0,17,3303690240,30681,0,806565,30681,25054,5,0
2023-01-11 12:51:11.290949,986,243,668,1328,1122,0,0,0,6995276,5448,877003,1448,S,6854,0,19,0,14,4,0,0,17,3303690240,30681,0,806565,30818,25132,5,0
2023-01-11 12:51:11.577062,996,246,673,1329,1122,0,0,0,7003859,5492,883864,1499,S,6979,0,20,0,16,4,0,0,17,3303690240,30818,0,806565,30818,25132,5,0
2023-01-11 12:51:11.818136,1005,248,676,1332,1122,0,0,0,7006781,5524,889071,1536,S,6982,0,20,0,17,4,0,0,17,3303690240,30818,0,806565,30818,25132,5,0
2023-01-11 12:51:12.074897,1016,251,681,1337,1122,0,0,0,7009813,5561,894679,1576,S,7004,0,20,0,19,4,0,0,17,3303690240,30818,0,806565,30818,25132,5,0
2023-01-11 12:51:12.326690,1028,252,686,1348,1123,0,0,0,7011703,5583,899132,1603,S,7021,0,20,0,20,4,0,0,17,3303690240,30818,0,806565,30818,25132,5,0
2023-01-11 12:51:12.583863,1037,252,691,1367,1123,0,0,0,7014583,5619,904241,1638,S,7034,0,20,0,20,5,0,0,17,3303690240,30818,1,806565,30960,25216,5,0
2023-01-11 12:51:12.854520,1049,252,696,1386,1124,0,0,0,7017247,5652,908964,1668,S,7172,0,20,0,22,5,0,0,17,3305791488,31166,0,807078,31166,25361,5,0
2023-01-11 12:51:13.089411,1058,252,700,1408,1125,0,0,0,7019873,5684,913897,1701,S,7176,0,20,0,23,5,0,0,17,3305791488,31166,0,807078,31166,25361,5,0
2023-01-11 12:51:13.388672,1070,253,707,1424,1125,0,0,0,7022309,5714,918655,1732,S,7193,0,20,0,23,5,0,0,17,3305791488,31166,0,807078,31166,25361,5,0
2023-01-11 12:51:13.633537,1097,253,714,1429,1125,0,0,0,7024751,5744,923330,1762,S,7303,0,20,0,26,5,0,0,17,3305791488,31167,0,807078,31167,25361,5,0
2023-01-11 12:51:13.886562,1109,255,721,1446,1125,0,0,0,7027547,5779,928251,1795,S,7451,0,20,0,27,6,0,0,17,3305791488,31168,0,807078,31168,25361,5,0
2023-01-11 12:51:14.151082,1125,255,730,1465,1125,0,0,0,7030510,5815,933236,1829,S,7456,0,20,0,29,6,0,0,17,3305791488,31168,0,807078,31261,25422,5,0
2023-01-11 12:51:14.415405,1142,256,738,1483,1125,0,0,0,7033168,5848,938075,1861,S,7459,0,20,0,30,6,0,0,17,3305791488,31261,0,807078,31261,25422,5,0
2023-01-11 12:51:14.687463,1153,257,745,1504,1125,0,0,0,7035766,5880,942972,1894,S,7463,0,20,0,31,6,0,0,17,3305791488,31228,0,807078,31228,25422,5,0
2023-01-11 12:51:14.930083,1167,257,752,1523,1125,0,0,0,7038586,5915,947929,1928,S,7468,0,20,0,32,6,0,0,17,3305791488,31228,0,807078,31246,25438,5,0
2023-01-11 12:51:15.190652,1179,258,760,1540,1125,0,0,0,7041094,5946,953863,1961,S,7572,0,20,0,33,7,0,0,17,3305791488,31246,1,807078,31246,25438,5,0
2023-01-11 12:51:15.448363,1199,261,771,1544,1125,0,0,0,7044239,5986,960229,2009,S,7589,0,20,0,34,7,0,0,17,3305791488,31246,0,807078,31246,25438,5,0
2023-01-11 12:51:15.710532,1213,262,777,1560,1125,0,0,0,7046969,6020,965324,2044,S,7592,0,20,0,35,7,0,0,17,3305791488,31246,0,807078,31246,25438,5,0
2023-01-11 12:51:15.966055,1227,266,786,1573,1125,0,0,0,7049790,6055,970344,2078,S,7680,0,20,0,37,7,0,0,17,3305791488,31004,0,807078,31004,25459,5,0
2023-01-11 12:51:16.234074,1240,266,793,1592,1125,0,0,0,7052431,6088,974995,2108,S,7684,0,20,0,38,7,0,0,17,3305791488,31004,0,807078,31004,25459,5,0
2023-01-11 12:51:16.504785,1256,267,801,1609,1125,0,0,0,7055057,6120,980167,2144,S,7694,0,20,0,39,7,0,0,17,3305791488,31004,0,807078,31004,25459,5,0
2023-01-11 12:51:16.768256,1270,274,809,1610,1125,0,0,0,7057764,6154,985157,2178,S,7749,0,20,0,40,7,0,0,17,3305791488,31005,0,807078,31005,25459,5,0
2023-01-11 12:51:17.053615,1282,274,813,1611,1126,0,0,0,7060429,6187,990159,2211,S,7753,0,20,0,41,7,0,0,17,3305791488,31005,0,807078,31097,25506,5,0
2023-01-11 12:51:17.313531,1294,274,817,1612,1126,0,0,0,7063022,6219,995557,2246,S,7757,0,20,0,42,8,0,0,17,3305791488,31097,1,807078,31097,25506,5,0
2023-01-11 12:51:17.569339,1306,274,820,1614,1126,0,0,0,7065770,6253,1001131,2283,S,7772,0,20,0,44,8,0,0,17,3305791488,31097,0,807078,31097,25506,5,0
2023-01-11 12:51:17.826654,1329,274,827,1618,1126,0,0,0,7068171,6282,1006397,2316,R,7777,0,20,0,45,8,0,0,17,3305791488,31097,0,807078,31097,25506,5,0
2023-01-11 12:51:18.087150,1344,274,836,1639,1126,0,0,0,7070860,6315,1012766,2354,S,7781,0,20,0,47,8,0,0,17,3305791488,31097,0,807078,31097,25506,5,0
2023-01-11 12:51:18.347611,1356,274,843,1658,1126,0,0,0,7073483,6347,1017780,2389,S,7891,0,20,0,47,9,0,0,17,3305791488,31130,0,807078,31130,25537,5,0
2023-01-11 12:51:18.603493,1372,276,851,1672,1126,0,0,0,7076496,6385,1022736,2423,S,7902,0,20,0,49,9,0,0,17,3305791488,31130,0,807078,31130,25537,5,0
2023-01-11 12:51:18.859558,1396,276,858,1684,1126,0,0,0,7079143,6418,1036494,2468,S,7907,0,20,0,50,9,0,0,17,3305791488,31130,0,807078,31130,25537,5,0
2023-01-11 12:51:19.114804,1411,279,866,1690,1126,0,0,0,7081811,6451,1043943,2505,S,7956,0,20,0,51,10,0,0,17,3305791488,31130,0,807078,31130,25537,5,0
2023-01-11 12:51:19.371273,1432,282,876,1696,1126,0,0,0,7087083,6494,1049589,2546,S,7976,0,20,0,52,10,0,0,17,3305791488,31130,0,807078,31146,25553,5,0
