#ynlxcd.cwductjwjc
#./workspace/ynlxcd.cwductjwjc_1/app1130.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:38:22.464485,904,318,881,1692,1180,0,0,0,447872,741,688506,785,S,11304,0,194,0,13,10,0,0,36,3344568320,41688,1,816545,41688,34696,5,0
2023-01-10 02:38:22.726928,915,319,887,1693,1185,0,0,0,450428,772,694889,820,S,11503,0,202,0,14,10,0,0,38,3351285760,42166,1,817403,42134,34948,5,0
2023-01-10 02:38:22.997551,924,324,894,1695,1189,0,0,0,453342,808,699984,854,S,11653,0,202,0,16,10,0,0,38,3348082688,42134,0,818233,42656,35565,5,0
2023-01-10 02:38:23.271824,932,328,901,1696,1190,0,0,0,455180,830,704438,881,S,12431,0,209,0,19,10,0,0,38,3351482368,42722,0,819258,43068,35955,5,0
2023-01-10 02:38:23.527715,939,330,906,1697,1191,0,0,0,457358,856,709024,910,S,12939,0,209,0,21,11,0,0,38,3355680768,43068,1,819258,43084,35971,5,0
2023-01-10 02:38:23.783222,946,330,910,1722,1191,0,0,0,460022,889,713880,942,S,13310,0,209,0,23,12,0,0,38,3355680768,43117,0,819258,43679,36486,5,0
2023-01-10 02:38:24.053012,960,331,913,1742,1193,0,0,0,462974,926,718916,976,S,13651,0,212,0,25,12,0,0,38,3355680768,43679,1,819258,43679,36486,5,0
2023-01-10 02:38:24.303835,984,331,917,1758,1193,0,0,0,465662,959,724085,1012,S,13688,0,212,0,26,13,0,0,39,3356770304,43681,0,819524,43722,36517,5,0
2023-01-10 02:38:24.582623,1006,333,923,1770,1193,0,0,0,468104,989,729052,1046,S,14341,0,213,0,30,13,0,0,39,3356770304,43758,0,819524,43773,36563,5,0
2023-01-10 02:38:24.834397,1028,335,929,1775,1193,0,0,0,470570,1019,733957,1079,S,14381,0,214,0,31,13,0,0,39,3356770304,43773,0,819524,43773,36563,5,0
2023-01-10 02:38:25.115885,1035,337,932,1808,1193,0,0,0,473210,1052,738660,1109,S,14417,0,214,0,32,14,0,0,39,3356770304,43772,1,819524,43773,36564,5,0
2023-01-10 02:38:25.377952,1042,337,934,1848,1193,0,0,0,476096,1088,743724,1143,S,14470,0,214,0,33,14,0,0,39,3356770304,43773,0,819524,43773,36564,5,0
2023-01-10 02:38:25.633325,1049,337,936,1885,1194,0,0,0,479180,1127,748656,1175,S,14495,0,214,0,34,14,0,0,39,3356770304,43762,0,819524,43762,36564,5,0
2023-01-10 02:38:25.901994,1059,337,939,1919,1194,0,0,0,481934,1161,753697,1209,R,14497,0,214,0,36,14,0,0,39,3356770304,43762,1,819556,43762,36564,5,0
