#Jk7H.PwcD
#./workspace/Jk7H.PwcD_0/app105.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 21:23:42.824903,952,261,658,4155,1427,0,0,0,104578,487,577360,706,S,3979,0,1,0,3,2,0,0,12,3288326144,25784,2,804256,27307,22682,5,0
2022-11-28 21:23:43.096635,976,261,665,4175,1427,0,0,0,107062,518,582862,732,S,5421,0,1,0,6,2,0,0,12,3294232576,27307,2,804256,27307,22682,5,0
2022-11-28 21:23:43.360193,992,267,669,4197,1427,0,0,0,109084,542,587491,761,S,5421,0,1,0,6,2,0,0,12,3294232576,27307,2,804256,27307,22682,5,0
2022-11-28 21:23:43.617262,1018,270,674,4221,1428,0,0,0,111616,573,593682,795,S,5465,0,1,0,7,3,0,0,12,3294232576,27515,1,804256,27515,22865,5,0
2022-11-28 21:23:43.884624,1023,270,675,4288,1428,0,0,0,114412,608,598422,825,S,5482,0,1,0,7,3,0,0,12,3294232576,27516,1,804256,27516,22866,5,0
2022-11-28 21:23:44.145103,1027,270,678,4357,1428,0,0,0,117100,641,603564,860,S,5711,0,1,0,8,3,0,0,12,3294232576,27691,2,804257,28159,23436,5,0
2022-11-28 21:23:44.400404,1030,270,679,4428,1429,0,0,0,119698,673,608418,891,S,5804,0,1,0,8,3,0,0,12,3294236672,28159,2,804257,28174,23451,5,0
2022-11-28 21:23:44.666066,1044,270,682,4489,1430,0,0,0,122272,705,613093,920,S,5830,0,1,0,11,3,0,0,12,3294236672,28174,2,804257,28174,23451,5,0
2022-11-28 21:23:44.923891,1064,270,687,4528,1430,0,0,0,124714,735,617768,949,S,5860,0,1,0,13,3,0,0,12,3294236672,28174,0,804257,28174,23451,5,0
2022-11-28 21:23:45.183611,1076,270,690,4578,1431,0,0,0,127378,768,622665,981,S,5888,0,1,0,13,4,0,0,12,3294236672,28175,1,804257,28175,23451,5,0
2022-11-28 21:23:45.448865,1086,270,693,4648,1432,0,0,0,130018,801,627341,1010,S,5933,0,1,0,15,4,0,0,12,3294343168,28480,1,804557,28481,23727,5,0
2022-11-28 21:23:45.710916,1118,271,700,4672,1432,0,0,0,132536,831,632435,1045,S,5942,0,1,0,15,4,0,0,13,3295465472,28481,1,804557,28481,23727,5,0
2022-11-28 21:23:45.963861,1129,271,702,4675,1432,0,0,0,134374,853,636708,1069,S,5942,0,1,0,15,4,0,0,13,3295465472,28481,1,802660,26356,21582,5,0
2022-11-28 21:23:46.209323,1149,271,706,4678,1432,0,0,0,136972,885,641761,1103,S,5957,0,1,0,15,4,0,0,14,3287695360,26356,1,802660,26356,21582,5,0
2022-11-28 21:23:46.475431,1180,275,713,4685,1432,0,0,0,139972,922,647291,1141,S,5957,0,1,0,15,4,0,0,14,3287695360,26356,1,802724,26356,21582,5,0
2022-11-28 21:23:46.738651,1196,278,716,4687,1432,0,0,0,142174,948,652056,1171,S,5962,0,1,0,15,4,0,0,14,3287957504,26356,1,802724,26356,21582,5,0
2022-11-28 21:23:47.004592,1221,280,722,4707,1432,0,0,0,144706,979,656953,1203,S,5962,0,1,0,15,4,0,0,14,3287957504,26356,1,802724,26356,21582,5,0
2022-11-28 21:23:47.260100,1252,280,725,4733,1432,0,0,0,147370,1012,662008,1237,S,6244,0,1,0,16,4,0,0,14,3287818240,26241,2,803411,26965,22438,5,0
2022-11-28 21:23:47.516214,1274,282,733,4738,1432,0,0,0,149548,1038,666727,1267,S,6975,0,1,0,16,5,0,0,14,3290771456,26965,2,803411,26965,22438,5,0
2022-11-28 21:23:47.780488,1294,289,739,4754,1432,0,0,0,151948,1067,672862,1302,S,6975,0,1,0,16,5,0,0,14,3290771456,26965,2,803411,26965,22438,5,0
2022-11-28 21:23:48.046238,1314,297,745,4775,1432,0,0,0,154324,1096,677866,1336,S,6975,0,1,0,16,5,0,0,14,3290771456,26965,2,804132,27691,23156,5,0
2022-11-28 21:23:48.290034,1331,301,748,4794,1432,0,0,0,156856,1127,682793,1368,S,7722,0,1,0,17,5,0,0,14,3293724672,27691,2,804853,28417,23878,5,0
2022-11-28 21:23:48.567930,1370,302,758,4811,1432,0,0,0,160238,1169,690733,1415,S,8445,0,1,0,19,6,0,0,14,3296677888,28417,2,804853,28417,23878,5,0
2022-11-28 21:23:48.828779,1385,303,761,4814,1432,0,0,0,161328,1182,692924,1429,S,8445,0,1,0,19,6,0,0,14,3296677888,28417,2,802690,26260,21720,5,0
2022-11-28 21:23:49.094613,1408,304,766,4825,1432,0,0,0,164650,1223,699176,1473,S,8448,0,1,0,20,6,0,0,14,3287818240,26260,2,802690,26260,21720,5,0
2022-11-28 21:23:49.357020,1436,311,772,4838,1432,0,0,0,167702,1260,707106,1516,S,10054,0,1,0,21,7,0,0,14,3293753344,27798,2,804139,27798,23145,5,0
2022-11-28 21:23:49.601706,1449,312,775,4839,1432,0,0,0,169006,1275,709877,1537,S,10054,0,1,0,21,7,0,0,14,3293753344,27798,2,804139,27798,23145,5,0
2022-11-28 21:23:49.876685,1471,319,782,4851,1432,0,0,0,171184,1301,714757,1569,S,10054,0,1,0,21,7,0,0,14,3293753344,27798,2,804139,27798,23145,5,0
2022-11-28 21:23:50.147245,1495,330,787,4869,1432,0,0,0,173650,1331,719902,1604,S,10054,0,1,0,21,7,0,0,14,3293753344,27798,2,804139,27798,23145,5,0
2022-11-28 21:23:50.394279,1512,338,790,4888,1432,0,0,0,176224,1363,724561,1633,S,10054,0,1,0,21,7,0,0,14,3293753344,27798,2,804139,27798,23145,5,0
2022-11-28 21:23:50.663745,1537,342,798,4908,1433,0,0,0,178756,1394,730006,1668,S,10797,0,1,0,22,7,0,0,14,3296706560,28524,2,804860,28524,23871,5,0
2022-11-28 21:23:50.923990,1561,344,804,4938,1433,0,0,0,181330,1426,735937,1705,S,10800,0,2,0,24,7,0,0,14,3296706560,28524,2,804860,28525,23871,5,0
2022-11-28 21:23:51.187585,1584,348,811,4967,1436,0,0,0,183640,1454,740794,1737,S,10838,0,2,0,25,7,0,0,14,3296706560,28525,2,804860,28525,23871,5,0
2022-11-28 21:23:51.453671,1612,348,816,4989,1436,0,0,0,186148,1485,746820,1771,S,10843,0,2,0,25,8,0,0,14,3296706560,28525,0,804860,28525,23871,5,0
2022-11-28 21:23:51.725723,1638,348,820,5010,1436,0,0,0,188368,1512,751389,1799,S,10873,0,2,0,26,8,0,0,14,3296706560,28607,2,804860,28607,23927,5,0
2022-11-28 21:23:51.998702,1660,348,824,5047,1436,0,0,0,191164,1547,756430,1833,S,10873,0,2,0,27,8,0,0,14,3296706560,28607,2,804860,28607,23927,5,0
2022-11-28 21:23:52.264127,1665,349,828,5119,1436,0,0,0,193690,1579,762052,1862,S,10902,0,2,0,28,8,0,0,14,3296706560,28602,1,802697,26473,21767,5,0
2022-11-28 21:23:52.532512,1688,350,833,5127,1436,0,0,0,196042,1608,766529,1889,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:52.791429,1712,352,836,5137,1436,0,0,0,198220,1634,771162,1918,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:53.047630,1740,352,840,5150,1436,0,0,0,200488,1661,776197,1952,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:53.303047,1752,352,843,5192,1436,0,0,0,203110,1693,781388,1988,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:53.568535,1774,353,848,5220,1437,0,0,0,205660,1725,786087,2018,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:53.817154,1795,353,850,5242,1437,0,0,0,207814,1751,790564,2045,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:54.072407,1815,353,853,5286,1437,0,0,0,210280,1781,795443,2077,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,802697,26473,21767,5,0
2022-11-28 21:23:54.343440,1834,353,856,5319,1437,0,0,0,213100,1816,801761,2114,S,10905,0,2,0,29,8,0,0,14,3287846912,26473,1,804146,28017,23201,5,0
2022-11-28 21:23:54.607123,1858,355,863,5325,1437,0,0,0,215434,1844,806666,2146,S,12471,0,2,0,30,8,0,0,14,3293782016,28017,2,804146,28017,23201,5,0
2022-11-28 21:23:54.864041,1873,358,866,5329,1437,0,0,0,217834,1873,811637,2179,S,12471,0,2,0,30,8,0,0,14,3293782016,28017,2,804146,28017,23201,5,0
2022-11-28 21:23:55.139826,1893,364,872,5342,1437,0,0,0,220366,1904,816740,2214,S,12472,0,2,0,30,8,0,0,14,3293782016,28017,2,804146,28035,23207,5,0
