#age.analyzer
#./workspace/age.analyzer_0/age.analyzer.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-30 19:26:01.864415,1068,276,712,1904,1281,0,0,0,2683027,2121,569699,676,S,2332,0,6,0,3,4,0,0,17,3292692480,24985,2,803880,24985,20486,5,0
2022-11-30 19:26:02.132349,1084,278,714,1907,1281,0,0,0,2684511,2138,573858,699,S,2332,0,6,0,3,4,0,0,17,3292692480,24985,2,803400,24949,20625,5,0
2022-11-30 19:26:02.391608,1094,288,721,1911,1281,0,0,0,2688139,2183,582136,743,S,2412,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:02.647671,1116,291,727,1915,1281,0,0,0,2689957,2205,584909,764,S,2416,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:02.904702,1150,294,735,1920,1281,0,0,0,2692333,2234,592500,796,S,2416,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:03.192341,1173,297,742,1921,1281,0,0,0,2694081,2255,596662,819,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:03.441582,1201,302,750,1923,1281,0,0,0,2696481,2284,601514,851,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:03.706752,1229,310,759,1936,1281,0,0,0,2699551,2322,606935,889,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:03.967097,1250,312,765,1941,1281,0,0,0,2702017,2352,611901,922,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:04.241502,1265,318,769,1949,1281,0,0,0,2703903,2374,616315,947,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:04.486648,1295,321,776,1961,1281,0,0,0,2705901,2398,620700,973,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:04.741334,1321,327,782,1968,1281,0,0,0,2708343,2428,625488,1004,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:04.996871,1346,331,787,1974,1281,0,0,0,2710233,2450,631371,1035,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:05.276467,1361,331,790,2017,1281,0,0,0,2712675,2480,636272,1067,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:05.531924,1392,331,795,2042,1281,0,0,0,2715207,2511,641042,1097,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:05.815194,1421,333,800,2070,1283,0,0,0,2717607,2540,646269,1133,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:06.075190,1437,333,804,2102,1283,0,0,0,2719983,2569,651394,1168,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:06.330454,1451,333,806,2137,1283,0,0,0,2722227,2596,656687,1201,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:06.580702,1462,333,808,2184,1283,0,0,0,2725118,2630,662406,1239,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:06.847417,1491,334,814,2216,1283,0,0,0,2727716,2662,668078,1277,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24949,20625,5,0
2022-11-30 19:26:07.104523,1525,334,819,2237,1283,0,0,0,2730224,2693,674104,1311,S,2418,0,6,0,4,4,0,0,17,3290726400,24949,2,803400,24939,20625,5,0
2022-11-30 19:26:07.372390,1556,336,826,2249,1284,0,0,0,2732648,2722,679141,1345,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:07.628102,1601,342,836,2257,1284,0,0,0,2735586,2758,686898,1385,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:07.871273,1625,344,842,2259,1284,0,0,0,2738349,2792,691779,1417,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:08.160389,1646,350,850,2262,1285,0,0,0,2739780,2809,694486,1437,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:08.418520,1675,353,860,2265,1285,0,0,0,2742270,2839,700653,1469,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:08.670371,1700,358,866,2269,1285,0,0,0,2744018,2860,703738,1494,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:08.962762,1727,364,873,2280,1285,0,0,0,2747233,2899,710541,1534,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:09.219674,1752,366,879,2294,1286,0,0,0,2748579,2915,712959,1551,S,2425,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24939,20625,5,0
2022-11-30 19:26:09.474928,1776,369,890,2296,1286,0,0,0,2751333,2949,720807,1585,S,2430,0,6,0,4,4,0,0,17,3290726400,24939,2,803400,24949,20624,5,0
2022-11-30 19:26:09.749842,1802,372,899,2302,1286,0,0,0,2753445,2974,725491,1614,S,2432,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:09.999544,1814,380,904,2308,1286,0,0,0,2756043,3006,731725,1650,S,2432,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:10.270923,1833,385,907,2327,1286,0,0,0,2759023,3043,736978,1686,S,2432,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:10.547881,1872,390,914,2332,1286,0,0,0,2761871,3078,742039,1720,S,2434,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:10.822372,1892,393,920,2335,1286,0,0,0,2764219,3107,749636,1752,S,2434,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:11.073178,1924,397,931,2347,1286,0,0,0,2767025,3141,756289,1791,S,2438,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:11.338839,1938,401,936,2350,1286,0,0,0,2768617,3160,759152,1813,S,2438,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
2022-11-30 19:26:11.590897,1958,408,941,2356,1286,0,0,0,2771479,3196,764345,1849,S,2438,0,6,0,4,5,0,0,17,3290726400,24949,2,803400,24949,20624,5,0
