#air.Contador
#./workspace/air.Contador_0/air.Contador.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:33:42.521643,907,316,891,1715,1246,0,0,0,318861,911,635273,1007,S,3712,0,65,0,1,2,0,0,12,1125134336,23462,1,274691,23462,19649,5,0
2023-01-09 02:33:42.797407,916,316,894,1717,1246,0,0,0,321053,938,640250,1036,S,3712,0,65,0,1,2,0,0,12,1125134336,23462,1,274790,23540,19727,5,0
2023-01-09 02:33:43.063270,927,317,897,1720,1246,0,0,0,323930,973,646629,1073,S,3810,0,67,0,2,2,0,0,12,1125539840,23540,0,274790,23634,19814,5,0
2023-01-09 02:33:43.327827,941,317,902,1721,1246,0,0,0,326306,1002,653136,1108,S,3834,0,68,0,2,2,0,0,12,1125539840,23634,0,275036,23411,19581,5,0
2023-01-09 02:33:43.589142,943,321,905,1723,1246,0,0,0,329594,1043,658741,1147,Z,3868,0,69,0,3,3,0,0,2,0,0,0,-1,-1,-1,-1,-1
2023-01-09 02:33:43.866172,955,324,908,1723,1246,0,0,0,332271,1075,663414,1178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 02:33:44.125015,964,324,910,1723,1247,0,0,0,334472,1101,667897,1206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 02:33:44.385036,982,324,914,1728,1247,0,0,0,337637,1139,676944,1250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 02:33:44.647315,1006,326,918,1739,1247,0,0,0,343321,1209,689518,1323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 02:33:44.912612,1026,328,922,1743,1247,0,0,0,346854,1251,697942,1371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
