#anace.com.audiobooks.dogtraining
#./workspace/anace.com.audiobooks.dogtraining_0/anace.com.audiobooks.dogtraining.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:41:00.156852,918,274,863,514,1057,0,0,0,192480,637,644057,825,S,8198,0,190,0,12,6,0,0,37,3342909440,39503,1,816653,40911,33907,5,0
2023-01-09 06:41:00.422372,932,276,869,514,1057,0,0,0,195981,680,651122,870,S,8862,0,207,0,14,7,0,0,37,3345010688,40911,1,817763,41171,34139,5,0
2023-01-09 06:41:00.687506,937,278,874,514,1057,0,0,0,198480,711,657065,898,S,8926,0,216,0,15,7,0,0,39,3349540864,41171,1,817509,41343,34233,5,0
2023-01-09 06:41:00.937898,950,278,878,514,1057,0,0,0,200634,737,660450,926,S,8970,0,216,0,15,8,0,0,39,3349565440,41199,1,817509,41343,34233,5,0
2023-01-09 06:41:01.190280,954,280,880,514,1057,0,0,0,202652,761,664943,954,S,8975,0,217,0,15,8,0,0,39,3348516864,41343,1,817509,41343,34233,5,0
2023-01-09 06:41:01.456819,961,285,887,514,1059,0,0,0,205656,798,670243,992,S,8990,0,217,0,15,8,0,0,39,3348516864,41343,1,817509,41539,34393,5,0
2023-01-09 06:41:01.722502,976,288,893,514,1059,0,0,0,208118,828,675349,1026,S,9006,0,217,0,16,8,0,0,39,3348516864,41539,1,817509,41539,34393,5,0
2023-01-09 06:41:01.978136,990,296,899,514,1059,0,0,0,210386,855,680046,1056,S,9007,0,217,0,17,8,0,0,39,3348516864,41539,1,817924,41986,34829,5,0
2023-01-09 06:41:02.231917,1009,305,906,514,1059,0,0,0,213206,890,685075,1091,S,9446,0,218,0,17,8,0,0,39,3350216704,41986,1,817924,41732,34959,5,0
2023-01-09 06:41:02.502347,1026,312,915,515,1060,0,0,0,215318,915,689682,1120,D,9641,0,220,0,19,8,0,0,39,3350360064,42002,1,818374,42085,35221,5,0
2023-01-09 06:41:02.778300,1045,316,931,515,1060,0,0,0,217808,945,694580,1153,S,9679,0,222,0,20,9,0,0,39,3352059904,42085,1,819495,42447,35409,5,0
2023-01-09 06:41:03.279103,1087,322,945,515,1060,0,0,0,220831,981,700909,1189,S,10420,0,224,0,25,10,0,0,39,3356782592,42543,1,819623,42886,35895,5,0
2023-01-09 06:41:03.029080,1096,323,946,515,1060,0,0,0,223376,1011,705819,1219,R,10791,0,224,0,28,11,0,0,39,3356782592,42996,1,819623,42942,35928,5,0
2023-01-09 06:41:03.539850,1114,324,949,515,1060,0,0,0,223688,1015,707032,1223,S,11153,0,225,0,30,11,0,0,39,3357175808,42902,1,819623,42943,35928,5,0
2023-01-09 06:41:03.793836,1143,328,957,515,1060,0,0,0,226860,1053,713854,1264,S,11447,0,226,0,35,12,0,0,39,3357175808,42943,1,819655,42936,35928,5,0
2023-01-09 06:41:04.059071,1159,330,962,515,1060,0,0,0,228386,1071,716635,1285,S,11545,0,226,0,36,13,0,0,39,3357306880,42936,1,819655,42936,35928,5,0
2023-01-09 06:41:04.322121,1174,341,971,515,1060,0,0,0,230786,1100,721511,1318,S,11586,0,226,0,36,13,0,0,39,3357306880,42952,1,819655,42952,35944,5,0
2023-01-09 06:41:04.578998,1189,353,981,515,1060,0,0,0,233006,1127,726032,1346,S,11621,0,226,0,38,14,0,0,39,3357306880,42936,1,819655,42934,35950,5,0
2023-01-09 06:41:04.834534,1200,361,989,515,1061,0,0,0,235160,1153,730422,1372,S,11704,0,226,0,39,14,0,0,39,3357306880,42935,1,819655,42935,35950,5,0
2023-01-09 06:41:05.091554,1217,371,999,516,1063,0,0,0,237404,1180,735010,1401,S,11704,0,226,0,40,14,0,0,39,3357306880,42935,1,819655,42952,35950,5,0
2023-01-09 06:41:05.368633,1235,382,1008,516,1063,0,0,0,240068,1213,741169,1437,S,11727,0,226,0,41,14,0,0,39,3357306880,42952,1,819655,42952,35950,5,0
2023-01-09 06:41:05.621485,1246,391,1018,516,1066,0,0,0,242468,1242,745981,1469,S,11727,0,226,0,41,15,0,0,39,3357306880,42952,1,819655,42952,35950,5,0
2023-01-09 06:41:05.881646,1256,407,1027,517,1066,0,0,0,245024,1273,750864,1501,S,11813,0,226,0,41,15,0,0,39,3357306880,42952,1,819655,42952,35950,5,0
2023-01-09 06:41:06.145460,1274,413,1033,520,1068,0,0,0,247466,1303,755745,1534,S,11813,0,226,0,42,15,0,0,39,3357306880,42951,1,819655,42951,35950,5,0
2023-01-09 06:41:06.395476,1286,426,1040,525,1069,0,0,0,250286,1338,760958,1571,S,11838,0,226,0,42,15,0,0,39,3357306880,42951,1,819655,42994,35968,5,0
2023-01-09 06:41:06.655983,1308,436,1046,526,1069,0,0,0,252620,1366,765661,1601,S,11944,0,226,0,44,15,0,0,39,3357306880,42994,1,819783,43017,35983,5,0
2023-01-09 06:41:06.926542,1328,441,1053,529,1069,0,0,0,254996,1395,770340,1631,S,12454,0,226,0,46,16,0,0,39,3357831168,43017,1,819783,43017,35983,5,0
2023-01-09 06:41:07.195647,1358,441,1057,534,1069,0,0,0,258288,1436,776851,1669,S,12607,0,226,0,47,16,0,0,39,3357831168,43103,1,819783,43104,36027,5,0
2023-01-09 06:41:07.445966,1388,441,1061,536,1069,0,0,0,259904,1455,779788,1692,S,12641,0,226,0,48,17,0,0,39,3357831168,43104,1,819783,43104,36027,5,0
2023-01-09 06:41:07.707790,1399,442,1066,551,1069,0,0,0,262328,1484,784761,1725,S,12641,0,226,0,48,17,0,0,39,3357831168,43104,0,819783,43104,36027,5,0
2023-01-09 06:41:07.968040,1402,442,1069,599,1069,0,0,0,265016,1517,790022,1762,S,12730,0,226,0,49,17,0,0,39,3357831168,43140,1,819783,43141,36051,5,0
2023-01-09 06:41:08.233523,1408,442,1072,638,1069,0,0,0,267836,1552,795085,1796,S,12870,0,226,0,50,17,0,0,39,3357831168,43148,0,819783,43148,36051,5,0
2023-01-09 06:41:08.500757,1438,443,1079,658,1069,0,0,0,271128,1593,800636,1836,S,13118,0,226,0,53,18,0,0,39,3357831168,43218,1,819783,43218,36082,5,0
2023-01-09 06:41:08.770657,1467,444,1085,662,1070,0,0,0,273462,1621,806589,1867,S,13119,0,226,0,54,18,0,0,39,3357831168,43218,1,819783,43219,36082,5,0
2023-01-09 06:41:09.023417,1480,444,1088,671,1070,0,0,0,275144,1641,809460,1889,S,13190,0,226,0,55,18,0,0,39,3357831168,43219,1,819885,43350,36178,5,0
2023-01-09 06:41:09.273490,1508,444,1095,673,1070,0,0,0,277676,1672,814292,1920,S,13381,0,226,0,57,19,0,0,39,3357831168,43257,1,819783,43263,36082,5,0
2023-01-09 06:41:09.540690,1530,444,1100,682,1070,0,0,0,279920,1699,818929,1949,S,13411,0,226,0,59,19,0,0,39,3357831168,43263,1,819783,43296,36082,5,0
