#com.app.my.dream.valentinesdaycards
#./workspace/com.app.my.dream.valentinesdaycards_0/com.app.my.dream.valentinesdaycards.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-07 20:33:09.913990,949,291,878,1797,984,0,0,0,4067668,3065,601077,773,S,14075,0,1,0,30,6,0,0,15,3336470528,37877,1,814568,37877,25346,5,0
2023-01-07 20:33:10.177797,957,292,881,1797,984,0,0,0,4070011,3093,605485,799,S,14075,0,1,0,32,7,0,0,15,3336470528,37877,1,814568,37877,25346,5,0
2023-01-07 20:33:10.428413,962,293,883,1797,984,0,0,0,4071258,3108,607812,814,S,14076,0,1,0,33,8,0,0,15,3336470528,37877,1,814568,37872,25346,5,0
2023-01-07 20:33:10.701159,970,295,888,1798,984,0,0,0,4074910,3153,615180,861,S,14076,0,1,0,34,10,0,0,15,3336470528,37872,1,814568,37867,25346,5,0
2023-01-07 20:33:10.944910,976,296,891,1801,985,0,0,0,4077060,3179,619720,889,S,14085,0,2,0,37,10,0,0,15,3336470528,37867,1,814568,37850,25346,5,0
2023-01-07 20:33:11.215313,986,299,895,1806,985,0,0,0,4079460,3208,625389,926,S,14085,0,2,0,39,11,0,0,15,3336470528,37850,0,814568,38059,25561,5,0
2023-01-07 20:33:11.477508,996,303,898,1808,985,0,0,0,4081482,3232,630493,958,S,14086,0,2,0,41,11,0,0,15,3336470528,38059,1,814568,38059,25561,5,0
2023-01-07 20:33:11.733006,1007,303,901,1819,985,0,0,0,4084434,3269,636138,996,S,14107,0,2,0,44,12,0,0,15,3336470528,38005,1,814569,38094,25629,5,0
2023-01-07 20:33:11.995767,1022,304,906,1826,986,0,0,0,4087008,3301,642136,1030,S,14124,0,2,0,47,14,0,0,15,3336474624,38094,1,814569,38094,25629,5,0
2023-01-07 20:33:12.257226,1040,304,910,1833,986,0,0,0,4089162,3327,646522,1056,S,14124,0,2,0,49,15,0,0,15,3336474624,38094,1,814569,38094,25629,5,0
2023-01-07 20:33:12.498079,1064,305,914,1843,986,0,0,0,4091562,3356,651334,1087,S,14126,0,2,0,53,15,0,0,15,3336474624,38094,1,814633,38869,26396,5,0
2023-01-07 20:33:12.778921,1094,306,919,1848,986,0,0,0,4094959,3397,659609,1133,S,14225,0,2,0,57,15,0,0,15,3336736768,38869,0,834689,41015,28152,5,0
2023-01-07 20:33:13.045074,1125,306,927,1851,986,0,0,0,4096234,3412,661807,1147,R,14557,0,2,0,62,16,0,0,16,3342139392,39523,0,836110,44123,31174,5,0
2023-01-07 20:33:13.288742,1158,306,936,1851,986,0,0,0,4098970,3445,668396,1186,D,16321,0,29,0,69,21,0,0,17,3430719488,48394,0,841472,51890,38443,5,0
2023-01-07 20:33:13.559458,1193,308,945,1851,986,0,0,0,4101025,3469,672685,1211,D,17265,0,42,0,74,24,0,0,20,3446759424,51513,0,842340,52944,39473,5,0
2023-01-07 20:33:13.829414,1210,309,949,1851,986,0,0,0,4103014,3493,675918,1237,D,17858,0,95,0,75,26,0,0,20,3446669312,51890,1,844688,54992,41598,5,0
2023-01-07 20:33:14.083020,1231,310,957,1851,986,0,0,0,4105873,3527,682202,1272,D,18454,0,194,0,81,29,0,0,25,3459649536,54732,0,847976,57615,44012,5,0
2023-01-07 20:33:14.342770,1260,311,965,1851,986,0,0,0,4107082,3541,684638,1289,R,18742,0,279,0,84,31,0,0,31,3467583488,56532,1,849139,58878,44934,5,0
2023-01-07 20:33:14.624707,1292,315,973,1851,986,0,0,0,4110721,3585,693489,1341,D,19959,0,330,0,94,34,0,0,64,3505012736,59045,1,859221,59497,45120,5,0
2023-01-07 20:33:14.873428,1305,316,976,1851,986,0,0,0,4111684,3596,695188,1352,D,19968,0,330,0,95,35,0,0,64,3506147328,59110,1,865622,63106,45298,5,0
2023-01-07 20:33:15.129705,1334,318,984,1851,986,0,0,0,4114018,3624,699931,1382,R,24475,0,331,0,102,41,0,0,73,3530420224,61363,1,875896,70565,45945,5,0
2023-01-07 20:33:15.396352,1382,320,993,1851,986,0,0,0,4117358,3664,707804,1423,S,35511,0,333,0,119,45,0,0,74,3586445312,69948,1,885522,70801,45843,5,0
2023-01-07 20:33:15.907014,1401,321,997,1851,986,0,0,0,4119888,3695,713793,1456,S,36802,1652,334,0,131,49,1,2,108,3624845312,70762,1,885554,70801,45843,5,0
2023-01-07 20:33:15.651599,1400,321,996,1851,986,0,0,0,4119389,3689,711346,1450,S,36473,1652,334,0,126,49,1,2,109,3625517056,70590,1,887191,72942,47407,5,0
2023-01-07 20:33:16.180381,1410,321,1001,1851,986,0,0,0,4123613,3739,720096,1498,D,37654,1652,336,0,141,52,1,2,110,3629056000,71502,1,887987,73450,46751,5,0
2023-01-07 20:33:16.441225,1417,321,1003,1851,986,0,0,0,4124893,3754,723250,1512,S,39361,1652,363,0,149,54,1,2,115,3630772224,71545,1,887988,73660,46848,5,0
2023-01-07 20:33:16.713070,1423,322,1005,1851,986,0,0,0,4126788,3777,726529,1538,S,40498,1652,378,0,151,55,1,2,115,3637194752,73450,1,887988,73661,46848,5,0
2023-01-07 20:33:16.969298,1433,324,1011,1851,986,0,0,0,4129792,3814,732957,1575,S,40731,1652,383,0,158,57,1,2,115,3637198848,73476,1,888022,73367,46918,5,0
2023-01-07 20:33:17.226014,1439,325,1015,1851,987,0,0,0,4131630,3836,736235,1602,S,41768,1652,383,0,166,58,1,2,115,3637338112,73367,1,889080,73938,46983,5,0
2023-01-07 20:33:17.486461,1487,327,1025,1851,987,0,0,0,4134776,3874,742707,1640,S,42623,1652,384,0,209,60,1,2,115,3641671680,73938,1,890460,74704,47316,5,0
2023-01-07 20:33:18.017654,1525,332,1033,1851,987,0,0,0,4137264,3903,747897,1674,S,43474,1652,392,0,235,61,1,2,115,3649421312,74875,0,890972,74860,47316,5,0
2023-01-07 20:33:17.746790,1511,330,1030,1851,987,0,0,0,4137760,3909,749128,1679,S,42704,1652,392,0,225,61,1,2,115,3642990592,74245,0,890972,74860,47316,5,0
2023-01-07 20:33:18.538542,1570,335,1054,1851,987,0,0,0,4141932,3959,759520,1737,D,43477,1652,392,0,262,63,1,2,115,3649421312,74860,0,894112,76347,47364,5,0
2023-01-07 20:33:18.283168,1566,335,1052,1851,987,0,0,0,4141866,3958,758541,1735,D,43477,1652,392,0,259,63,1,2,115,3649421312,74860,0,894112,76347,47364,5,0
2023-01-07 20:33:18.804067,1592,339,1065,1851,987,0,0,0,4144928,3995,764820,1776,S,44272,1652,392,0,276,64,1,2,115,3655852032,75534,0,895682,77199,47388,5,0
