#com.bingolandpalyer56
#./workspace/com.bingolandpalyer56_0/com.bingolandpalyer56.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:13:11.577339,738,285,846,1717,1196,0,0,0,1045988,1147,643507,806,S,11665,0,1,0,21,3,0,0,16,3329163264,35809,0,812784,35809,23594,5,0
2023-01-09 03:13:11.835339,749,285,852,1720,1197,0,0,0,1049168,1186,650371,847,S,11665,0,1,0,21,3,0,0,16,3329163264,35809,0,812784,35809,23594,5,0
2023-01-09 03:13:12.105758,756,289,856,1728,1198,0,0,0,1051346,1212,655043,877,S,11689,0,2,0,21,3,0,0,16,3329163264,35809,0,812784,35809,23594,5,0
2023-01-09 03:13:12.366135,763,292,860,1741,1198,0,0,0,1054124,1246,660530,915,S,11691,0,2,0,21,3,0,0,16,3329163264,35809,1,814987,39451,27171,5,0
2023-01-09 03:13:12.637248,775,294,865,1748,1199,0,0,0,1056722,1278,665421,948,R,13417,0,7,0,28,8,0,0,29,3344982016,40487,1,824556,47669,35260,5,0
2023-01-09 03:13:12.895743,785,297,872,1749,1202,0,0,0,1059410,1311,670880,984,R,15849,0,109,0,29,12,0,0,37,3376664576,47622,0,828704,49965,37890,5,0
2023-01-09 03:13:13.171188,797,298,880,1751,1210,0,0,0,1062206,1346,676738,1021,S,19461,0,202,0,42,19,0,0,53,3402964992,53655,1,830808,53903,39091,5,0
2023-01-09 03:13:13.446962,816,298,884,1753,1211,0,0,0,1064426,1373,681300,1050,S,19783,0,202,0,51,19,0,0,53,3402997760,53903,1,830970,54091,39233,5,0
2023-01-09 03:13:13.707204,829,298,889,1754,1217,0,0,0,1067048,1405,687547,1087,S,21462,0,202,0,67,20,0,0,53,3412066304,55533,1,833803,55793,39234,5,0
2023-01-09 03:13:13.965569,837,298,892,1758,1223,0,0,0,1069413,1433,691895,1112,R,22562,0,215,0,80,23,0,0,54,3421700096,56987,1,836528,57975,41167,5,0
2023-01-09 03:13:14.231947,845,298,894,1758,1225,0,0,0,1071723,1461,696528,1140,R,24280,0,219,0,88,27,0,0,55,3428245504,58666,0,835531,57075,40449,5,0
2023-01-09 03:13:14.508719,854,298,899,1758,1227,0,0,0,1074231,1492,702465,1173,S,24670,0,224,0,96,28,0,0,55,3423121408,57046,1,835723,57003,40599,5,0
2023-01-09 03:13:14.772647,860,299,904,1759,1228,0,0,0,1076541,1520,707275,1205,S,24672,0,224,0,96,28,0,0,55,3423121408,57003,1,835723,57019,40615,5,0
2023-01-09 03:13:15.037826,872,303,916,1759,1232,0,0,0,1078875,1548,712109,1237,S,24952,0,225,0,97,30,0,0,55,3429421056,56428,0,842435,61065,40815,5,0
2023-01-09 03:13:15.293038,890,304,922,1770,1236,0,0,0,1081695,1583,717124,1271,S,30527,0,238,0,116,31,0,0,57,3450646528,61369,0,842453,61369,40831,5,0
2023-01-09 03:13:15.548317,904,304,925,1793,1236,0,0,0,1084779,1622,722163,1305,S,30646,0,238,0,125,31,0,0,57,3450687488,61370,1,842453,61405,40863,5,0
2023-01-09 03:13:15.824028,907,305,927,1841,1236,0,0,0,1087599,1657,727268,1340,S,30802,0,238,0,126,31,0,0,57,3450687488,61476,1,842453,61476,40930,5,0
2023-01-09 03:13:16.070935,912,305,929,1875,1236,0,0,0,1090353,1691,732175,1372,S,30838,0,238,0,127,31,0,0,57,3450687488,61476,1,842453,61476,40930,5,0
2023-01-09 03:13:16.326304,915,306,931,1918,1236,0,0,0,1093173,1726,737107,1404,S,30952,0,238,0,127,32,0,0,57,3450687488,61477,0,842453,61477,40930,5,0
