#com.burrisconsultinggroup.pertestimator
#./workspace/com.burrisconsultinggroup.pertestimator_0/com.burrisconsultinggroup.pertestimator.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 08:19:42.691161,875,255,830,545,1124,0,0,0,91580,815,685428,1045,S,3678,0,5,0,2,1,0,0,12,3289280512,25690,1,803047,25690,21058,5,0
2023-01-09 08:19:42.957144,882,256,833,545,1124,0,0,0,93980,844,690212,1076,S,3678,0,5,0,2,1,0,0,12,3289280512,25690,1,803047,25690,21058,5,0
2023-01-09 08:19:43.222569,888,256,836,545,1124,0,0,0,96040,869,694849,1104,S,3678,0,5,0,2,1,0,0,12,3289280512,25690,1,803047,25690,21058,5,0
2023-01-09 08:19:43.485119,892,260,841,545,1129,0,0,0,98614,901,699674,1136,S,3693,0,5,0,2,1,0,0,12,3289280512,25690,1,803062,26014,21356,5,0
2023-01-09 08:19:43.755730,907,262,844,545,1129,0,0,0,102448,947,707082,1181,S,3782,0,5,0,3,1,0,0,12,3289341952,26014,0,803062,26316,21630,5,0
2023-01-09 08:19:44.016387,943,264,847,545,1129,0,0,0,103040,954,708469,1188,S,3785,0,5,0,4,1,0,0,12,3289341952,26014,0,803062,26316,21630,5,0
2023-01-09 08:19:44.257102,969,267,852,545,1129,0,0,0,106343,994,715446,1228,S,3813,0,5,0,4,1,0,0,12,3289341952,26316,0,803062,26316,21630,5,0
2023-01-09 08:19:44.530748,992,270,857,545,1129,0,0,0,107774,1011,718857,1245,S,3813,0,5,0,5,1,0,0,12,3289341952,26316,0,803062,26888,22107,5,0
2023-01-09 08:19:44.794061,1003,274,862,545,1129,0,0,0,110741,1047,724211,1283,S,4034,0,6,0,6,2,0,0,12,3289341952,26888,0,803067,26925,22138,5,0
2023-01-09 08:19:45.065095,1033,276,867,545,1129,0,0,0,112082,1063,726583,1300,S,4046,0,7,0,6,2,0,0,12,3289362432,26925,0,803131,27762,22952,5,0
2023-01-09 08:19:45.564537,1085,280,876,545,1129,0,0,0,115607,1106,734045,1347,S,4236,0,8,0,7,2,0,0,12,3289624576,27762,1,803309,28005,23001,5,0
2023-01-09 08:19:45.309222,1092,281,877,545,1129,0,0,0,116702,1119,735768,1358,R,4236,0,8,0,7,2,0,0,12,3289624576,27762,1,803309,27814,23001,5,0
2023-01-09 08:19:45.835008,1113,288,882,545,1129,0,0,0,119792,1156,742326,1396,S,4468,0,8,0,7,2,0,0,12,3290353664,27814,1,803341,27814,23001,5,0
2023-01-09 08:19:46.094538,1132,291,885,546,1129,0,0,0,122480,1189,747225,1428,S,4504,0,8,0,8,2,0,0,12,3290353664,27814,1,803341,27814,23001,5,0
2023-01-09 08:19:46.365214,1170,293,889,546,1129,0,0,0,123349,1199,749309,1441,S,4509,0,8,0,8,2,0,0,12,3290484736,27814,1,803341,27814,23001,5,0
2023-01-09 08:19:46.626113,1182,299,895,547,1129,0,0,0,125929,1230,754425,1476,S,4509,0,8,0,8,3,0,0,12,3290484736,27814,1,803341,27814,23001,5,0
2023-01-09 08:19:46.886299,1195,305,904,556,1133,0,0,0,128551,1262,759276,1508,S,4509,0,8,0,9,3,0,0,12,3290484736,27814,1,803341,27814,23001,5,0
2023-01-09 08:19:47.136669,1209,307,908,581,1136,0,0,0,131215,1295,764061,1539,S,4512,0,8,0,9,3,0,0,12,3290484736,27814,1,803341,27814,23000,5,0
2023-01-09 08:19:47.391973,1215,307,909,619,1136,0,0,0,133969,1329,768984,1571,S,4775,0,8,0,9,3,0,0,12,3290484736,27994,0,803341,27994,23176,5,0
2023-01-09 08:19:47.667676,1222,307,912,658,1136,0,0,0,136369,1358,773969,1605,S,5499,0,8,0,10,3,0,0,12,3293437952,28734,0,804062,28734,23911,5,0
2023-01-09 08:19:47.923021,1233,308,915,687,1137,0,0,0,138859,1388,779026,1639,S,5500,0,8,0,10,3,0,0,12,3293437952,28734,0,804062,28734,23911,5,0
2023-01-09 08:19:48.193636,1270,309,919,700,1137,0,0,0,141301,1418,784934,1672,S,5509,0,8,0,11,3,0,0,12,3293437952,28743,0,804062,28743,23912,5,0
2023-01-09 08:19:48.437197,1275,312,921,717,1137,0,0,0,143659,1446,789925,1705,S,5509,0,8,0,11,3,0,0,12,3293437952,28743,0,804062,28743,23912,5,0
2023-01-09 08:19:48.707669,1281,313,924,761,1137,0,0,0,146281,1478,794982,1739,S,5509,0,8,0,11,3,0,0,12,3293437952,28743,1,804062,28744,23912,5,0
2023-01-09 08:19:48.967593,1304,313,929,782,1137,0,0,0,149417,1517,801310,1775,S,5547,0,8,0,12,4,0,0,13,3294564352,28747,0,804337,28747,23912,5,0
2023-01-09 08:19:49.227965,1327,317,932,783,1138,0,0,0,151189,1538,804422,1800,S,5547,0,8,0,12,4,0,0,13,3294564352,28747,0,804337,28747,23912,5,0
2023-01-09 08:19:49.483470,1348,322,936,785,1138,0,0,0,153943,1572,809545,1835,S,5555,0,8,0,13,4,0,0,13,3294556160,28839,0,804335,28839,23983,5,0
2023-01-09 08:19:49.748928,1396,329,944,789,1138,0,0,0,157052,1609,816347,1874,S,5573,0,8,0,13,4,0,0,13,3294556160,28839,0,804335,28863,23999,5,0
2023-01-09 08:19:50.009537,1405,330,945,790,1138,0,0,0,158303,1624,818934,1892,S,5573,0,8,0,13,4,0,0,13,3294556160,28839,0,804335,28863,23999,5,0
2023-01-09 08:19:50.525587,1479,334,957,790,1138,0,0,0,163007,1681,832282,1961,S,5842,0,8,0,16,5,0,0,13,3294527488,28909,0,804328,28942,24054,5,0
2023-01-09 08:19:50.280143,1475,334,956,790,1138,0,0,0,164255,1695,833777,1970,S,5842,0,8,0,15,5,0,0,13,3294527488,28909,0,804328,28942,24054,5,0
2023-01-09 08:19:51.069794,1528,336,962,790,1138,0,0,0,167093,1729,840406,2006,S,5924,0,8,0,16,5,0,0,13,3294527488,29003,0,804328,28942,24054,5,0
2023-01-09 08:19:50.804130,1528,336,962,790,1138,0,0,0,168015,1740,842384,2016,S,6060,0,8,0,16,5,0,0,13,3294527488,28942,0,804328,28942,24054,5,0
2023-01-09 08:19:51.580324,1584,340,971,790,1138,0,0,0,170788,1773,848182,2049,S,6060,0,8,0,17,5,0,0,13,3294527488,28942,0,804328,28942,24054,5,0
2023-01-09 08:19:51.325113,1584,339,970,790,1138,0,0,0,169729,1760,846170,2035,S,6060,0,8,0,16,5,0,0,13,3294527488,28942,0,804328,28942,24054,5,0
2023-01-09 08:19:51.836151,1590,345,977,790,1138,0,0,0,172897,1798,853131,2083,S,6060,0,8,0,17,5,0,0,13,3294527488,28942,0,804328,28942,24054,5,0
2023-01-09 08:19:52.098279,1617,347,983,790,1138,0,0,0,176582,1843,860243,2126,R,6363,0,8,0,18,5,0,0,13,3294527488,28968,0,804328,28968,24069,5,0
