#com.creativelab.newshome
#./workspace/com.creativelab.newshome_0/com.creativelab.newshome.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-08 23:52:23.566592,969,281,861,1651,1241,0,0,0,641048,894,610896,780,S,11222,0,12,0,40,6,0,0,20,3328344064,37989,0,812814,38874,27354,5,0
2023-01-08 23:52:23.836960,977,282,865,1651,1241,0,0,0,643538,924,615775,812,S,11481,0,12,0,45,10,0,0,20,3329286144,38874,0,812814,38730,27354,5,0
2023-01-08 23:52:24.102079,986,283,868,1651,1241,0,0,0,645716,950,621371,839,S,11483,0,12,0,47,10,0,0,20,3329286144,38730,0,812814,38841,27410,5,0
2023-01-08 23:52:24.355392,995,284,871,1651,1241,0,0,0,648054,978,625956,868,S,11495,0,12,0,48,12,0,0,20,3329286144,38841,0,812814,38841,27410,5,0
2023-01-08 23:52:24.615800,1001,285,873,1651,1241,0,0,0,650364,1006,630626,896,S,11496,0,12,0,50,13,0,0,20,3329286144,38841,0,812814,38016,27410,5,0
2023-01-08 23:52:24.881125,1008,287,876,1651,1241,0,0,0,652580,1033,635350,926,R,11496,0,12,0,51,14,0,0,20,3329286144,38016,0,812814,38016,27410,5,0
2023-01-08 23:52:25.131023,1013,291,879,1651,1241,0,0,0,654314,1053,639825,954,S,11496,0,12,0,53,14,0,0,20,3329286144,38016,0,812814,38016,27410,5,0
2023-01-08 23:52:25.381336,1021,295,883,1651,1242,0,0,0,656888,1085,644326,981,S,11743,0,14,0,55,16,0,0,20,3329290240,38290,1,812875,39074,27558,5,0
2023-01-08 23:52:25.634450,1041,298,888,1653,1242,0,0,0,659156,1112,649067,1012,S,12854,0,14,0,67,16,0,0,20,3329540096,39201,1,812876,39267,27612,5,0
2023-01-08 23:52:25.920347,1067,300,892,1654,1243,0,0,0,661844,1145,653971,1044,S,12927,0,14,0,74,16,0,0,20,3329327104,39265,0,812824,39265,27558,5,0
2023-01-08 23:52:26.155653,1091,301,896,1663,1243,0,0,0,664286,1175,658515,1072,S,13053,0,14,0,79,16,0,0,20,3331645440,39404,1,813336,39416,27573,5,0
2023-01-08 23:52:26.405936,1113,301,902,1674,1243,0,0,0,666464,1201,663084,1100,S,13167,0,14,0,84,16,0,0,20,3331424256,39416,1,813336,39416,27573,5,0
2023-01-08 23:52:26.673116,1135,302,905,1691,1243,0,0,0,669128,1234,667899,1131,S,13227,0,14,0,87,16,0,0,20,3331424256,39417,1,813336,39031,27573,5,0
