#com.cubic9.android.droidglove
#./workspace/com.cubic9.android.droidglove_0/com.cubic9.android.droidglove.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:50:02.436194,954,295,865,1812,1156,0,0,0,887427,1129,675330,880,S,5162,0,12,0,6,2,0,0,15,3298783232,28069,0,805356,28119,22852,5,0
2023-01-09 03:50:02.700994,968,297,870,1812,1156,0,0,0,891028,1172,683826,925,S,5162,0,12,0,7,2,0,0,15,3298738176,28119,0,805356,28119,22852,5,0
2023-01-09 03:50:02.955177,969,297,870,1812,1156,0,0,0,892062,1184,686889,937,S,5162,0,12,0,7,2,0,0,15,3298738176,28119,0,805356,28119,22852,5,0
2023-01-09 03:50:03.218673,977,298,873,1812,1156,0,0,0,894576,1214,691669,968,S,5162,0,12,0,7,2,0,0,15,3298738176,28119,0,805356,28119,22852,5,0
2023-01-09 03:50:03.489284,984,299,876,1813,1156,0,0,0,895733,1228,694048,984,S,5162,0,12,0,7,2,0,0,15,3298738176,28119,0,805356,28119,22852,5,0
2023-01-09 03:50:03.755384,990,303,879,1813,1156,0,0,0,898355,1260,698943,1016,S,5162,0,12,0,7,2,0,0,15,3298738176,28119,0,805356,28119,22852,5,0
2023-01-09 03:50:04.010753,996,306,882,1813,1156,0,0,0,900977,1292,704203,1052,S,5177,0,15,0,7,2,0,0,15,3298738176,28119,0,805356,28295,22945,5,0
2023-01-09 03:50:04.270890,998,309,885,1831,1157,0,0,0,903221,1319,708965,1083,S,5431,0,16,0,7,2,0,0,15,3298738176,28340,0,805356,28341,22947,5,0
2023-01-09 03:50:04.531377,1002,309,886,1875,1157,0,0,0,906239,1357,714287,1121,S,5435,0,16,0,8,2,0,0,15,3298738176,28341,0,805356,28341,22947,5,0
2023-01-09 03:50:04.796871,1006,309,889,1910,1159,0,0,0,909125,1393,719455,1157,S,5905,0,17,0,10,2,0,0,15,3299516416,29118,0,805621,29499,24231,5,0
2023-01-09 03:50:05.062208,1043,310,895,1932,1161,0,0,0,912522,1434,726706,1202,S,6270,0,17,0,12,2,0,0,15,3299516416,29545,0,805696,29695,24364,5,0
2023-01-09 03:50:05.330117,1060,310,896,1933,1161,0,0,0,913367,1444,728363,1212,S,6428,0,17,0,12,2,0,0,15,3300130816,29676,0,805546,29652,24309,5,0
