#com.dkstu.freetime
#./workspace/com.dkstu.freetime_0/com.dkstu.freetime.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:10:07.846878,896,329,863,1817,1193,0,0,0,762304,1014,624566,800,S,11829,0,11,0,40,8,0,0,18,3332399104,37897,1,814379,39196,26235,5,0
2023-01-09 02:10:08.107482,906,329,865,1817,1193,0,0,0,764818,1044,630691,831,S,12984,0,13,0,41,9,0,0,18,3335696384,39196,1,814379,39196,26235,5,0
2023-01-09 02:10:08.375493,911,330,869,1817,1193,0,0,0,767190,1073,635634,864,S,12984,0,13,0,41,9,0,0,18,3335696384,39196,1,814931,39386,26754,5,0
2023-01-09 02:10:08.644743,918,331,872,1832,1193,0,0,0,769911,1106,640908,900,S,13720,0,13,0,42,9,0,0,18,3337957376,39386,1,814931,39386,26754,5,0
2023-01-09 02:10:08.884548,926,333,874,1840,1193,0,0,0,772089,1132,645581,930,S,13720,0,13,0,42,9,0,0,18,3337957376,39386,1,814931,39386,26754,5,0
2023-01-09 02:10:09.155184,930,334,876,1886,1193,0,0,0,774465,1161,650752,967,S,13817,0,13,0,43,9,0,0,18,3338219520,40113,0,814995,40113,27473,5,0
2023-01-09 02:10:09.415669,935,335,878,1920,1193,0,0,0,776889,1190,656464,1006,S,13835,0,14,0,43,10,0,0,18,3338219520,40113,1,814995,40113,27473,5,0
2023-01-09 02:10:09.686205,939,337,881,1954,1194,0,0,0,779637,1224,661912,1041,S,13836,0,14,0,43,10,0,0,18,3338219520,40113,1,814995,40113,27473,5,0
2023-01-09 02:10:09.936571,942,337,883,1994,1194,0,0,0,782589,1261,667806,1082,S,13838,0,14,0,43,10,0,0,18,3338219520,40113,1,814995,40113,27473,5,0
2023-01-09 02:10:10.197181,945,337,885,2033,1195,0,0,0,785475,1297,674012,1118,S,13856,0,14,0,43,10,0,0,18,3338219520,40113,1,814995,40113,27473,5,0
2023-01-09 02:10:10.457713,947,338,887,2080,1195,0,0,0,788427,1334,679074,1152,S,14193,0,14,0,43,11,0,0,18,3339399168,40183,0,815283,40231,27585,5,0
2023-01-09 02:10:10.723176,950,338,889,2116,1195,0,0,0,791379,1371,684112,1186,S,14235,0,14,0,44,11,0,0,18,3339399168,40231,0,815283,40231,27585,5,0
2023-01-09 02:10:10.976501,960,339,892,2133,1195,0,0,0,794043,1404,688928,1217,S,14354,0,14,0,44,11,0,0,18,3339399168,40232,0,815283,40232,27585,5,0
2023-01-09 02:10:11.237113,962,339,894,2174,1195,0,0,0,797193,1444,695361,1256,S,14650,0,14,0,44,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
2023-01-09 02:10:11.497372,964,339,896,2221,1195,0,0,0,800211,1482,700597,1293,S,14655,0,14,0,44,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
2023-01-09 02:10:11.760131,967,339,897,2261,1195,0,0,0,803157,1519,705809,1330,S,14656,0,14,0,44,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
2023-01-09 02:10:12.025707,969,340,899,2309,1195,0,0,0,805689,1550,710841,1365,S,14657,0,14,0,44,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
2023-01-09 02:10:12.296276,971,340,900,2355,1196,0,0,0,808707,1588,715879,1399,S,14658,0,14,0,44,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
2023-01-09 02:10:12.556579,974,341,902,2399,1196,0,0,0,811659,1625,720893,1433,S,14658,0,14,0,45,11,0,0,18,3339399168,40233,0,815283,40233,27585,5,0
