#com.eaglerex.mcpemodificator
#./workspace/com.eaglerex.mcpemodificator_0/com.eaglerex.mcpemodificator18b02e9f2ccce34e01c1cc1083a7aad7477b7278.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-08 23:56:41.364800,867,296,885,2111,1016,0,0,0,683327,901,632811,746,S,12645,0,11,0,48,5,0,0,17,3327660032,38652,1,812417,38652,25693,5,0
2023-01-08 23:56:41.635662,879,297,889,2111,1016,0,0,0,685595,928,638794,779,S,12645,0,11,0,48,5,0,0,17,3327660032,38652,1,812417,38652,25693,5,0
2023-01-08 23:56:41.906289,884,299,890,2111,1016,0,0,0,687839,955,644428,806,S,12645,0,11,0,48,5,0,0,17,3327660032,38652,1,812178,38307,25472,5,0
2023-01-08 23:56:42.158008,898,301,895,2111,1017,0,0,0,691491,1000,651882,852,S,13407,0,11,0,49,8,0,0,17,3328389120,39045,1,813112,39187,26092,5,0
2023-01-08 23:56:42.422721,905,303,898,2111,1017,0,0,0,693017,1018,654356,868,R,13625,0,11,0,54,10,0,0,17,3330506752,39187,1,814839,40634,27346,5,0
2023-01-08 23:56:42.681242,939,309,906,2111,1017,0,0,0,696282,1057,662385,913,S,15500,0,11,0,56,12,0,0,17,3337580544,40634,1,813867,39184,26132,5,0
2023-01-08 23:56:42.934344,947,311,908,2112,1017,0,0,0,697553,1072,664877,930,S,15521,0,11,0,56,13,0,0,18,3333599232,39184,1,814029,40388,26954,5,0
2023-01-08 23:56:43.180538,967,314,914,2115,1018,0,0,0,699773,1099,669463,959,S,16485,0,11,0,69,13,0,0,18,3334549504,40525,1,814107,40525,27096,5,0
2023-01-08 23:56:43.454031,991,316,918,2128,1019,0,0,0,702725,1136,674343,991,S,16521,0,12,0,81,13,0,0,18,3334582272,40525,0,814107,40681,27141,5,0
2023-01-08 23:56:43.708148,1039,316,925,2141,1019,0,0,0,705942,1175,680940,1030,R,16689,0,13,0,125,13,0,0,18,3334582272,40578,1,814107,40380,27141,5,0
2023-01-08 23:56:43.971668,1051,317,927,2142,1019,0,0,0,707345,1192,683583,1049,S,16734,0,13,0,131,13,0,0,18,3334582272,40380,0,814107,40380,27141,5,0
2023-01-08 23:56:44.239143,1072,321,931,2149,1019,0,0,0,709679,1220,688226,1078,S,16735,0,13,0,135,13,0,0,18,3334582272,40380,1,814107,40382,27141,5,0
2023-01-08 23:56:44.494455,1080,322,933,2185,1019,0,0,0,712499,1255,693332,1113,S,16773,0,13,0,136,13,0,0,18,3334582272,40382,0,814088,40846,27281,5,0
2023-01-08 23:56:44.745419,1096,322,938,2208,1019,0,0,0,714827,1284,698911,1142,S,19838,0,14,0,141,14,0,0,17,3345252352,42813,0,816744,42813,28461,5,0
2023-01-08 23:56:44.995475,1122,322,941,2216,1019,0,0,0,716783,1307,703412,1170,S,19866,0,14,0,141,15,0,0,17,3345383424,42813,0,815804,41585,27250,5,0
2023-01-08 23:56:45.261687,1145,323,948,2226,1020,0,0,0,719183,1336,708208,1201,S,19917,0,14,0,142,15,0,0,18,3341533184,41650,0,815804,41650,27250,5,0
2023-01-08 23:56:45.516526,1150,324,950,2266,1020,0,0,0,721871,1369,713424,1238,S,20409,0,14,0,143,15,0,0,18,3343753216,41634,0,816346,41634,27261,5,0
2023-01-08 23:56:45.771822,1174,325,957,2279,1020,0,0,0,724271,1398,718325,1271,R,21845,0,15,0,146,17,0,0,19,3357040640,45152,1,823981,49254,34333,5,0
2023-01-08 23:56:46.028617,1183,327,963,2280,1034,0,0,0,726911,1431,723137,1303,D,23169,0,146,0,150,21,0,0,33,3381735424,50349,0,829944,53766,38251,5,0
2023-01-08 23:56:46.294197,1201,328,973,2281,1047,0,0,0,729311,1460,727910,1334,S,25740,0,211,0,160,25,0,0,44,3396362240,54031,0,829704,55189,38669,5,0
2023-01-08 23:56:46.554525,1216,328,978,2281,1071,0,0,0,732225,1496,732839,1367,S,28290,0,224,0,182,26,0,0,44,3403231232,56704,1,833465,58542,40549,5,0
2023-01-08 23:56:46.815495,1256,330,987,2281,1073,0,0,0,734956,1528,739201,1403,S,30396,0,224,0,189,28,0,0,44,3413872640,58667,1,831388,55797,38541,5,0
2023-01-08 23:56:47.081298,1276,332,990,2281,1073,0,0,0,736581,1548,743285,1426,S,30615,0,225,0,190,28,0,0,44,3413872640,58417,1,831388,55784,38541,5,0
2023-01-08 23:56:47.347030,1301,335,1000,2281,1073,0,0,0,738353,1569,746337,1450,S,30973,0,226,0,190,29,0,0,44,3405365248,55797,1,831388,55784,38541,5,0
2023-01-08 23:56:47.610889,1307,337,1013,2282,1077,0,0,0,741131,1603,751754,1489,S,31054,0,226,0,190,29,0,0,44,3405365248,55785,1,832684,56213,38963,5,0
2023-01-08 23:56:47.873130,1319,338,1030,2287,1092,0,0,0,744083,1640,756708,1522,S,36942,0,241,0,203,31,0,0,46,3438030848,60868,1,840403,61579,39364,5,0
2023-01-08 23:56:48.149091,1335,338,1033,2305,1093,0,0,0,747195,1679,761728,1556,S,38764,0,242,0,227,32,0,0,46,3442331648,61673,1,840413,61707,39396,5,0
2023-01-08 23:56:48.402327,1374,339,1038,2311,1093,0,0,0,749189,1703,765992,1580,S,39040,0,244,0,250,34,0,0,46,3442331648,61707,1,840413,61707,39396,5,0
2023-01-08 23:56:48.653265,1381,347,1041,2318,1093,0,0,0,751301,1728,771845,1612,S,39040,0,244,0,250,34,0,0,46,3442331648,61707,1,840417,60035,39459,5,0
2023-01-08 23:56:48.918723,1413,351,1047,2321,1094,0,0,0,753257,1751,776259,1639,S,39585,0,244,0,268,35,0,0,46,3442364416,60100,0,839641,60139,39436,5,0
2023-01-08 23:56:49.174429,1437,351,1050,2322,1094,0,0,0,755501,1778,780787,1667,S,39603,0,244,0,281,36,0,0,46,3439169536,60139,0,839645,60350,39452,5,0
2023-01-08 23:56:49.439718,1489,352,1057,2323,1094,0,0,0,759096,1822,788035,1711,S,39763,0,244,0,301,37,0,0,46,3439185920,60221,1,839645,59982,39452,5,0
2023-01-08 23:56:49.716443,1502,352,1060,2325,1094,0,0,0,759529,1827,789422,1718,S,39765,0,244,0,304,37,0,0,46,3439185920,59982,1,839645,59887,39452,5,0
2023-01-08 23:56:49.964127,1521,353,1064,2330,1094,0,0,0,762455,1862,794869,1756,S,39833,0,244,0,308,38,0,0,46,3439185920,59985,1,839645,59985,39522,5,0
2023-01-08 23:56:50.224320,1527,353,1068,2368,1095,0,0,0,765227,1897,799643,1787,S,39924,0,244,0,316,38,0,0,46,3439185920,58497,1,839645,58497,39522,5,0
2023-01-08 23:56:50.479737,1546,353,1071,2394,1095,0,0,0,767405,1923,804351,1817,S,39927,0,244,0,321,38,0,0,46,3439185920,58496,0,839647,59309,39550,5,0
2023-01-08 23:56:50.750285,1571,353,1075,2411,1096,0,0,0,769937,1954,809215,1849,S,40966,0,244,0,345,41,0,0,46,3439202304,59309,0,839649,59325,39566,5,0
2023-01-08 23:56:51.008216,1601,354,1079,2414,1096,0,0,0,772695,1988,813934,1879,R,41290,0,244,0,372,42,0,0,46,3439308800,59474,0,841116,61805,41051,5,0
2023-01-08 23:56:51.262269,1621,356,1083,2415,1096,0,0,0,775161,2018,819831,1909,R,44646,0,244,0,392,44,0,0,46,3445735424,61938,1,839485,59803,39557,5,0
2023-01-08 23:56:51.791265,1683,359,1092,2415,1096,0,0,0,777736,2048,826148,1945,S,44763,0,244,0,414,45,0,0,46,3438530560,59803,1,840038,59937,39633,5,0
