#com.fastmoneys
#./workspace/com.fastmoneys_0/com.fastmoneys.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:18:52.587765,983,289,877,1521,1245,0,0,0,780063,1094,617471,881,S,11402,0,4,0,31,3,0,0,18,3328299008,36718,0,813294,37444,25763,5,0
2023-01-09 02:18:52.868159,993,290,880,1522,1245,0,0,0,782581,1124,622802,915,S,12129,0,4,0,32,3,0,0,18,3331252224,37444,0,813294,37444,25763,5,0
2023-01-09 02:18:53.103733,1001,290,882,1523,1245,0,0,0,785109,1155,629903,955,S,12159,0,4,0,32,3,0,0,18,3331252224,37444,0,813294,37444,25763,5,0
2023-01-09 02:18:53.371338,1009,290,886,1538,1246,0,0,0,787797,1188,636015,990,S,12187,0,5,0,32,3,0,0,18,3331256320,37617,0,813295,37617,25881,5,0
2023-01-09 02:18:53.631830,1012,292,888,1558,1246,0,0,0,790641,1223,641528,1029,S,12192,0,6,0,32,3,0,0,18,3331256320,37617,0,813295,36927,25935,5,0
2023-01-09 02:18:53.891679,1015,293,890,1601,1246,0,0,0,793725,1262,646430,1061,S,12196,0,6,0,33,3,0,0,18,3331256320,36927,1,813295,36927,25935,5,0
2023-01-09 02:18:54.148953,1025,293,892,1634,1247,0,0,0,796191,1292,651308,1093,S,12242,0,8,0,34,4,0,0,18,3331256320,37228,1,813295,37228,26207,5,0
2023-01-09 02:18:54.409617,1042,294,896,1649,1247,0,0,0,798525,1320,657331,1127,S,12251,0,9,0,35,4,0,0,18,3331256320,37228,1,813295,37228,26207,5,0
2023-01-09 02:18:54.669961,1059,294,899,1669,1247,0,0,0,801279,1354,662389,1161,S,12251,0,9,0,35,4,0,0,18,3331256320,37228,1,813300,37400,26368,5,0
2023-01-09 02:18:54.935922,1076,294,903,1695,1249,0,0,0,803655,1383,667154,1192,S,12292,0,11,0,37,5,0,0,18,3331276800,37400,1,813300,37400,26368,5,0
2023-01-09 02:18:55.189738,1095,300,906,1702,1249,0,0,0,805833,1409,671985,1224,S,12296,0,11,0,37,5,0,0,18,3331276800,37400,1,813364,38061,27023,5,0
2023-01-09 02:18:55.429915,1103,300,909,1735,1249,0,0,0,808587,1443,677152,1260,S,12624,0,11,0,39,5,0,0,18,3332194304,38126,0,813524,38126,27086,5,0
2023-01-09 02:18:55.695511,1108,300,911,1773,1250,0,0,0,811143,1474,682121,1293,S,12624,0,11,0,39,6,0,0,18,3332194304,38126,0,813524,38126,27086,5,0
2023-01-09 02:18:55.966198,1114,301,914,1816,1250,0,0,0,813939,1509,687066,1326,S,12624,0,11,0,40,6,0,0,18,3332194304,38126,1,813524,38126,27086,5,0
2023-01-09 02:18:56.225131,1124,301,918,1847,1250,0,0,0,816957,1547,692167,1361,S,12634,0,11,0,41,6,0,0,18,3332194304,38126,0,813524,38126,27086,5,0
2023-01-09 02:18:56.495925,1132,301,920,1887,1251,0,0,0,819645,1580,698323,1397,S,12635,0,11,0,42,6,0,0,18,3332194304,38126,1,813524,38126,27086,5,0
2023-01-09 02:18:56.746191,1138,302,924,1918,1254,0,0,0,822399,1614,703400,1432,S,12635,0,11,0,42,6,0,0,18,3332194304,38126,1,813524,38126,27086,5,0
2023-01-09 02:18:57.021901,1148,302,928,1953,1254,0,0,0,825285,1650,708525,1467,S,12637,0,11,0,43,6,0,0,18,3332194304,38129,0,813524,38129,27086,5,0
