#com.feelingtouch.physical
#./workspace/com.feelingtouch.physical_0/app3470.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:45:51.170235,910,336,909,1834,1219,0,0,0,3912082,3390,687782,1198,S,8829,0,389,0,17,11,0,0,46,1201508352,40415,1,293454,41936,34003,5,0
2023-01-09 04:45:51.435783,920,337,914,1834,1219,0,0,0,3914813,3422,693849,1230,S,10463,0,423,0,22,14,0,0,45,1205944320,43019,1,294381,42280,34307,5,0
2023-01-09 04:45:51.693806,928,338,915,1834,1219,0,0,0,3916598,3444,696522,1249,S,10622,0,427,0,23,18,0,0,46,1206833152,42178,1,294637,42407,34414,5,0
2023-01-09 04:45:51.959423,941,339,921,1834,1219,0,0,0,3919400,3478,704183,1287,S,10806,0,429,0,25,21,0,0,46,1207750656,42410,1,295405,42466,34518,5,0
2023-01-09 04:45:52.214492,951,341,926,1834,1219,0,0,0,3921899,3508,709018,1319,S,10876,0,429,0,27,24,0,0,46,1209688064,42393,1,295843,42501,34554,5,0
2023-01-09 04:45:52.474025,953,342,928,1834,1219,0,0,0,3922924,3520,711264,1334,S,10969,0,429,0,27,26,0,0,46,1210765312,42515,1,296173,42676,34692,5,0
2023-01-09 04:45:52.739167,961,345,934,1834,1220,0,0,0,3925750,3554,716880,1373,S,11075,0,434,0,29,28,0,0,46,1212862464,42680,1,296770,43644,35157,5,0
2023-01-09 04:45:53.001761,966,348,938,1834,1220,0,0,0,3927748,3578,721157,1398,S,12009,0,435,0,33,30,0,0,45,1215569920,43642,1,296770,43661,35160,5,0
2023-01-09 04:45:53.262133,972,350,942,1835,1221,0,0,0,3929746,3602,725788,1427,S,12010,0,435,0,40,32,0,0,45,1215569920,43661,0,296834,43787,35284,5,0
2023-01-09 04:45:53.517472,989,351,946,1835,1221,0,0,0,3932372,3634,730991,1463,S,12732,0,439,0,51,32,0,0,45,1215832064,44032,0,296834,44032,35480,5,0
2023-01-09 04:45:53.781930,1012,354,951,1836,1221,0,0,0,3934300,3657,735949,1494,S,12732,0,439,0,56,32,0,0,45,1215832064,44032,0,296834,44032,35480,5,0
2023-01-09 04:45:54.027583,1038,355,956,1841,1221,0,0,0,3936766,3687,742133,1538,S,12739,0,439,0,66,32,0,0,45,1215832064,44032,0,296834,44048,35496,5,0
2023-01-09 04:45:54.300263,1061,356,960,1847,1222,0,0,0,3938788,3711,747757,1572,S,12755,0,439,0,72,32,0,0,45,1215832064,44048,0,296834,44016,35503,5,0
2023-01-09 04:45:54.549960,1089,357,966,1852,1222,0,0,0,3941230,3741,753292,1606,S,13268,0,439,0,79,32,0,0,45,1215832064,44016,0,296834,44016,35503,5,0
2023-01-09 04:45:54.810949,1111,357,969,1866,1222,0,0,0,3943894,3774,758044,1636,R,13814,0,439,0,89,32,0,0,45,1215832064,44013,0,296866,44013,35503,5,0
2023-01-09 04:45:55.071890,1138,357,974,1880,1222,0,0,0,3946582,3807,762949,1668,R,13862,0,440,0,99,32,0,0,45,1215963136,44014,1,298418,44014,35503,5,0
2023-01-09 04:45:55.333187,1157,358,977,1897,1222,0,0,0,3948892,3835,767627,1698,R,13906,0,440,0,106,32,0,0,47,1222320128,44014,0,298418,44014,35503,5,0
2023-01-09 04:45:55.588362,1180,358,980,1912,1222,0,0,0,3951424,3866,774012,1737,S,13907,0,440,0,116,32,0,0,47,1222320128,44014,0,298418,44053,35535,5,0
2023-01-09 04:45:55.864187,1205,358,984,1926,1222,0,0,0,3953866,3896,779180,1773,S,14932,0,440,0,127,32,0,0,47,1222320128,44048,0,298418,44048,35535,5,0
2023-01-09 04:45:56.114657,1230,359,987,1940,1222,0,0,0,3956596,3930,784123,1806,R,14934,0,440,0,135,32,0,0,47,1222320128,44048,1,298418,44048,35535,5,0
2023-01-09 04:45:56.380536,1253,360,991,1953,1223,0,0,0,3959062,3960,790140,1845,R,15446,0,440,0,146,32,0,0,47,1222320128,44029,1,298418,44029,35535,5,0
2023-01-09 04:45:56.643881,1276,363,994,1965,1223,0,0,0,3961528,3990,795503,1879,R,15448,0,440,0,155,32,0,0,47,1222320128,44008,0,298418,44008,35535,5,0
2023-01-09 04:45:56.891498,1302,363,998,1974,1224,0,0,0,3964258,4024,801732,1916,S,15541,0,444,0,165,32,0,0,47,1222320128,44128,1,298418,44128,35547,5,0
2023-01-09 04:45:57.157347,1312,364,1001,1999,1224,0,0,0,3966748,4054,806931,1952,S,15543,0,444,0,165,32,0,0,47,1222320128,44128,1,298418,44128,35547,5,0
2023-01-09 04:45:57.412639,1315,364,1003,2048,1224,0,0,0,3969058,4082,811836,1985,S,15543,0,444,0,166,32,0,0,47,1222320128,43661,1,298418,43661,35580,5,0
2023-01-09 04:45:57.678106,1321,366,1006,2086,1225,0,0,0,3971722,4115,816789,2018,S,15547,0,444,0,166,32,0,0,47,1222320128,43661,0,298418,43661,35580,5,0
2023-01-09 04:45:57.953064,1340,376,1012,2100,1227,0,0,0,3974674,4152,823019,2055,S,15593,0,445,0,167,32,0,0,47,1222320128,43663,1,298418,43663,35581,5,0
2023-01-09 04:45:58.198181,1358,379,1015,2105,1227,0,0,0,3977296,4184,827924,2088,S,15593,0,445,0,168,32,0,0,47,1222320128,43663,1,298418,43663,35581,5,0
