#com.gp.jewels
#./workspace/com.gp.jewels_1/app2381.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 08:27:12.992639,930,303,922,1650,1152,0,0,0,1936055,1844,686010,943,S,2620,0,32,0,3,1,0,0,13,1121583104,21620,0,273824,21620,17504,5,0
2023-01-09 08:27:13.263513,943,303,924,1650,1152,0,0,0,1937827,1865,690417,969,S,2620,0,32,0,3,1,0,0,13,1121583104,21620,0,273824,21620,17504,5,0
2023-01-09 08:27:13.534163,946,303,926,1650,1152,0,0,0,1939849,1889,696043,996,S,2620,0,32,0,3,1,0,0,13,1121583104,21620,0,273824,21620,17504,5,0
2023-01-09 08:27:13.799457,951,305,928,1650,1152,0,0,0,1942093,1916,699322,1022,S,2620,0,32,0,3,1,0,0,13,1121583104,21620,0,275009,24128,19734,5,0
2023-01-09 08:27:14.043356,958,308,931,1650,1152,0,0,0,1944247,1942,703769,1049,R,2860,0,40,0,4,2,0,0,14,1122869248,22533,0,283016,31505,21564,5,0
2023-01-09 08:27:14.309233,964,309,933,1650,1152,0,0,0,1946331,1967,708541,1079,S,10402,727,74,0,7,3,0,0,19,1159233536,31505,0,283016,32919,22944,5,0
2023-01-09 08:27:14.569539,968,314,943,1654,1157,0,0,0,1948887,1998,713686,1115,S,10885,727,164,0,16,4,0,0,19,1159258112,34286,0,283071,35046,24770,5,0
2023-01-09 08:27:14.833956,979,314,947,1661,1159,0,0,0,1951617,2032,718606,1148,D,11099,727,224,0,23,4,0,0,19,1159458816,36268,1,283123,37398,27073,5,0
2023-01-09 08:27:15.101983,986,314,952,1672,1165,0,0,0,1954239,2064,723621,1181,S,11292,727,252,0,34,8,0,0,17,1157070848,37276,0,283326,37452,27157,5,0
2023-01-09 08:27:15.373298,994,315,956,1677,1165,0,0,0,1956993,2098,728568,1214,S,11661,727,255,0,35,9,0,0,20,1160503296,37452,0,283326,37452,27157,5,0
2023-01-09 08:27:15.628707,1003,317,960,1679,1166,0,0,0,1959931,2134,733588,1247,S,11661,727,255,0,35,9,0,0,20,1160503296,37452,0,285996,35283,28833,5,0
2023-01-09 08:27:15.888958,1012,317,961,1680,1166,0,0,0,1962445,2164,739696,1280,S,12827,727,261,0,37,9,0,0,24,1169580032,38921,0,289030,40633,29256,5,0
2023-01-09 08:27:16.149499,1020,317,966,1680,1166,0,0,0,1964377,2187,742616,1302,S,19988,1452,262,0,43,13,1,0,27,1183866880,40831,0,289092,41047,29423,5,0
2023-01-09 08:27:16.412611,1026,318,969,1680,1166,0,0,0,1966683,2215,747542,1335,S,20281,1452,262,0,52,17,1,0,26,1184120832,41047,0,289098,41112,29423,5,0
2023-01-09 08:27:16.679536,1035,319,973,1681,1166,0,0,0,1969059,2244,752180,1364,S,20335,1452,263,0,60,19,1,0,26,1184145408,41112,0,288359,40894,29284,5,0
2023-01-09 08:27:16.937253,1047,319,976,1684,1166,0,0,0,1971487,2273,756885,1394,S,22284,2170,264,0,64,23,1,0,26,1181966336,41058,1,290599,42285,29706,5,0
2023-01-09 08:27:17.201155,1054,320,979,1684,1166,0,0,0,1973821,2301,762908,1426,S,24046,2170,269,0,69,27,1,0,27,1190293504,42285,1,290601,41178,29844,5,0
2023-01-09 08:27:17.473769,1068,321,984,1684,1166,0,0,0,1976401,2332,768009,1461,S,24440,2170,269,0,76,29,1,0,27,1190301696,41178,1,290603,41091,29844,5,0
2023-01-09 08:27:17.742241,1094,322,990,1684,1166,0,0,0,1977705,2347,770701,1481,S,24543,2170,269,0,82,29,1,0,27,1190318080,41156,1,290613,41288,29844,5,0
2023-01-09 08:27:17.996001,1110,322,993,1702,1166,0,0,0,1980057,2376,775293,1510,S,25139,2170,269,0,103,29,1,0,27,1191104512,41259,1,290852,41387,29968,5,0
2023-01-09 08:27:18.266462,1131,323,996,1718,1166,0,0,0,1982325,2403,780701,1545,S,25641,2170,269,0,123,29,1,0,27,1191563264,41472,1,290913,41472,30045,5,0
2023-01-09 08:27:18.521801,1153,323,999,1733,1167,0,0,0,1984833,2434,786037,1579,S,25848,2170,269,0,146,29,1,0,27,1191604224,41540,1,290925,41540,30045,5,0
2023-01-09 08:27:18.782134,1175,323,1002,1750,1167,0,0,0,1987563,2468,791338,1612,S,26055,2170,269,0,170,29,1,0,27,1191661568,41606,1,291207,41606,30045,5,0
2023-01-09 08:27:19.039208,1197,324,1006,1762,1168,0,0,0,1990581,2506,797574,1648,S,26156,2170,269,0,191,29,1,0,28,1192800256,41674,0,291219,41674,30045,5,0
2023-01-09 08:27:19.310892,1220,324,1008,1782,1169,0,0,0,1993023,2536,802281,1678,S,26170,2170,269,0,213,29,1,0,28,1192857600,41740,1,291231,41740,30045,5,0
2023-01-09 08:27:19.571158,1240,324,1011,1797,1170,0,0,0,1995777,2570,807414,1713,S,26185,2170,269,0,236,29,1,0,28,1192914944,41740,0,291247,41740,30045,5,0
2023-01-09 08:27:19.836689,1260,324,1014,1818,1170,0,0,0,1998399,2602,812523,1748,S,26201,2170,269,0,260,29,1,0,28,1192980480,41740,1,291259,41740,30045,5,0
2023-01-09 08:27:20.102227,1278,324,1017,1840,1170,0,0,0,2000667,2629,818711,1784,S,26217,2170,269,0,285,29,1,0,28,1193046016,41740,1,291277,41740,30045,5,0
2023-01-09 08:27:20.357914,1297,324,1019,1859,1170,0,0,0,2003001,2657,823484,1815,S,26282,2170,269,0,306,29,1,0,28,1193103360,41872,1,291289,41872,30045,5,0
2023-01-09 08:27:20.633166,1319,329,1023,1871,1170,0,0,0,2005599,2689,828410,1848,R,26303,2170,271,0,332,29,1,0,28,1193168896,41872,0,291305,41872,30045,5,0
2023-01-09 08:27:20.890578,1331,331,1025,1871,1170,0,0,0,2007909,2717,833093,1878,S,26309,2170,272,0,344,29,1,0,28,1193193472,41872,1,291309,41872,30045,5,0
2023-01-09 08:27:21.154854,1342,332,1029,1873,1170,0,0,0,2010129,2744,837530,1905,S,26313,2170,272,0,349,29,1,0,28,1193209856,41872,1,291313,41872,30045,5,0
2023-01-09 08:27:21.414130,1352,332,1030,1876,1170,0,0,0,2012595,2774,842345,1937,S,26324,2170,272,0,357,29,1,0,28,1193226240,41872,1,291317,41872,30045,5,0
2023-01-09 08:27:21.685066,1383,332,1034,1879,1170,0,0,0,2015415,2809,847184,1969,S,26331,2170,272,0,369,29,1,0,28,1193250816,41872,1,291325,41872,30045,5,0
2023-01-09 08:27:21.930997,1400,332,1038,1891,1170,0,0,0,2017683,2836,853102,2002,S,26365,2170,272,0,386,29,1,0,28,1193283584,41938,1,291335,41938,30045,5,0
2023-01-09 08:27:22.201879,1428,332,1042,1905,1170,0,0,0,2020479,2871,858097,2036,S,28121,2170,273,0,403,30,1,0,28,1197150208,43266,1,292281,43266,29892,5,0
2023-01-09 08:27:22.463238,1447,332,1043,1913,1170,0,0,0,2023233,2905,863366,2073,S,28175,2170,273,0,418,31,1,0,28,1197191168,43266,1,292291,43266,29892,5,0
2023-01-09 08:27:22.717938,1472,333,1047,1932,1170,0,0,0,2025675,2935,868157,2105,S,28190,2170,273,0,440,31,1,0,28,1197248512,43332,1,292301,43332,29892,5,0
2023-01-09 08:27:22.978330,1493,333,1050,1948,1170,0,0,0,2027919,2962,872930,2136,S,28205,2170,273,0,458,32,1,0,28,1197281280,43332,0,292309,42840,29892,5,0
2023-01-09 08:27:23.243958,1531,333,1054,1950,1170,0,0,0,2030371,2991,877835,2169,S,28211,2170,273,0,469,32,1,0,28,1197305856,42840,0,292315,42840,29892,5,0
2023-01-09 08:27:23.501638,1555,333,1056,1952,1170,0,0,0,2032521,3017,882434,2197,S,28215,2170,273,0,478,32,1,0,28,1197322240,42840,0,292319,42840,29892,5,0
2023-01-09 08:27:23.759168,1574,333,1061,1966,1170,0,0,0,2035029,3048,887075,2226,S,28227,2170,273,0,499,32,1,0,28,1197371392,42840,0,292333,42840,29892,5,0
2023-01-09 08:27:24.019471,1595,333,1063,1988,1170,0,0,0,2037825,3083,892028,2259,S,28239,2170,273,0,523,32,1,0,28,1197420544,42840,0,292345,42840,29892,5,0
2023-01-09 08:27:24.279901,1613,333,1065,2007,1170,0,0,0,2040513,3116,897294,2296,S,28251,2170,273,0,545,32,1,0,28,1197469696,42840,0,292357,42840,29892,5,0
2023-01-09 08:27:24.540309,1635,333,1067,2030,1170,0,0,0,2042907,3146,901774,2324,S,28265,2170,273,0,573,32,1,0,28,1197527040,42840,0,292373,42905,29892,5,0
2023-01-09 08:27:24.801021,1656,333,1068,2052,1170,0,0,0,2045301,3176,906254,2352,S,28282,2170,273,0,601,32,1,0,28,1197592576,42905,0,292387,42905,29892,5,0
