#com.gp.tiltmazes
#./workspace/com.gp.tiltmazes_1/app485.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:34:53.460738,938,293,896,1596,1213,0,0,0,387465,839,682564,899,S,3496,724,91,0,4,3,0,0,15,1127989248,26816,1,275485,26894,22560,5,0
2023-01-09 06:34:53.739443,956,295,899,1596,1213,0,0,0,390480,875,689433,939,S,3593,724,93,0,5,3,0,0,15,1128386560,26894,1,275485,26894,22560,5,0
2023-01-09 06:34:53.994772,961,296,901,1596,1214,0,0,0,391845,891,693071,959,S,3593,724,93,0,5,3,0,0,15,1128386560,26894,1,275485,26894,22560,5,0
2023-01-09 06:34:54.255438,968,297,905,1596,1214,0,0,0,393527,911,696054,982,S,3593,724,93,0,5,3,0,0,15,1128386560,26894,1,275485,26894,22560,5,0
2023-01-09 06:34:54.501352,973,298,907,1596,1214,0,0,0,396759,950,704081,1021,S,3593,724,93,0,5,3,0,0,15,1128386560,26894,1,275485,26967,22619,5,0
2023-01-09 06:34:54.776825,987,299,911,1596,1214,0,0,0,399306,980,709930,1059,S,3625,724,94,0,5,4,0,0,15,1128386560,26972,1,275485,26972,22619,5,0
2023-01-09 06:34:55.027249,995,300,914,1597,1214,0,0,0,400685,997,712243,1075,S,3638,724,97,0,6,4,0,0,15,1128386560,26972,1,275485,26972,22619,5,0
2023-01-09 06:34:55.299919,1001,307,916,1600,1214,0,0,0,402641,1020,717153,1104,S,3771,724,97,0,7,4,0,0,15,1128648704,27094,1,275258,26878,22507,5,0
2023-01-09 06:34:55.564035,1013,308,920,1602,1214,0,0,0,404819,1046,722489,1138,S,3954,724,98,0,8,5,0,0,16,1129164800,27019,0,275675,27020,22643,5,0
2023-01-09 06:34:55.854834,1021,308,923,1618,1214,0,0,0,407417,1078,728803,1176,S,3990,724,98,0,8,5,0,0,16,1129164800,27020,0,275676,27472,23010,5,0
2023-01-09 06:34:56.123325,1052,311,927,1634,1214,0,0,0,410502,1115,735446,1216,S,4221,724,101,0,12,5,0,0,16,1129168896,27609,1,275676,27608,23126,5,0
2023-01-09 06:34:56.390278,1069,311,930,1636,1215,0,0,0,411493,1127,737650,1230,S,4231,724,101,0,13,5,0,0,16,1129168896,27608,0,275676,27640,23158,5,0
2023-01-09 06:34:56.655793,1089,312,934,1647,1215,0,0,0,414551,1164,743065,1268,R,4305,724,101,0,15,5,0,0,16,1129312256,27671,0,275402,27685,23190,5,0
2023-01-09 06:34:56.895757,1115,312,939,1653,1215,0,0,0,417017,1194,749027,1301,S,4440,724,101,0,15,6,0,0,15,1128046592,27685,1,275708,27685,23190,5,0
2023-01-09 06:34:57.172544,1137,313,943,1668,1215,0,0,0,419813,1229,753820,1332,S,4494,724,102,0,16,6,0,0,15,1128177664,27684,1,275708,27689,23190,5,0
2023-01-09 06:34:57.427422,1152,313,945,1695,1215,0,0,0,422633,1264,758883,1366,S,4521,724,102,0,18,6,0,0,15,1128177664,27688,0,275434,27688,23190,5,0
2023-01-09 06:34:57.682738,1160,314,949,1723,1218,0,0,0,425033,1293,763767,1398,S,4551,724,102,0,18,6,0,0,16,1129299968,27688,1,275708,27688,23190,5,0
2023-01-09 06:34:57.953307,1173,314,951,1757,1218,0,0,0,427565,1324,768825,1433,S,4601,724,102,0,19,6,0,0,16,1129299968,27702,0,275708,27702,23222,5,0
2023-01-09 06:34:58.218739,1188,314,953,1784,1218,0,0,0,430451,1360,773799,1466,S,4615,724,102,0,20,6,0,0,15,1128177664,27701,0,275434,27701,23222,5,0
2023-01-09 06:34:58.473959,1196,314,955,1823,1218,0,0,0,433073,1392,779103,1504,S,4618,724,102,0,20,6,0,0,15,1128177664,27701,1,275434,27701,23222,5,0
2023-01-09 06:34:58.744870,1201,315,958,1863,1218,0,0,0,435827,1426,784143,1538,S,4618,724,102,0,20,6,0,0,15,1128177664,27701,1,275434,27701,23222,5,0
2023-01-09 06:34:58.989858,1212,316,960,1893,1218,0,0,0,438293,1456,790262,1573,S,4641,724,102,0,21,6,0,0,16,1129299968,27701,1,275708,27701,23222,5,0
2023-01-09 06:34:59.260591,1223,316,962,1926,1218,0,0,0,440693,1485,795188,1606,S,4644,724,102,0,22,6,0,0,15,1128177664,27700,1,275434,27700,23222,5,0
2023-01-09 06:34:59.510963,1228,317,966,1960,1220,0,0,0,443159,1515,800157,1640,S,4647,724,102,0,22,6,0,0,15,1128177664,27700,1,275434,27700,23222,5,0
2023-01-09 06:34:59.766160,1234,317,968,2000,1220,0,0,0,445913,1549,805264,1675,S,4648,724,102,0,22,6,0,0,15,1128177664,27700,1,275708,27700,23222,5,0
2023-01-09 06:35:00.016550,1243,324,974,2021,1221,0,0,0,448379,1579,810083,1706,S,4660,724,102,0,23,7,0,0,15,1128177664,27699,1,275434,27699,23222,5,0
2023-01-09 06:35:00.282017,1251,325,977,2029,1221,0,0,0,451001,1611,815166,1741,S,4663,724,103,0,23,7,0,0,15,1128177664,27699,1,275434,27699,23222,5,0
