#com.gridappsinc.launcher.theme.nine.sherlock_keepsake
#./workspace/com.gridappsinc.launcher.theme.nine.sherlock_keepsake_0/com.gridappsinc.launcher.theme.nine.sherlock_keepsake.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:17:03.878593,994,301,878,1432,1371,0,0,0,684169,820,655055,729,S,13583,0,9,0,40,2,0,0,16,3337502720,39151,1,814820,39151,24506,5,0
2023-01-09 06:17:04.141455,1009,304,880,1432,1371,0,0,0,686971,854,661432,765,S,13583,0,9,0,40,2,0,0,16,3337502720,39151,1,815541,39877,25231,5,0
2023-01-09 06:17:04.413961,1015,307,884,1434,1371,0,0,0,689305,882,666355,798,S,14333,0,9,0,40,3,0,0,16,3340455936,40065,0,816548,40823,26249,5,0
2023-01-09 06:17:04.679643,1026,310,889,1436,1371,0,0,0,691795,912,671312,829,S,15573,0,10,0,46,3,0,0,17,3344580608,40823,0,816553,40823,26249,5,0
2023-01-09 06:17:04.945146,1036,313,891,1464,1371,0,0,0,694327,943,676190,861,S,15595,0,10,0,46,4,0,0,17,3344621568,40823,0,816563,40994,26374,5,0
2023-01-09 06:17:05.205594,1043,314,893,1501,1372,0,0,0,696817,973,681248,895,S,15742,0,10,0,47,4,0,0,17,3345055744,41728,0,816669,41728,27099,5,0
2023-01-09 06:17:05.460913,1049,314,896,1540,1372,0,0,0,699325,1004,685988,926,S,15933,0,11,0,47,6,0,0,17,3344928768,41652,0,816633,41702,27360,5,0
2023-01-09 06:17:05.726447,1059,315,898,1570,1374,0,0,0,702277,1041,691106,962,S,15964,0,12,0,48,6,0,0,17,3344969728,41702,0,816776,41854,27510,5,0
2023-01-09 06:17:05.988705,1068,316,901,1607,1374,0,0,0,704941,1074,696026,995,S,16332,0,13,0,49,7,0,0,17,3345555456,41887,0,816786,41887,27542,5,0
2023-01-09 06:17:06.254173,1075,316,903,1641,1375,0,0,0,707695,1108,701018,1028,R,16355,0,13,0,51,7,0,0,17,3345555456,41746,1,816796,41986,27555,5,0
2023-01-09 06:17:06.514046,1095,318,909,1654,1376,0,0,0,710359,1141,706004,1062,S,17345,0,13,0,64,7,0,0,17,3345596416,41986,0,816796,42057,27569,5,0
2023-01-09 06:17:06.774504,1116,319,914,1673,1377,0,0,0,713249,1177,710810,1094,S,17376,0,13,0,66,7,0,0,17,3345596416,42057,0,816796,42057,27569,5,0
2023-01-09 06:17:07.039826,1152,319,921,1675,1377,0,0,0,715625,1206,715286,1121,S,17376,0,13,0,66,7,0,0,17,3345596416,42057,0,817102,42073,27585,5,0
2023-01-09 06:17:07.300388,1187,321,925,1676,1377,0,0,0,718271,1238,721416,1154,S,17429,0,13,0,66,7,0,0,18,3346849792,42073,0,815212,39221,25456,5,0
