#com.keji.danti652
#./workspace/com.keji.danti652_0/app104.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 20:26:48.116391,1111,322,760,5458,1633,0,0,0,804301,831,590716,627,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:48.397349,1133,322,767,5507,1634,0,0,0,808147,879,598246,675,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:48.652549,1145,322,770,5554,1634,0,0,0,810613,909,603252,707,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:48.928821,1158,331,773,5594,1639,0,0,0,812965,938,609126,739,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:49.179180,1187,337,779,5609,1639,0,0,0,815497,969,614431,776,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:49.464067,1214,344,784,5630,1639,0,0,0,818251,1003,619389,808,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:49.709231,1229,350,788,5677,1640,0,0,0,821401,1043,625271,848,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:49.984012,1247,350,792,5715,1640,0,0,0,824023,1075,630932,885,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:50.244482,1272,350,798,5762,1641,0,0,0,827041,1113,636629,923,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:50.524745,1297,350,803,5792,1642,0,0,0,829597,1144,643022,961,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:50.779699,1315,350,808,5833,1642,0,0,0,832327,1178,647958,993,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:51.040197,1322,350,810,5901,1643,0,0,0,834925,1210,652870,1025,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,871363,46329,37694,5,0
2022-11-28 20:26:51.291718,1329,351,812,5961,1643,0,0,0,837433,1241,657860,1058,S,45059,0,217,0,155,61,0,0,57,3569102848,46329,1,870267,46323,37695,5,0
2022-11-28 20:26:51.547017,1348,351,816,5993,1643,0,0,0,839875,1271,662995,1093,S,45059,0,217,0,155,62,0,0,53,3564613632,46323,1,870267,46323,37695,5,0
2022-11-28 20:26:51.818159,1353,351,818,6068,1643,0,0,0,842761,1307,668658,1130,S,45059,0,217,0,155,62,0,0,53,3564613632,46323,1,870267,46323,37695,5,0
2022-11-28 20:26:52.072136,1367,351,821,6117,1643,0,0,0,845425,1340,674340,1168,S,45061,0,217,0,155,62,0,0,53,3564613632,46323,1,870267,46323,37695,5,0
2022-11-28 20:26:52.331922,1372,351,824,6185,1643,0,0,0,847909,1371,679398,1198,S,45062,0,217,0,155,62,0,0,53,3564613632,46323,1,870267,46323,37695,5,0
2022-11-28 20:26:52.633433,1384,351,829,6237,1643,0,0,0,850375,1401,685542,1233,S,45062,0,217,0,155,62,0,0,53,3564613632,46323,1,869445,46442,37793,5,0
2022-11-28 20:26:52.866584,1392,351,833,6269,1643,0,0,0,852421,1425,690300,1263,S,45062,0,217,0,155,62,0,0,50,3561246720,46442,1,869445,46442,37793,5,0
2022-11-28 20:26:53.149425,1409,351,837,6329,1643,0,0,0,854707,1453,694746,1289,S,45062,0,217,0,155,62,0,0,50,3561246720,46442,1,869445,46442,37793,5,0
2022-11-28 20:26:53.405148,1414,351,840,6389,1643,0,0,0,856819,1478,699342,1318,S,45062,0,217,0,155,62,0,0,50,3561246720,46442,1,868897,46496,37823,5,0
2022-11-28 20:26:53.660672,1425,351,842,6442,1645,0,0,0,859171,1507,705245,1350,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:53.936428,1442,355,849,6489,1645,0,0,0,862321,1547,710315,1384,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:54.193432,1471,356,854,6516,1646,0,0,0,864829,1578,715139,1415,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:54.448692,1495,356,858,6561,1646,0,0,0,867295,1608,719945,1445,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:54.718915,1527,356,863,6584,1647,0,0,0,869605,1636,724679,1475,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:54.978723,1549,356,867,6624,1647,0,0,0,871939,1664,729791,1510,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:55.234168,1554,357,869,6692,1648,0,0,0,874537,1696,734663,1541,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:55.504698,1559,357,871,6761,1648,0,0,0,877177,1729,740524,1572,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:55.775814,1575,357,876,6821,1648,0,0,0,880379,1769,745660,1607,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:56.015500,1595,358,881,6839,1648,0,0,0,882595,1796,750526,1639,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
2022-11-28 20:26:56.283638,1607,358,888,6850,1648,0,0,0,884905,1824,755152,1667,S,45067,0,217,0,155,62,0,0,48,3559002112,46496,1,868897,46496,37823,5,0
