#com.kuz.lifefacebook
#./workspace/com.kuz.lifefacebook_0/com.kuz.lifefacebook.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 20:30:32.637280,1030,292,721,4563,1508,0,0,0,600117,767,590106,674,S,19574,1538,303,0,41,14,1,2,43,3395784704,53209,0,829054,53461,37317,5,0
2022-11-28 20:30:32.909412,1068,292,729,4565,1513,0,0,0,603783,813,597258,718,S,19895,1538,311,0,64,17,1,2,43,3397165056,53798,0,834485,57150,39480,5,0
2022-11-28 20:30:33.168918,1091,293,739,4568,1514,0,0,0,606027,840,601859,746,S,29034,1538,332,0,71,22,1,2,46,3450662912,63079,1,843993,64608,39630,5,0
2022-11-28 20:30:33.426965,1106,293,744,4593,1516,0,0,0,608493,870,606838,779,S,30983,1538,333,0,85,24,1,2,46,3457019904,64918,1,844684,65658,40555,5,0
2022-11-28 20:30:33.682295,1127,295,750,4624,1516,0,0,0,611199,904,611596,809,S,32490,1538,334,0,104,27,1,2,46,3462139904,65854,0,845492,65971,40702,5,0
2022-11-28 20:30:33.955145,1159,295,756,4643,1517,0,0,0,614373,944,617075,847,S,33161,1538,335,0,117,30,1,2,46,3463135232,65988,1,845492,65988,40718,5,0
2022-11-28 20:30:34.211139,1176,295,760,4681,1517,0,0,0,616371,968,621605,875,S,33162,1538,335,0,118,30,1,2,46,3463135232,65988,2,845492,65973,40749,5,0
2022-11-28 20:30:34.486861,1179,295,764,4761,1518,0,0,0,619035,1001,626477,906,S,33350,1538,335,0,118,30,1,2,46,3463135232,64193,2,845492,64193,40755,5,0
2022-11-28 20:30:34.742151,1181,295,766,4834,1518,0,0,0,622119,1040,631704,942,S,33439,1538,335,0,119,31,1,2,46,3463135232,64193,2,845492,64193,40755,5,0
2022-11-28 20:30:35.002536,1183,295,768,4896,1521,0,0,0,625113,1078,636553,973,S,34284,1538,335,0,121,31,1,2,46,3463135232,64221,1,844698,64348,40825,5,0
2022-11-28 20:30:35.257842,1191,295,771,4953,1521,0,0,0,627489,1107,641378,1004,S,34477,1538,335,0,128,32,1,2,46,3459883008,64348,1,844698,64348,40825,5,0
