#com.kwanovations.storm
#./workspace/com.kwanovations.storm_0/com.kwanovations.storm.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 20:13:32.416204,987,250,684,3864,1395,0,0,0,513814,640,574660,588,S,41883,0,206,0,137,56,0,0,64,3538243584,45281,2,863829,45281,35807,5,0
2022-11-28 20:13:32.697756,1017,256,701,3872,1420,0,0,0,516946,679,582536,629,S,43415,0,208,0,147,60,0,0,64,3573907456,48306,2,873773,47047,38446,5,0
2022-11-28 20:13:32.962568,1029,264,709,3874,1420,0,0,0,518975,703,586873,654,S,44467,0,208,0,151,63,0,0,66,3576877056,47056,2,873526,47107,38444,5,0
2022-11-28 20:13:33.218827,1038,269,715,3901,1421,0,0,0,521153,729,591558,683,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:33.474244,1039,269,716,3969,1421,0,0,0,523685,760,596375,714,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:33.735272,1041,269,718,4040,1422,0,0,0,526373,793,601528,749,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:34.000686,1043,269,721,4111,1423,0,0,0,528839,823,606393,780,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:34.256191,1058,269,725,4165,1423,0,0,0,531371,854,611436,814,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:34.519183,1070,269,728,4217,1424,0,0,0,533963,887,616996,842,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:34.774097,1071,269,731,4287,1424,0,0,0,536627,920,621993,875,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:35.034771,1072,269,733,4358,1424,0,0,0,539513,956,627104,909,S,44632,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:35.300055,1073,269,735,4435,1424,0,0,0,542111,988,631969,940,S,44635,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:35.560401,1075,269,737,4510,1424,0,0,0,544865,1022,636948,972,S,44635,0,208,0,160,66,0,0,67,3577962496,47107,2,873526,47107,38444,5,0
2022-11-28 20:13:35.826016,1076,270,739,4580,1424,0,0,0,547619,1056,641993,1005,S,44636,0,208,0,160,66,0,0,66,3576840192,47025,2,873252,47025,38444,5,0
2022-11-28 20:13:36.076114,1078,270,742,4647,1424,0,0,0,550373,1090,647014,1038,S,44636,0,208,0,160,66,0,0,66,3576840192,47025,2,873252,47025,38444,5,0
2022-11-28 20:13:36.341714,1081,270,745,4722,1424,0,0,0,553325,1127,652060,1071,S,44643,0,208,0,160,66,0,0,66,3576840192,47025,2,873252,47025,38444,5,0
2022-11-28 20:13:36.607258,1083,270,747,4795,1424,0,0,0,555947,1159,657413,1109,S,44643,0,208,0,160,66,0,0,66,3576840192,47025,2,873252,47025,38444,5,0
2022-11-28 20:13:36.862471,1085,270,749,4865,1424,0,0,0,558503,1190,662502,1143,S,44643,0,208,0,160,66,0,0,63,3573473280,47042,2,872430,47042,38461,5,0
2022-11-28 20:13:37.123035,1086,270,751,4936,1425,0,0,0,561011,1221,667166,1172,S,44643,0,208,0,160,66,0,0,63,3573473280,47042,0,872430,47042,38461,5,0
2022-11-28 20:13:37.394080,1100,278,758,4971,1426,0,0,0,563741,1255,672100,1204,S,44643,0,208,0,161,66,0,0,63,3573473280,47042,0,872430,47042,38461,5,0
2022-11-28 20:13:37.660073,1127,278,765,4998,1427,0,0,0,566051,1283,676854,1234,S,44643,0,208,0,161,66,0,0,63,3573473280,47042,2,872430,47042,38461,5,0
2022-11-28 20:13:37.920782,1153,278,769,5033,1427,0,0,0,568583,1314,681790,1266,S,44666,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:38.175784,1187,278,777,5063,1427,0,0,0,571427,1349,687091,1302,S,44676,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:38.436147,1196,279,780,5121,1427,0,0,0,574157,1383,693304,1338,S,44676,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:38.693025,1198,279,782,5188,1427,0,0,0,577043,1419,698372,1372,S,44676,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:38.948513,1199,279,784,5258,1427,0,0,0,579599,1450,703398,1405,S,44676,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:39.224400,1212,279,787,5322,1427,0,0,0,582263,1483,708526,1440,S,44676,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:39.479427,1220,279,790,5384,1427,0,0,0,584903,1516,713480,1473,S,44677,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
2022-11-28 20:13:39.753689,1239,279,795,5439,1427,0,0,0,587477,1548,719014,1509,S,44677,0,208,0,161,66,0,0,62,3572350976,47039,0,872156,47039,38461,5,0
