#com.load.wap
#./workspace/com.load.wap_0/app100.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 20:23:24.859901,853,194,601,1746,1245,0,0,0,72447,343,500350,529,S,42501,0,300,0,147,72,0,0,60,3428265984,45610,0,835887,46794,35696,5,0
2022-11-28 20:23:25.131082,861,197,606,1746,1245,0,0,0,74559,368,504984,558,S,45635,0,300,0,153,75,0,0,56,3424894976,46851,0,836425,46026,35696,5,0
2022-11-28 20:23:25.402776,871,203,612,1746,1245,0,0,0,77313,402,511453,593,S,46702,0,300,0,156,76,0,0,56,3424935936,46099,0,836166,46100,35696,5,0
2022-11-28 20:23:25.662824,887,210,620,1747,1247,0,0,0,79755,432,516373,624,S,47861,0,300,0,160,77,0,0,56,3424997376,46262,0,836244,46464,35775,5,0
2022-11-28 20:23:25.932109,897,225,630,1749,1249,0,0,0,82107,461,520916,652,S,48980,0,300,0,165,80,0,0,56,3424251904,45018,0,835999,45092,35791,5,0
2022-11-28 20:23:26.172800,908,236,638,1754,1250,0,0,0,84483,490,527030,687,S,50348,0,300,0,168,82,0,0,56,3424301056,45117,0,836011,45139,35791,5,0
2022-11-28 20:23:26.435200,922,242,644,1788,1253,0,0,0,87099,523,531597,715,S,50370,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:26.707528,924,242,646,1862,1253,0,0,0,89895,558,536462,746,S,50371,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:26.972638,940,243,650,1917,1253,0,0,0,92601,592,541473,780,S,50419,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:27.231438,957,246,655,1952,1253,0,0,0,94911,620,546154,809,S,50422,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:27.481528,964,246,658,2013,1255,0,0,0,97665,654,551195,842,S,50422,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:27.752217,972,247,664,2048,1274,0,0,0,100461,689,556122,874,S,50423,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:28.008524,983,248,674,2057,1310,0,0,0,103125,722,561091,907,S,50447,0,300,0,169,83,0,0,56,3424301056,45139,0,836011,45139,35791,5,0
2022-11-28 20:23:28.273975,987,249,681,2076,1351,0,0,0,105813,755,566174,941,S,50448,0,300,0,169,83,0,0,55,3423178752,45168,0,835737,45184,35822,5,0
2022-11-28 20:23:28.524312,992,249,685,2133,1359,0,0,0,108831,793,571281,975,S,50463,0,300,0,169,83,0,0,55,3423178752,45184,0,835737,45184,35822,5,0
2022-11-28 20:23:28.781031,994,249,687,2197,1359,0,0,0,111453,825,576563,1012,S,50463,0,300,0,169,83,0,0,55,3423178752,45184,0,835737,45184,35822,5,0
2022-11-28 20:23:29.051663,997,250,690,2271,1359,0,0,0,114207,859,581870,1049,S,51236,0,300,0,170,83,0,0,55,3423195136,45329,0,835467,45319,35839,5,0
2022-11-28 20:23:29.307323,1023,251,695,2317,1359,0,0,0,116805,891,586801,1081,S,51236,0,300,0,170,83,0,0,54,3422072832,45319,0,835193,45313,35839,5,0
2022-11-28 20:23:29.575249,1030,251,698,2382,1359,0,0,0,119709,928,591486,1110,S,51276,0,300,0,170,83,0,0,53,3420966912,45379,0,835197,45379,35840,5,0
2022-11-28 20:23:29.836767,1032,252,700,2452,1359,0,0,0,122439,962,596549,1144,S,51505,0,300,0,171,83,0,0,51,3418996736,45571,1,834716,45571,35842,5,0
2022-11-28 20:23:30.092185,1034,252,702,2518,1361,0,0,0,125259,997,602829,1180,S,51505,0,300,0,171,83,0,0,51,3418996736,45571,1,834716,45571,35842,5,0
2022-11-28 20:23:30.347611,1037,253,706,2592,1361,0,0,0,127947,1030,608114,1217,S,51505,0,300,0,171,83,0,0,51,3418996736,45571,1,834716,45571,35842,5,0
2022-11-28 20:23:30.618296,1054,264,712,2617,1362,0,0,0,130389,1060,613279,1252,S,51506,0,300,0,171,84,0,0,51,3418996736,45571,1,834716,45630,35858,5,0
2022-11-28 20:23:30.889002,1082,265,721,2637,1363,0,0,0,133053,1093,618145,1283,S,51518,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:31.137739,1111,265,726,2655,1363,0,0,0,135519,1123,623659,1319,S,51518,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:31.396221,1140,265,733,2668,1363,0,0,0,137739,1150,628933,1352,S,51520,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:31.653912,1152,265,735,2717,1363,0,0,0,140667,1187,633889,1384,S,51520,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:31.909140,1153,265,737,2792,1363,0,0,0,143157,1217,640980,1427,S,51520,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:32.169523,1155,265,739,2860,1363,0,0,0,145731,1249,645733,1457,S,51520,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:32.430101,1174,266,744,2912,1363,0,0,0,148593,1285,650642,1489,S,51520,0,300,0,171,84,0,0,51,3418996736,45625,1,834716,45625,35858,5,0
2022-11-28 20:23:32.701061,1194,268,748,2948,1367,0,0,0,151167,1317,655463,1520,S,53466,0,300,0,175,84,0,0,51,3418996736,45686,1,834742,45972,35877,5,0
2022-11-28 20:23:32.967825,1219,278,761,2969,1371,0,0,0,154011,1352,662009,1559,S,55528,0,300,0,185,87,0,0,51,3419144192,46150,2,834766,46447,35877,5,0
2022-11-28 20:23:33.207563,1245,281,768,2986,1371,0,0,0,156255,1379,666963,1592,S,55943,0,300,0,187,87,0,0,51,3419201536,46447,2,834766,46447,35877,5,0
