#com.ogodatingapps.macedoniadatingsite
#./workspace/com.ogodatingapps.macedoniadatingsite_0/com.ogodatingapps.macedoniadatingsite.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 01:56:59.444241,922,298,856,1855,1038,0,0,0,3172947,2576,670151,860,S,22492,1653,44,0,42,16,2,0,63,3491045376,56820,0,852322,56945,42252,5,0
2023-01-09 01:56:59.710846,935,299,858,1855,1038,0,0,0,3175791,2611,677242,898,S,22515,1653,44,0,55,19,2,0,63,3491110912,56945,0,852330,57011,42252,5,0
2023-01-09 01:56:59.971026,943,300,860,1855,1039,0,0,0,3178101,2639,683043,929,D,23659,1653,68,0,69,19,2,0,65,3504676864,58548,0,858509,60948,45968,5,0
2023-01-09 01:57:00.241370,951,305,864,1856,1041,0,0,0,3180699,2671,687941,962,D,24298,1653,203,0,72,22,2,0,78,3520937984,61878,0,866431,68496,49201,5,0
2023-01-09 01:57:00.511943,967,307,872,1856,1043,0,0,0,3184374,2715,697192,1006,R,32346,1653,243,0,88,27,2,0,83,3552133120,69396,1,869076,70712,50279,5,0
2023-01-09 01:57:00.756619,998,309,882,1856,1043,0,0,0,3189192,2772,707351,1055,S,36596,1653,246,0,102,28,2,0,86,3559735296,70712,1,869398,70487,50556,5,0
2023-01-09 01:57:01.042535,993,308,880,1856,1043,0,0,0,3187679,2754,703421,1038,S,35029,1653,244,0,99,28,2,0,86,3562999808,71498,1,869398,70487,50556,5,0
2023-01-09 01:57:01.554181,1073,311,901,1857,1043,0,0,0,3191684,2801,712142,1085,S,36603,1653,246,0,103,28,2,0,86,3559735296,70178,1,869398,70673,50704,5,0
2023-01-09 01:57:01.289147,1073,311,901,1857,1043,0,0,0,3191497,2799,712076,1084,S,36603,1653,246,0,103,28,2,0,86,3559735296,70178,1,869398,70238,50736,5,0
2023-01-09 01:57:01.804357,1079,312,904,1857,1043,0,0,0,3193731,2825,715612,1103,S,36625,1653,254,0,103,28,2,0,86,3560919040,70487,1,869398,70238,50736,5,0
2023-01-09 01:57:02.064864,1090,314,911,1857,1043,0,0,0,3194848,2838,718964,1119,S,36658,1653,254,0,103,29,2,0,86,3561054208,70673,0,869398,70238,50736,5,0
2023-01-09 01:57:02.330264,1115,317,924,1857,1043,0,0,0,3196837,2862,723714,1149,S,36674,1653,259,0,105,29,2,0,86,3561054208,70238,1,869398,70271,50768,5,0
2023-01-09 01:57:02.591142,1131,322,936,1857,1043,0,0,0,3198325,2879,726475,1170,S,36876,1653,259,0,106,29,2,0,86,3561054208,70271,1,869398,70271,50768,5,0
2023-01-09 01:57:02.850253,1140,328,944,1857,1043,0,0,0,3200191,2901,731896,1197,S,36877,1653,259,0,108,29,2,0,86,3561054208,70271,1,869657,70271,50768,5,0
2023-01-09 01:57:03.105806,1175,331,951,1857,1043,0,0,0,3203536,2942,738732,1239,S,37050,1653,259,0,119,29,2,0,87,3562536960,70332,1,869760,70290,50768,5,0
2023-01-09 01:57:03.366157,1187,335,955,1857,1043,0,0,0,3204759,2957,740982,1254,S,37056,1653,259,0,120,29,2,0,87,3562536960,70290,1,869760,70290,50768,5,0
2023-01-09 01:57:03.626424,1206,341,966,1857,1046,0,0,0,3207603,2992,746022,1288,S,37057,1653,259,0,121,29,2,0,87,3562536960,70290,1,869760,70292,50768,5,0
2023-01-09 01:57:03.886614,1231,347,974,1857,1046,0,0,0,3209649,3016,750683,1318,S,37095,1653,259,0,123,29,2,0,87,3562536960,70292,1,869765,68487,50777,5,0
2023-01-09 01:57:04.152389,1239,351,981,1857,1050,0,0,0,3212866,3055,757178,1356,S,37115,1653,261,0,128,29,2,0,87,3562557440,68487,1,869765,68516,50777,5,0
2023-01-09 01:57:04.422177,1248,352,983,1857,1050,0,0,0,3214657,3076,761058,1374,S,37161,1653,261,0,134,32,2,0,87,3562557440,68516,1,869765,68516,50777,5,0
2023-01-09 01:57:04.672366,1256,352,984,1857,1050,0,0,0,3216183,3094,763801,1394,S,37162,1653,261,0,134,32,2,0,87,3562557440,68516,1,869765,68516,50777,5,0
2023-01-09 01:57:04.921868,1263,353,987,1857,1051,0,0,0,3218361,3120,768239,1421,S,37162,1653,261,0,135,32,2,0,87,3562557440,68516,1,869765,68516,50777,5,0
2023-01-09 01:57:05.179234,1271,356,989,1862,1051,0,0,0,3220935,3152,772947,1451,S,37162,1653,261,0,135,32,2,0,87,3562557440,68516,1,869765,68516,50777,5,0
2023-01-09 01:57:05.454983,1276,357,991,1893,1053,0,0,0,3223623,3185,778081,1486,S,37178,1653,261,0,136,33,2,0,87,3562557440,68516,1,869765,68516,50777,5,0
2023-01-09 01:57:05.720564,1279,357,993,1928,1055,0,0,0,3226311,3218,783215,1521,S,37178,1653,261,0,137,33,2,0,87,3562557440,68516,0,869765,68516,50777,5,0
2023-01-09 01:57:05.991149,1283,358,995,1968,1056,0,0,0,3229131,3253,788218,1554,S,37181,1653,261,0,140,33,2,0,87,3562557440,68516,0,869765,68503,50788,5,0
2023-01-09 01:57:06.260842,1295,358,998,1981,1056,0,0,0,3231531,3282,793125,1587,S,37211,1653,261,0,152,34,2,0,87,3562557440,68503,1,869765,68503,50788,5,0
2023-01-09 01:57:06.507547,1303,358,1000,1999,1056,0,0,0,3234181,3314,798105,1620,R,37218,1653,261,0,153,34,2,0,87,3562557440,68503,0,869765,68503,50788,5,0
2023-01-09 01:57:06.778252,1312,358,1003,2006,1056,0,0,0,3236199,3338,803984,1652,S,37220,1653,261,0,153,34,2,0,87,3562557440,68503,1,869765,68503,50788,5,0
2023-01-09 01:57:07.028889,1319,362,1006,2016,1057,0,0,0,3238849,3370,809989,1684,S,37280,1653,261,0,155,35,2,0,87,3562569728,68484,1,869765,68503,50778,5,0
2023-01-09 01:57:07.280684,1327,362,1008,2016,1058,0,0,0,3241906,3407,815652,1723,S,37281,1653,261,0,155,35,2,0,87,3562557440,68503,1,869765,68496,50771,5,0
2023-01-09 01:57:07.559699,1334,362,1011,2017,1058,0,0,0,3242495,3414,817153,1731,S,37281,1653,261,0,155,35,2,0,87,3562557440,68500,1,869765,68496,50771,5,0
2023-01-09 01:57:07.799929,1345,363,1015,2025,1058,0,0,0,3245439,3450,822506,1769,S,37293,1653,261,0,155,35,2,0,87,3562557440,68496,1,869765,68496,50771,5,0
2023-01-09 01:57:08.080541,1355,364,1017,2031,1058,0,0,0,3247975,3481,827258,1800,S,37335,1653,261,0,158,37,2,0,87,3562557440,68521,0,869765,68521,50771,5,0
2023-01-09 01:57:08.331398,1370,364,1019,2032,1058,0,0,0,3250413,3511,832347,1835,S,37335,1653,261,0,158,37,2,0,87,3562557440,68521,0,869765,68272,50771,5,0
2023-01-09 01:57:08.598238,1372,364,1021,2048,1060,0,0,0,3252903,3541,837370,1869,S,37654,1653,261,0,159,37,2,0,87,3562557440,68324,0,869217,68351,50818,5,0
2023-01-09 01:57:08.841947,1377,365,1023,2081,1061,0,0,0,3255699,3576,842369,1903,S,37657,1653,262,0,161,37,2,0,82,3556945920,68433,0,868395,68481,50946,5,0
2023-01-09 01:57:09.096802,1387,365,1025,2091,1061,0,0,0,3258453,3610,847434,1938,S,37824,1653,262,0,172,38,2,0,74,3547967488,68717,0,866203,68717,51137,5,0
2023-01-09 01:57:09.357294,1393,367,1028,2095,1065,0,0,0,3260877,3639,852613,1974,S,37837,1653,262,0,172,39,2,0,74,3547967488,68717,0,866203,68717,51137,5,0
2023-01-09 01:57:09.622852,1398,370,1031,2112,1067,0,0,0,3263499,3671,857552,2006,S,37864,1653,262,0,174,39,2,0,74,3547967488,68717,1,866203,68717,51137,5,0
2023-01-09 01:57:09.883246,1400,370,1032,2152,1067,0,0,0,3266451,3708,862491,2038,S,37864,1653,262,0,174,40,2,0,74,3547967488,68717,0,866203,68719,51137,5,0
2023-01-09 01:57:10.154000,1417,370,1037,2178,1068,0,0,0,3269247,3743,867518,2072,S,39732,1653,265,0,181,41,2,0,74,3549036544,70045,0,866602,70381,51504,5,0
2023-01-09 01:57:10.413924,1443,371,1040,2179,1068,0,0,0,3271425,3769,872295,2103,S,40008,1653,265,0,189,41,2,0,74,3549061120,70257,0,866211,70036,51160,5,0
