#com.randomayush
#./workspace/com.randomayush_0/com.randomayush.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 05:07:55.135164,941,303,888,1611,1223,0,0,0,832880,1003,673042,842,S,12479,0,4,0,33,6,0,0,16,3329392640,36731,1,812840,36731,24046,5,0
2023-01-09 05:07:55.407328,948,305,891,1611,1223,0,0,0,834898,1027,677582,870,S,12479,0,4,0,33,6,0,0,16,3329392640,36731,1,812840,36731,24046,5,0
2023-01-09 05:07:55.652023,955,306,896,1629,1225,0,0,0,837856,1063,684392,909,S,13352,0,5,0,35,6,0,0,16,3329392640,36678,1,813257,37140,24539,5,0
2023-01-09 05:07:55.922717,961,308,898,1659,1225,0,0,0,840478,1095,689851,948,S,13789,0,5,0,38,6,0,0,16,3331104768,37137,0,814287,38694,25981,5,0
2023-01-09 05:07:56.183292,988,309,905,1665,1227,0,0,0,842878,1124,694727,980,S,17009,0,5,0,49,7,0,0,16,3347902464,40982,1,818805,42434,27362,5,0
2023-01-09 05:07:56.439587,1014,310,911,1668,1227,0,0,0,845164,1152,699154,1007,S,18537,0,5,0,56,7,0,0,17,3349843968,41248,1,818554,41907,26835,5,0
2023-01-09 05:07:56.700066,1035,312,918,1668,1227,0,0,0,847408,1179,703827,1037,S,19263,0,5,0,57,8,0,0,17,3352797184,41907,1,816439,41382,25884,5,0
2023-01-09 05:07:56.960854,1057,318,923,1668,1227,0,0,0,849680,1206,708477,1067,S,21233,0,6,0,68,8,0,0,17,3345846272,41789,1,817688,43043,27257,5,0
2023-01-09 05:07:57.203621,1083,320,929,1669,1227,0,0,0,851924,1233,713151,1097,S,22485,0,6,0,70,8,0,0,17,3349250048,43043,1,817688,43043,27257,5,0
2023-01-09 05:07:57.474694,1109,323,932,1669,1227,0,0,0,854008,1258,717760,1126,S,22504,0,6,0,70,8,0,0,17,3349250048,43043,1,817848,41454,27365,5,0
2023-01-09 05:07:57.746202,1128,329,938,1674,1227,0,0,0,856606,1290,722573,1157,S,22700,0,6,0,71,8,0,0,17,3349905408,41454,1,817848,41454,27365,5,0
2023-01-09 05:07:58.001118,1146,330,942,1693,1227,0,0,0,859228,1322,727612,1191,S,22700,0,6,0,71,9,0,0,17,3349905408,41454,1,817848,41454,27365,5,0
2023-01-09 05:07:58.261590,1152,331,944,1728,1227,0,0,0,861916,1355,732539,1223,S,23076,0,7,0,73,9,0,0,17,3349905408,41738,1,817851,42228,27365,5,0
2023-01-09 05:07:58.521942,1168,332,947,1752,1228,0,0,0,864868,1392,737467,1255,S,23705,0,7,0,83,9,0,0,17,3349917696,42228,1,817851,42228,27365,5,0
2023-01-09 05:07:58.782349,1173,333,949,1796,1228,0,0,0,867820,1429,742660,1291,S,23769,0,7,0,84,10,0,0,17,3349917696,42245,1,817851,42245,27381,5,0
2023-01-09 05:07:59.037746,1179,334,951,1833,1228,0,0,0,870220,1458,747607,1324,S,23817,0,7,0,86,10,0,0,17,3350048768,42394,1,817883,42394,27481,5,0
2023-01-09 05:07:59.303239,1186,334,954,1871,1232,0,0,0,873148,1495,752530,1357,S,23874,0,7,0,88,10,0,0,17,3350048768,42394,0,817883,42001,27481,5,0
2023-01-09 05:07:59.572191,1193,335,957,1911,1232,0,0,0,876010,1531,757345,1388,S,23893,0,7,0,89,10,0,0,17,3350048768,42001,1,817883,42001,27481,5,0
2023-01-09 05:07:59.827617,1199,335,959,1947,1232,0,0,0,878764,1565,762406,1422,S,23893,0,7,0,90,10,0,0,17,3350048768,42001,1,817883,42001,27481,5,0
2023-01-09 05:08:00.088120,1204,337,962,1987,1233,0,0,0,881320,1596,767486,1457,S,23896,0,7,0,91,10,0,0,17,3350048768,42001,0,817883,42067,27481,5,0
2023-01-09 05:08:00.343319,1211,337,965,2021,1236,0,0,0,883894,1628,772254,1488,S,23915,0,7,0,93,10,0,0,17,3350048768,41672,1,817883,41672,27481,5,0
2023-01-09 05:08:00.613960,1219,338,967,2062,1236,0,0,0,886780,1664,777581,1526,S,23915,0,7,0,93,10,0,0,17,3350048768,41672,1,817883,41672,27481,5,0
2023-01-09 05:08:00.869368,1223,338,969,2105,1236,0,0,0,889156,1693,782326,1557,S,23935,0,7,0,95,10,0,0,17,3350048768,41672,1,817883,41672,27481,5,0
