#com.rb.onlinemoviefair
#./workspace/com.rb.onlinemoviefair_0/com.rb.onlinemoviefair.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:34:49.280740,738,270,843,1854,1120,0,0,0,331221,653,664406,762,S,2782,0,1,0,1,1,0,0,13,3287232512,24049,0,802547,24049,19430,5,0
2023-01-09 04:34:49.556729,753,271,846,1858,1121,0,0,0,334135,689,670455,795,S,2782,0,1,0,1,1,0,0,13,3287232512,24049,0,802547,24049,19430,5,0
2023-01-09 04:34:49.826343,759,271,848,1861,1121,0,0,0,336441,717,675395,828,S,2789,0,2,0,1,1,0,0,13,3287232512,24049,0,804501,26138,21213,5,0
2023-01-09 04:34:50.077424,768,273,852,1870,1122,0,0,0,339469,754,680755,864,S,4592,0,2,0,2,2,0,0,13,3295236096,26336,0,804501,26336,21411,5,0
2023-01-09 04:34:50.331900,777,274,855,1870,1122,0,0,0,341751,782,685317,892,S,4592,0,2,0,2,2,0,0,13,3295236096,26336,0,803780,25627,20692,5,0
2023-01-09 04:34:50.596569,781,275,858,1870,1122,0,0,0,343863,807,689855,920,S,4595,0,2,0,2,2,0,0,13,3292282880,25627,0,803780,25627,20692,5,0
2023-01-09 04:34:50.872187,791,278,861,1879,1122,0,0,0,346437,839,694459,949,S,4603,0,2,0,3,2,0,0,13,3292282880,25627,0,-1,-1,-1,-1,-1
2023-01-09 04:34:51.125380,805,279,867,1896,1124,0,0,0,350621,890,701895,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 04:34:51.390651,843,279,872,1896,1124,0,0,0,351612,902,704979,1013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 04:34:51.648714,858,282,875,1897,1124,0,0,0,354849,941,709182,1052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 04:34:51.895581,878,282,879,1909,1124,0,0,0,358419,984,717552,1101,S,26916,0,71,0,121,12,0,0,25,3480965120,54738,0,850364,54936,38740,5,0
2023-01-09 04:34:52.166141,900,282,883,1927,1124,0,0,0,364317,1058,733077,1179,S,28304,0,71,0,143,12,0,0,25,3486273536,56151,0,851145,56151,39526,5,0
2023-01-09 04:34:52.429820,924,282,887,1937,1124,0,0,0,366651,1086,738026,1212,S,28333,0,71,0,151,12,0,0,25,3486289920,56151,0,851145,56274,39551,5,0
2023-01-09 04:34:52.675374,948,283,890,1947,1124,0,0,0,368985,1114,742927,1245,S,28491,0,71,0,158,12,0,0,25,3486298112,56338,1,851155,56404,39593,5,0
2023-01-09 04:34:52.961208,982,283,894,1962,1124,0,0,0,371743,1148,747606,1275,S,29052,0,71,0,180,13,0,0,25,3488468992,56940,1,851679,56940,39609,5,0
2023-01-09 04:34:53.221847,1008,283,897,1967,1124,0,0,0,374479,1181,753969,1310,R,29064,0,71,0,198,13,0,0,25,3488477184,56940,1,851679,56940,39609,5,0
2023-01-09 04:34:53.464229,1040,284,901,1969,1125,0,0,0,376095,1200,756864,1332,S,29064,0,71,0,205,14,0,0,25,3488477184,56940,0,851679,56434,39625,5,0
2023-01-09 04:34:53.739126,1065,284,905,1974,1125,0,0,0,378405,1228,761322,1359,S,29097,0,71,0,208,15,0,0,25,3488481280,56434,1,851680,55744,39625,5,0
2023-01-09 04:34:53.999641,1097,285,910,1981,1125,0,0,0,380847,1258,766158,1391,S,29101,0,71,0,217,15,0,0,25,3488481280,55744,0,851680,55744,39625,5,0
2023-01-09 04:34:54.270167,1122,285,912,1986,1125,0,0,0,383067,1285,770724,1420,S,29127,0,71,0,224,16,0,0,25,3488481280,55744,0,851680,55730,39625,5,0
2023-01-09 04:34:54.523493,1150,285,915,1993,1125,0,0,0,385447,1314,775042,1446,S,29161,0,71,0,229,16,0,0,25,3488481280,55730,0,849372,53384,37321,5,0
2023-01-09 04:34:54.786634,1188,285,921,1994,1125,0,0,0,388556,1352,781280,1480,S,29170,0,71,0,230,17,0,0,25,3479027712,53384,1,849372,53384,37321,5,0
2023-01-09 04:34:55.057664,1221,286,926,1995,1125,0,0,0,390611,1377,785629,1505,S,29170,0,71,0,230,17,0,0,25,3479027712,53384,1,849372,53384,37321,5,0
