#com.rovgo.android.kickstarterwidget
#./workspace/com.rovgo.android.kickstarterwidget_0/com.rovgo.android.kickstarterwidget.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:24:27.340693,966,320,870,1852,1058,0,0,0,476208,942,638836,942,S,11701,0,2,0,31,3,0,0,14,3326640128,36381,0,812168,36381,25022,5,0
2023-01-09 04:24:27.606626,974,322,873,1852,1058,0,0,0,478892,975,646475,983,S,11701,0,2,0,31,3,0,0,14,3326640128,36381,0,812168,36381,25022,5,0
2023-01-09 04:24:27.864928,981,326,877,1854,1059,0,0,0,481958,1013,652527,1025,S,11751,0,4,0,33,4,0,0,14,3326640128,36685,0,812392,37522,26085,5,0
2023-01-09 04:24:28.112256,987,329,879,1856,1059,0,0,0,484424,1043,657477,1057,S,11990,0,4,0,39,5,0,0,14,3327557632,37522,0,812392,37522,26085,5,0
2023-01-09 04:24:28.375150,997,330,883,1864,1059,0,0,0,487022,1075,662174,1087,S,11991,0,4,0,43,5,0,0,14,3327557632,37522,1,812392,37522,26085,5,0
2023-01-09 04:24:28.640387,1003,330,885,1899,1059,0,0,0,489974,1112,668527,1126,S,12017,0,4,0,46,5,0,0,14,3327557632,37522,1,812393,37522,26085,5,0
2023-01-09 04:24:28.885533,1007,330,888,1935,1060,0,0,0,492596,1144,673627,1161,S,12028,0,5,0,47,5,0,0,14,3327561728,37522,1,812393,37522,26085,5,0
2023-01-09 04:24:29.161251,1025,333,892,1961,1060,0,0,0,495218,1176,678903,1199,S,12029,0,5,0,59,6,0,0,14,3327561728,37522,1,812393,37868,26397,5,0
2023-01-09 04:24:29.418985,1052,336,896,1969,1060,0,0,0,497552,1204,683825,1232,S,12074,0,6,0,72,6,0,0,14,3327561728,37869,0,812393,37869,26397,5,0
2023-01-09 04:24:29.674458,1064,337,899,1993,1060,0,0,0,500174,1236,689215,1271,S,12112,0,6,0,76,6,0,0,14,3327561728,37189,1,812393,37189,26397,5,0
2023-01-09 04:24:29.939943,1073,337,901,2030,1060,0,0,0,502862,1269,694161,1304,S,12146,0,6,0,80,6,0,0,14,3327561728,37189,1,812393,37189,26397,5,0
2023-01-09 04:24:30.195170,1080,337,903,2067,1061,0,0,0,505814,1306,698994,1336,S,12147,0,6,0,82,6,0,0,14,3327561728,37189,1,812393,37189,26397,5,0
2023-01-09 04:24:30.450572,1085,337,905,2105,1061,0,0,0,508766,1343,704253,1373,S,12170,0,6,0,84,6,0,0,14,3327561728,37189,1,812393,37189,26397,5,0
2023-01-09 04:24:30.726322,1109,337,909,2131,1061,0,0,0,511298,1374,710370,1408,S,12177,0,6,0,102,8,0,0,14,3327692800,37174,1,812425,37174,26397,5,0
2023-01-09 04:24:30.979141,1128,338,911,2141,1061,0,0,0,513837,1405,715126,1439,S,12178,0,6,0,109,8,0,0,14,3327692800,37174,1,812425,37174,26397,5,0
2023-01-09 04:24:31.234292,1138,339,915,2170,1062,0,0,0,516393,1436,720075,1472,S,12178,0,6,0,110,8,0,0,14,3327692800,37174,1,812425,37179,26396,5,0
2023-01-09 04:24:31.494569,1147,339,919,2203,1062,0,0,0,519213,1471,725222,1508,S,12180,0,6,0,115,8,0,0,14,3327692800,37179,0,812425,37179,26396,5,0
2023-01-09 04:24:31.760128,1170,340,922,2228,1062,0,0,0,522099,1507,730484,1545,S,12181,0,6,0,131,10,0,0,14,3327692800,37170,0,812425,37170,26396,5,0
2023-01-09 04:24:32.010334,1193,340,924,2233,1062,0,0,0,524457,1535,735416,1577,S,12182,0,6,0,138,11,0,0,14,3327692800,37170,0,812425,37170,26396,5,0
2023-01-09 04:24:32.275861,1198,340,927,2277,1066,0,0,0,526923,1565,740276,1609,S,12183,0,6,0,142,11,0,0,14,3327692800,37170,1,812425,37170,26396,5,0
2023-01-09 04:24:32.531072,1214,340,932,2296,1067,0,0,0,529479,1596,745268,1643,S,12189,0,6,0,143,11,0,0,14,3327692800,37170,1,812425,37170,26396,5,0
2023-01-09 04:24:32.811811,1231,350,938,2306,1067,0,0,0,531747,1623,750170,1676,S,12198,0,6,0,147,11,0,0,14,3327692800,37170,1,812425,37170,26396,5,0
2023-01-09 04:24:33.048766,1254,350,942,2315,1067,0,0,0,534147,1652,755006,1708,S,12200,0,6,0,152,12,0,0,14,3327692800,37170,1,812425,37170,26396,5,0
2023-01-09 04:24:33.322053,1277,350,945,2321,1068,0,0,0,536571,1681,760004,1741,S,12200,0,6,0,152,12,0,0,14,3327692800,37170,1,812425,37170,26396,5,0
2023-01-09 04:24:33.592372,1313,351,952,2326,1068,0,0,0,539013,1711,764684,1771,S,12203,0,6,0,158,12,0,0,14,3327692800,37228,0,812425,37228,26459,5,0
2023-01-09 04:24:33.847656,1317,351,954,2358,1068,0,0,0,541965,1748,769748,1805,S,12203,0,6,0,158,12,0,0,14,3327692800,37228,0,812425,37214,26459,5,0
2023-01-09 04:24:34.118134,1348,351,957,2372,1068,0,0,0,544407,1778,774452,1835,S,12217,0,6,0,178,14,0,0,14,3327692800,37214,1,812425,37214,26459,5,0
2023-01-09 04:24:34.358269,1363,351,961,2382,1068,0,0,0,546963,1809,779492,1869,S,12219,0,6,0,183,14,0,0,14,3327692800,37214,1,812425,37214,26459,5,0
2023-01-09 04:24:34.618653,1375,352,963,2413,1068,0,0,0,549669,1843,785428,1902,R,12330,0,6,0,188,15,0,0,14,3327692800,37263,1,812425,37274,26507,5,0
2023-01-09 04:24:34.889399,1390,352,966,2445,1068,0,0,0,552399,1877,790312,1934,S,12340,0,6,0,195,16,0,0,14,3327692800,37270,1,812425,37270,26507,5,0
2023-01-09 04:24:35.144840,1396,353,967,2482,1069,0,0,0,555261,1913,795148,1966,S,12341,0,6,0,197,16,0,0,14,3327692800,37270,0,812425,37270,26507,5,0
2023-01-09 04:24:35.410403,1405,353,969,2516,1069,0,0,0,557727,1943,800140,2000,S,12383,0,6,0,200,16,0,0,14,3327692800,37352,1,812425,37324,26602,5,0
