#com.sbk.sep
#./workspace/com.sbk.sep_0/com.sbk.sep.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:02:23.627211,710,279,818,2010,1105,0,0,0,582882,924,651824,853,S,12649,0,7,0,30,3,0,0,15,3331936256,37107,0,813461,37107,23972,5,0
2023-01-09 03:02:23.922878,717,280,823,2024,1105,0,0,0,585930,961,658733,894,S,12649,0,7,0,30,3,0,0,15,3331936256,37107,0,813461,37107,23972,5,0
2023-01-09 03:02:24.163157,725,282,826,2031,1105,0,0,0,588042,986,663245,922,S,12668,0,8,0,30,4,0,0,15,3331936256,37107,0,813461,37107,23972,5,0
2023-01-09 03:02:24.423086,730,285,829,2063,1105,0,0,0,591018,1023,668490,957,S,12670,0,8,0,30,4,0,0,15,3331936256,37108,0,813461,37108,23973,5,0
2023-01-09 03:02:24.683818,733,285,830,2105,1105,0,0,0,594168,1063,673387,989,S,12671,0,8,0,31,4,0,0,15,3331936256,37108,0,813461,37373,24190,5,0
2023-01-09 03:02:24.949047,735,285,833,2146,1108,0,0,0,597252,1102,678374,1022,S,12773,0,9,0,31,4,0,0,15,3331940352,37809,0,813462,37809,24588,5,0
2023-01-09 03:02:25.214789,742,288,835,2179,1108,0,0,0,599784,1133,683270,1055,S,12774,0,9,0,31,5,0,0,15,3331940352,37809,1,813686,38586,25357,5,0
2023-01-09 03:02:25.482280,761,291,840,2199,1110,0,0,0,602118,1161,688229,1089,S,13020,0,9,0,32,6,0,0,15,3332857856,38652,0,813686,38652,25418,5,0
2023-01-09 03:02:25.742555,778,291,845,2217,1110,0,0,0,605202,1200,693128,1121,S,13021,0,9,0,32,6,0,0,15,3332857856,38652,0,813686,38652,25418,5,0
2023-01-09 03:02:25.992846,783,291,847,2259,1112,0,0,0,607734,1231,698136,1155,S,13062,0,10,0,33,7,0,0,15,3332857856,38654,1,813986,39333,26756,5,0
2023-01-09 03:02:26.256993,797,294,852,2284,1112,0,0,0,610714,1268,703210,1190,S,16106,0,16,0,44,7,0,0,17,3341762560,41954,1,816698,42807,27981,5,0
2023-01-09 03:02:26.526884,818,302,856,2284,1112,0,0,0,612864,1294,707954,1220,S,16984,0,16,0,51,7,0,0,17,3345195008,42873,1,817113,43269,28377,5,0
2023-01-09 03:02:26.780838,842,302,860,2292,1112,0,0,0,615420,1325,712830,1252,S,17416,0,17,0,52,8,0,0,17,3346894848,43269,1,817825,43618,28614,5,0
2023-01-09 03:02:27.030334,864,303,864,2300,1113,0,0,0,617928,1356,717371,1280,S,18445,0,19,0,60,9,0,0,18,3345440768,42695,1,816617,42553,27369,5,0
2023-01-09 03:02:27.309167,893,303,868,2308,1113,0,0,0,619950,1380,722303,1313,R,18860,0,19,0,66,10,0,0,18,3344863232,42553,0,817063,42753,27494,5,0
2023-01-09 03:02:27.567617,923,303,873,2315,1113,0,0,0,622104,1406,726731,1340,S,19366,0,19,0,71,11,0,0,18,3346694144,43148,0,817894,43884,28754,5,0
2023-01-09 03:02:27.827439,944,305,878,2331,1113,0,0,0,624834,1440,732221,1376,S,20211,0,19,0,81,12,0,0,18,3350093824,43802,1,817894,43061,28754,5,0
2023-01-09 03:02:28.096517,968,305,882,2339,1113,0,0,0,627390,1471,737729,1412,S,20234,0,19,0,88,13,0,0,18,3350093824,43061,1,818022,43144,28833,5,0
2023-01-09 03:02:28.354948,977,309,888,2366,1115,0,0,0,629922,1502,743063,1446,S,20577,0,19,0,90,13,0,0,18,3350618112,43144,1,818022,43144,28833,5,0
2023-01-09 03:02:28.615584,980,309,889,2409,1115,0,0,0,632676,1536,749176,1481,S,20579,0,19,0,91,13,0,0,18,3350618112,43144,1,818022,43144,28833,5,0
2023-01-09 03:02:28.875766,987,310,892,2450,1115,0,0,0,635604,1573,754051,1513,R,20633,0,19,0,94,13,0,0,18,3350618112,43241,1,818570,43702,28947,5,0
2023-01-09 03:02:29.146580,1013,310,898,2457,1116,0,0,0,637782,1599,758618,1541,S,21181,0,19,0,97,13,0,0,20,3352862720,43702,0,818570,43702,28947,5,0
2023-01-09 03:02:29.414008,1027,319,901,2467,1116,0,0,0,640512,1633,764726,1577,S,21194,0,19,0,98,14,0,0,20,3352862720,43702,0,818570,43702,28947,5,0
2023-01-09 03:02:29.678702,1054,320,906,2474,1116,0,0,0,642822,1661,769337,1606,S,21199,0,19,0,101,14,0,0,20,3352862720,43702,1,818570,43702,28947,5,0
2023-01-09 03:02:29.943443,1081,320,911,2480,1117,0,0,0,645156,1689,774218,1638,S,21201,0,19,0,104,14,0,0,20,3352862720,43702,0,818570,43934,28994,5,0
2023-01-09 03:02:30.188365,1125,321,918,2485,1117,0,0,0,648118,1725,780683,1676,S,21660,0,19,0,109,15,0,0,20,3352862720,43934,0,818570,43934,28994,5,0
2023-01-09 03:02:30.457761,1136,321,921,2486,1117,0,0,0,649422,1740,783304,1695,S,21660,0,19,0,110,15,0,0,20,3352862720,43934,0,818570,43934,28994,5,0
2023-01-09 03:02:30.713093,1149,321,924,2502,1117,0,0,0,652044,1772,788342,1729,S,21661,0,19,0,110,15,0,0,20,3352862720,43934,0,818570,43934,28994,5,0
2023-01-09 03:02:30.983744,1153,321,927,2543,1117,0,0,0,654666,1804,793338,1762,R,21662,0,19,0,112,15,0,0,20,3352862720,43934,1,818570,43934,28994,5,0
2023-01-09 03:02:31.239014,1159,321,929,2585,1119,0,0,0,657486,1839,798262,1795,S,21664,0,19,0,115,15,0,0,20,3352862720,43934,1,818570,43982,29042,5,0
2023-01-09 03:02:31.491398,1166,322,931,2621,1119,0,0,0,660504,1877,804403,1830,S,21773,0,19,0,116,15,0,0,20,3352862720,43982,0,818570,43982,29042,5,0
2023-01-09 03:02:31.761892,1172,322,933,2667,1119,0,0,0,663258,1911,809639,1867,S,21875,0,19,0,118,15,0,0,20,3352862720,43999,0,818570,43999,29058,5,0
2023-01-09 03:02:32.022517,1179,322,936,2702,1119,0,0,0,666276,1949,814833,1903,S,21875,0,19,0,121,15,0,0,20,3352862720,44007,1,818570,44008,29074,5,0
