#com.shoutcast.stm.radiozonaliberada
#./workspace/com.shoutcast.stm.radiozonaliberada_0/com.shoutcast.stm.radiozonaliberada.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:39:35.616325,885,323,910,1920,1095,0,0,0,1537473,1470,640482,779,S,10551,0,177,0,37,10,0,0,15,1157431296,33951,1,282640,34277,23671,5,0
2023-01-09 03:39:35.880598,895,323,912,1920,1095,0,0,0,1539093,1489,644078,798,S,10696,0,182,0,64,13,0,0,15,1157693440,34277,1,282640,34086,23671,5,0
2023-01-09 03:39:36.151035,903,324,913,1920,1095,0,0,0,1541645,1520,649217,830,S,10696,0,182,0,85,14,0,0,15,1157693440,34086,1,282640,34086,23671,5,0
2023-01-09 03:39:36.401191,919,325,915,1920,1095,0,0,0,1542234,1527,650694,838,S,10696,0,182,0,93,14,0,0,15,1157693440,34086,1,282640,34086,23671,5,0
2023-01-09 03:39:36.680782,928,326,920,1924,1095,0,0,0,1545226,1563,657591,880,S,10702,0,182,0,93,14,0,0,15,1157693440,34086,1,282640,34086,23671,5,0
2023-01-09 03:39:36.941189,930,329,922,1954,1096,0,0,0,1547716,1593,662891,916,S,10721,0,184,0,93,14,0,0,15,1157693440,34086,0,282640,34086,23671,5,0
2023-01-09 03:39:37.186720,933,329,923,1995,1097,0,0,0,1550536,1628,667904,950,S,10722,0,185,0,93,14,0,0,15,1157693440,34086,0,282640,34086,23671,5,0
2023-01-09 03:39:37.450435,936,331,925,2034,1097,0,0,0,1553398,1664,672935,984,S,10741,0,185,0,93,14,0,0,15,1157693440,34363,0,282640,34363,23910,5,0
2023-01-09 03:39:37.703647,940,331,928,2068,1099,0,0,0,1555996,1696,677774,1015,S,10827,0,189,0,94,14,0,0,15,1157697536,34692,0,282641,34692,24204,5,0
2023-01-09 03:39:37.963837,948,334,933,2098,1099,0,0,0,1558750,1730,683556,1055,S,10828,0,189,0,94,14,0,0,15,1157697536,34692,0,282641,34692,24204,5,0
2023-01-09 03:39:38.229318,965,335,938,2126,1099,0,0,0,1561150,1759,689183,1093,S,10849,0,189,0,94,15,0,0,15,1157697536,34692,1,282641,34692,24204,5,0
2023-01-09 03:39:38.500156,988,335,941,2138,1099,0,0,0,1563772,1791,694786,1130,S,10877,0,189,0,94,16,0,0,15,1157697536,34725,0,282641,34726,24236,5,0
2023-01-09 03:39:38.765528,997,336,944,2176,1099,0,0,0,1566460,1824,701325,1171,S,10920,0,189,0,94,16,0,0,15,1157697536,34726,1,282641,34726,24236,5,0
2023-01-09 03:39:39.010935,1010,336,947,2197,1099,0,0,0,1569256,1859,706079,1201,S,10920,0,189,0,94,16,0,0,15,1157697536,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:39.271079,1012,336,949,2244,1099,0,0,0,1572208,1896,711013,1233,S,10931,0,190,0,94,16,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:39.541812,1015,336,951,2295,1099,0,0,0,1575292,1935,715947,1265,S,10933,0,190,0,94,16,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:39.802271,1019,337,953,2336,1099,0,0,0,1578178,1971,722314,1303,S,10935,0,190,0,94,16,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:40.062755,1023,338,954,2379,1099,0,0,0,1580866,2004,727446,1338,S,10935,0,190,0,94,16,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:40.328129,1027,338,957,2426,1099,0,0,0,1583422,2035,732662,1375,S,10935,0,190,0,94,17,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:40.583556,1032,338,959,2469,1099,0,0,0,1586374,2072,737794,1410,S,10937,0,190,0,95,17,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:40.843991,1033,338,961,2508,1104,0,0,0,1589326,2109,742926,1445,S,10938,0,190,0,95,17,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:41.099476,1036,338,963,2553,1105,0,0,0,1591924,2141,747680,1475,S,10938,0,190,0,95,17,0,0,15,1157828608,34726,1,282673,34726,24236,5,0
2023-01-09 03:39:41.380054,1042,346,966,2584,1107,0,0,0,1594786,2177,752542,1507,S,10943,0,192,0,95,17,0,0,15,1157828608,34850,1,282673,34850,24347,5,0
2023-01-09 03:39:41.638135,1053,347,969,2593,1107,0,0,0,1597474,2210,758771,1544,S,10943,0,192,0,95,17,0,0,15,1157828608,34850,1,282673,34850,24347,5,0
2023-01-09 03:39:41.899147,1068,347,973,2604,1107,0,0,0,1600138,2243,763723,1577,S,10945,0,192,0,95,17,0,0,15,1157828608,34850,1,282673,34850,24347,5,0
2023-01-09 03:39:42.158567,1087,348,979,2608,1107,0,0,0,1602424,2271,768159,1604,S,10954,0,192,0,95,18,0,0,15,1157828608,34850,1,282673,34850,24347,5,0
2023-01-09 03:39:42.429238,1103,348,982,2624,1107,0,0,0,1604890,2301,773087,1637,S,10954,0,192,0,95,18,0,0,15,1157828608,34850,0,282673,34850,24347,5,0
