#com.taksimbilisim.radyo2000
#./workspace/com.taksimbilisim.radyo2000_0/com.taksimbilisim.radyo2000.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-07 20:22:19.792217,945,296,891,2492,1239,0,0,0,375911,699,620298,757,D,122785,0,294,0,190,47,0,0,45,3637452800,87468,0,884583,74522,41354,5,0
2023-01-07 20:22:19.516455,924,293,886,2492,1239,0,0,0,376157,702,621643,763,R,122698,0,294,0,189,47,0,0,45,3637448704,87562,0,884583,74522,41354,5,0
2023-01-07 20:22:20.047776,953,297,895,2492,1239,0,0,0,379990,748,629821,817,S,125615,0,294,0,195,49,0,0,45,3623251968,74522,0,884589,76040,42677,5,0
2023-01-07 20:22:20.307958,963,298,898,2492,1239,0,0,0,381421,765,632511,837,S,127310,0,294,0,197,50,0,0,45,3623276544,75844,0,884589,76040,42677,5,0
2023-01-07 20:22:20.568114,974,300,903,2492,1239,0,0,0,384970,808,641821,883,S,127661,0,295,0,202,50,0,0,45,3623284736,76040,1,884591,70269,42678,5,0
2023-01-07 20:22:20.846254,978,301,904,2492,1239,0,0,0,387980,844,649898,924,S,127739,0,295,0,204,52,0,0,45,3623284736,70307,1,884591,70215,42677,5,0
2023-01-07 20:22:21.370501,992,302,908,2492,1239,0,0,0,390815,877,654614,954,R,127860,0,295,0,205,53,0,0,45,3623284736,70373,1,885034,70156,42677,5,0
2023-01-07 20:22:21.099663,989,301,906,2492,1239,0,0,0,390815,877,654704,955,S,127739,0,295,0,204,52,0,0,45,3623284736,70307,1,885034,70486,42677,5,0
2023-01-07 20:22:21.635919,1005,304,911,2492,1239,0,0,0,393207,905,659673,977,R,128412,0,295,0,207,53,0,0,45,3623284736,70150,0,885034,70551,42677,5,0
2023-01-07 20:22:21.906680,1010,304,914,2492,1239,0,0,0,395291,930,665411,1006,D,129639,0,295,0,210,53,0,0,45,3625099264,70486,0,885034,71326,42735,5,0
2023-01-07 20:22:22.170940,1014,305,915,2492,1239,0,0,0,397079,951,669313,1026,R,130603,0,300,0,215,54,0,0,45,3625099264,71075,0,885169,71846,42758,5,0
2023-01-07 20:22:22.422522,1020,306,916,2492,1239,0,0,0,399134,976,672344,1048,D,131920,0,302,0,218,55,0,0,45,3625656320,71736,0,885169,72144,42776,5,0
2023-01-07 20:22:22.684945,1031,308,919,2492,1239,0,0,0,401591,1005,678276,1079,R,133105,0,302,0,221,56,0,0,45,3625652224,72144,0,885169,73037,42776,5,0
2023-01-07 20:22:22.942490,1035,309,920,2492,1239,0,0,0,403282,1026,681258,1102,R,134302,0,302,0,226,58,0,0,45,3625652224,72905,0,885175,74401,42781,5,0
2023-01-07 20:22:23.201691,1041,311,923,2492,1239,0,0,0,406286,1063,687593,1137,D,136364,0,303,0,231,59,0,0,45,3625680896,73219,0,884155,71742,42794,5,0
2023-01-07 20:22:23.472146,1050,313,925,2492,1239,0,0,0,408152,1085,690449,1158,D,138380,0,304,0,236,61,0,0,45,3621498880,71742,1,884283,72187,42792,5,0
2023-01-07 20:22:23.733066,1064,315,927,2492,1239,0,0,0,411081,1120,699270,1198,R,139532,0,304,0,242,62,0,0,45,3622023168,71970,1,884289,71878,42798,5,0
2023-01-07 20:22:23.992174,1066,316,928,2493,1239,0,0,0,413692,1151,704469,1232,R,139953,0,304,0,244,63,0,0,45,3622047744,71942,1,884289,71328,42805,5,0
2023-01-07 20:22:24.266299,1091,316,931,2493,1239,0,0,0,414094,1156,705970,1240,R,139953,0,304,0,244,63,0,0,45,3622047744,71942,1,884289,71328,42805,5,0
2023-01-07 20:22:24.532039,1099,317,934,2493,1239,0,0,0,416396,1183,710587,1268,S,141342,0,305,0,246,64,0,0,45,3622047744,71392,0,884289,71233,42805,5,0
2023-01-07 20:22:24.795569,1107,320,937,2493,1239,0,0,0,417856,1200,713368,1289,S,142148,0,305,0,247,64,0,0,45,3622047744,71233,0,884289,71233,42805,5,0
2023-01-07 20:22:25.052929,1115,322,941,2493,1239,0,0,0,420520,1233,718229,1321,S,142148,0,305,0,247,64,0,0,45,3622047744,71233,0,884289,71233,42805,5,0
2023-01-07 20:22:25.312286,1122,322,942,2507,1239,0,0,0,423160,1266,722868,1350,S,142148,0,305,0,247,64,0,0,45,3622047744,71233,0,884289,71233,42805,5,0
2023-01-07 20:22:25.572494,1132,323,945,2527,1240,0,0,0,425692,1297,727819,1383,S,142149,0,305,0,248,64,0,0,45,3622047744,71233,1,884289,71233,42805,5,0
2023-01-07 20:22:25.835893,1139,323,947,2536,1240,0,0,0,428002,1325,732566,1414,S,142149,0,305,0,248,64,0,0,45,3622047744,71233,1,884289,71233,42805,5,0
