#com.tscislo.AreaMeter
#./workspace/com.tscislo.AreaMeter_0/com.tscislo.AreaMeter.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 01:07:18.006479,737,315,859,1586,1418,0,0,0,1006786,1148,661247,809,S,8058,0,191,0,9,6,0,0,36,3340230656,39033,1,815486,39033,31917,5,0
2023-01-09 01:07:18.272141,742,320,864,1586,1427,0,0,0,1009498,1181,668215,848,D,11080,1513,196,11,13,8,1,1,41,3352727552,41209,1,825015,49620,36865,5,0
2023-01-09 01:07:18.538817,751,322,869,1587,1427,0,0,0,1012190,1214,674868,887,S,17258,1513,207,11,22,12,1,1,43,3380580352,49912,1,826950,50573,37074,5,0
2023-01-09 01:07:18.816255,757,324,873,1588,1428,0,0,0,1014250,1239,679453,914,S,18269,1513,208,11,23,14,1,1,47,3403812864,50797,1,826950,50573,37074,5,0
2023-01-09 01:07:19.078221,763,325,880,1588,1428,0,0,0,1016764,1269,684452,946,S,18509,1513,209,11,24,15,1,1,47,3387187200,50575,1,827466,51432,37501,5,0
2023-01-09 01:07:19.314149,774,326,886,1589,1430,0,0,0,1019948,1308,691024,985,R,24066,1513,230,11,41,20,1,1,49,3416539136,55627,0,834122,55902,38191,5,0
2023-01-09 01:07:19.565687,781,326,888,1592,1430,0,0,0,1021606,1328,693767,1005,S,24496,1513,230,11,47,20,1,1,49,3416555520,55902,1,834126,55902,38191,5,0
2023-01-09 01:07:19.830997,792,327,891,1601,1430,0,0,0,1024180,1360,699724,1039,S,24693,1513,230,11,65,22,1,1,49,3416629248,55983,0,834152,55999,38241,5,0
2023-01-09 01:07:20.108125,803,327,893,1622,1430,0,0,0,1026886,1394,704447,1070,S,27286,1513,232,11,92,22,1,1,49,3429330944,58264,0,837251,58546,38441,5,0
2023-01-09 01:07:20.360536,817,327,895,1641,1430,0,0,0,1029526,1427,709130,1100,S,27573,1513,233,11,115,24,1,1,49,3429437440,58546,0,837285,58546,38441,5,0
2023-01-09 01:07:20.612785,822,327,897,1659,1430,0,0,0,1032190,1460,713820,1129,S,27646,1513,233,11,135,26,1,1,49,3429535744,58612,0,837810,58810,38441,5,0
2023-01-09 01:07:20.877870,827,327,898,1682,1430,0,0,0,1035274,1499,718864,1163,S,27878,1513,233,11,157,30,1,1,49,3431743488,58810,0,837840,58251,38469,5,0
2023-01-09 01:07:21.128290,835,327,901,1698,1430,0,0,0,1037650,1528,723611,1194,R,28449,1513,233,11,182,35,1,1,49,3432333312,58285,1,837972,58370,38525,5,0
2023-01-09 01:07:21.388193,846,328,903,1705,1430,0,0,0,1039852,1554,728385,1225,S,28727,1513,233,11,191,35,1,1,49,3432333312,58370,1,837972,58370,38525,5,0
2023-01-09 01:07:21.658905,856,328,907,1725,1430,0,0,0,1042606,1588,734754,1263,S,28863,1513,233,11,200,38,1,1,49,3432333312,58505,1,837972,58349,38644,5,0
2023-01-09 01:07:21.924384,866,328,910,1745,1431,0,0,0,1044892,1616,739282,1291,S,28936,1513,233,11,208,39,1,1,49,3432333312,58169,0,837972,58073,38677,5,0
2023-01-09 01:07:22.184946,879,329,913,1768,1431,0,0,0,1047514,1648,744368,1326,S,29166,1513,234,11,217,41,1,1,49,3432333312,58049,0,837972,58048,38677,5,0
2023-01-09 01:07:22.454612,890,329,917,1789,1432,0,0,0,1050154,1681,749073,1356,R,29230,1513,234,11,226,41,1,1,49,3432333312,58017,1,837972,57999,38683,5,0
2023-01-09 01:07:22.702528,898,329,920,1807,1433,0,0,0,1052752,1713,753958,1388,R,29322,1513,234,11,236,41,1,1,49,3432333312,58020,0,837972,57974,38725,5,0
2023-01-09 01:07:22.970314,909,330,924,1826,1433,0,0,0,1055704,1750,759158,1424,S,29369,1513,234,11,244,43,1,1,49,3432333312,57952,1,837972,57946,38725,5,0
2023-01-09 01:07:23.236638,920,331,929,1839,1434,0,0,0,1058302,1782,763980,1455,S,29479,1513,235,11,254,47,1,1,50,3433455616,57947,1,838246,57946,38725,5,0
2023-01-09 01:07:23.486311,933,331,932,1853,1434,0,0,0,1060414,1807,768622,1484,S,29561,1513,235,11,264,50,1,1,50,3433455616,57919,0,838246,57898,38725,5,0
