#com.vandykefoundation.thesummergrilloff
#./workspace/com.vandykefoundation.thesummergrilloff_0/com.vandykefoundation.thesummergrilloff.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 05:52:08.284913,932,300,873,1687,1139,0,0,0,893764,1027,631696,728,S,12000,0,5,0,42,6,0,0,15,3327991808,38055,0,812498,38055,26030,5,0
2023-01-09 05:52:08.555678,937,302,876,1711,1141,0,0,0,897316,1072,638512,766,S,12737,0,6,0,42,6,0,0,15,3330949120,38911,1,813220,38911,26830,5,0
2023-01-09 05:52:08.816010,941,303,878,1748,1141,0,0,0,900268,1109,643575,799,S,12737,0,6,0,42,6,0,0,15,3330949120,38911,1,813220,38911,26830,5,0
2023-01-09 05:52:09.083556,943,303,879,1790,1141,0,0,0,903088,1144,648587,833,S,12737,0,6,0,43,6,0,0,15,3330949120,38946,1,813220,38946,26883,5,0
2023-01-09 05:52:09.354348,955,304,883,1804,1141,0,0,0,905860,1179,653193,862,S,12903,0,9,0,46,7,0,0,15,3330949120,39294,1,813220,39294,27223,5,0
2023-01-09 05:52:09.605033,984,304,886,1811,1142,0,0,0,908284,1208,658045,894,S,12904,0,9,0,46,7,0,0,15,3330949120,39294,1,813220,39294,27223,5,0
2023-01-09 05:52:09.869164,1002,310,890,1819,1142,0,0,0,910750,1238,662808,925,S,13183,0,9,0,48,7,0,0,15,3331923968,39591,0,813444,39627,28133,5,0
2023-01-09 05:52:10.140089,1040,311,894,1828,1142,0,0,0,914222,1281,669766,968,S,13221,0,9,0,54,7,0,0,15,3331866624,39627,0,813444,39627,28133,5,0
2023-01-09 05:52:10.400010,1053,311,896,1832,1143,0,0,0,915904,1301,672855,993,S,13224,0,9,0,56,7,0,0,15,3331866624,39627,1,813444,39627,28133,5,0
2023-01-09 05:52:10.645314,1064,312,899,1859,1144,0,0,0,918724,1336,677780,1025,S,13289,0,9,0,59,7,0,0,15,3331866624,39644,0,813444,39644,28149,5,0
2023-01-09 05:52:10.915966,1073,312,901,1901,1144,0,0,0,921610,1372,682772,1058,S,13325,0,9,0,59,7,0,0,15,3331866624,39644,1,813444,39644,28149,5,0
2023-01-09 05:52:11.176368,1078,312,904,1942,1144,0,0,0,924076,1402,687651,1090,S,13329,0,9,0,62,7,0,0,15,3331866624,39644,1,813444,39661,28165,5,0
2023-01-09 05:52:11.426686,1088,312,906,1970,1147,0,0,0,926542,1432,692465,1121,S,13525,0,9,0,64,7,0,0,15,3331866624,39661,0,813444,39661,28165,5,0
2023-01-09 05:52:11.687709,1090,313,908,2013,1147,0,0,0,928942,1461,697411,1154,S,13526,0,9,0,64,7,0,0,15,3331866624,39661,0,813444,39661,28165,5,0
2023-01-09 05:52:11.958411,1097,313,911,2053,1147,0,0,0,931696,1495,702537,1189,S,13547,0,9,0,64,7,0,0,15,3331866624,39661,0,813444,39773,28258,5,0
2023-01-09 05:52:12.219762,1112,314,915,2075,1148,0,0,0,934384,1528,707418,1221,S,13557,0,9,0,73,7,0,0,15,3331866624,39773,0,813444,39773,28258,5,0
2023-01-09 05:52:12.480028,1123,314,917,2110,1148,0,0,0,936694,1556,712557,1257,S,13725,0,9,0,76,7,0,0,15,3331825664,39542,0,813434,39542,28346,5,0
2023-01-09 05:52:12.730298,1130,315,919,2148,1148,0,0,0,939094,1585,717438,1289,S,13728,0,9,0,79,7,0,0,15,3331825664,39542,1,813434,39542,28346,5,0
2023-01-09 05:52:12.995935,1133,315,920,2193,1149,0,0,0,941758,1618,722993,1326,S,13730,0,10,0,79,7,0,0,15,3331825664,39542,1,813434,39542,28346,5,0
2023-01-09 05:52:13.266100,1141,319,925,2217,1150,0,0,0,944356,1650,728506,1363,S,13735,0,10,0,79,7,0,0,15,3331825664,39542,1,813434,39542,28346,5,0
2023-01-09 05:52:13.539021,1149,321,928,2223,1152,0,0,0,947020,1683,734001,1399,R,13742,0,10,0,80,7,0,0,15,3331825664,39542,1,813434,39542,28346,5,0
2023-01-09 05:52:13.789350,1160,321,932,2232,1152,0,0,0,949976,1720,740095,1434,S,13749,0,10,0,84,8,0,0,15,3331825664,39542,0,813434,39542,28346,5,0
2023-01-09 05:52:14.062382,1168,321,933,2236,1152,0,0,0,951904,1743,744618,1462,S,13749,0,10,0,84,8,0,0,15,3331825664,39542,0,813434,39680,28393,5,0
2023-01-09 05:52:14.331728,1208,322,940,2240,1152,0,0,0,954866,1779,751085,1500,S,13852,0,10,0,89,9,0,0,15,3331825664,39680,1,813434,39680,28393,5,0
2023-01-09 05:52:14.590410,1220,322,942,2240,1153,0,0,0,956482,1798,755320,1527,S,13852,0,10,0,89,9,0,0,15,3331825664,39680,1,813434,39680,28393,5,0
2023-01-09 05:52:14.830525,1222,322,945,2268,1153,0,0,0,958792,1826,759868,1555,S,13852,0,10,0,89,10,0,0,15,3331825664,39680,1,813434,39675,28393,5,0
2023-01-09 05:52:15.096187,1238,323,947,2297,1153,0,0,0,961480,1859,765196,1593,S,13942,0,10,0,98,10,0,0,15,3331825664,39702,1,813434,39702,28420,5,0
2023-01-09 05:52:15.356659,1250,323,949,2327,1153,0,0,0,964300,1894,770303,1628,S,13947,0,10,0,102,10,0,0,15,3331825664,39702,0,813449,39741,28452,5,0
2023-01-09 05:52:15.627014,1296,323,954,2339,1154,0,0,0,967262,1930,776729,1665,S,14186,0,10,0,110,11,0,0,16,3332915200,39783,1,813700,39783,28452,5,0
2023-01-09 05:52:15.888114,1311,323,956,2340,1154,0,0,0,968518,1945,778974,1680,S,14186,0,10,0,110,11,0,0,16,3332915200,39783,0,813700,39783,28452,5,0
2023-01-09 05:52:16.171472,1336,323,960,2352,1154,0,0,0,971362,1980,784280,1717,S,14202,0,10,0,110,11,0,0,16,3332915200,39783,0,813715,39783,28452,5,0
2023-01-09 05:52:16.439404,1362,323,963,2363,1154,0,0,0,974630,2021,791784,1755,S,14267,0,10,0,114,12,0,0,16,3332915200,39820,1,813700,39914,28484,5,0
2023-01-09 05:52:16.684570,1398,324,965,2365,1154,0,0,0,976808,2047,795266,1784,S,14323,0,10,0,121,13,0,0,16,3332915200,39914,0,813700,39934,28484,5,0
