#cota.android.coloreffects
#./workspace/cota.android.coloreffects_0/cota.android.coloreffects.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 07:31:17.269396,924,320,915,1780,1124,0,0,0,1089171,1451,670666,1046,D,12968,0,190,0,12,7,0,0,36,3361509376,42593,1,820870,43840,34731,5,0
2023-01-09 07:31:17.795550,940,322,922,1780,1124,0,0,0,1091782,1482,675589,1080,S,14491,0,200,0,13,10,0,0,37,3362283520,43840,1,820870,43840,34731,5,0
2023-01-09 07:31:17.535001,936,321,920,1780,1124,0,0,0,1091224,1475,673931,1071,S,14491,0,200,0,13,10,0,0,37,3362283520,43840,1,820870,43840,34731,5,0
2023-01-09 07:31:18.069415,943,323,924,1780,1124,0,0,0,1094688,1517,680592,1113,S,14497,0,200,0,13,10,0,0,37,3362283520,43840,1,820870,43567,34745,5,0
2023-01-09 07:31:18.329353,953,326,930,1780,1124,0,0,0,1097178,1547,686807,1148,S,14503,0,200,0,13,11,0,0,37,3362283520,43567,1,821591,44478,35585,5,0
2023-01-09 07:31:18.850763,965,327,934,1780,1124,0,0,0,1100672,1589,694836,1188,S,15569,0,211,0,14,13,0,0,37,3366563840,44668,1,821915,44761,35881,5,0
2023-01-09 07:31:18.577393,959,326,932,1780,1124,0,0,0,1100918,1592,696001,1192,S,15472,0,207,0,13,13,0,0,37,3365240832,44462,1,821915,44761,35881,5,0
2023-01-09 07:31:19.100867,969,329,938,1780,1124,0,0,0,1103418,1622,699526,1222,S,15641,0,215,0,14,14,0,0,37,3366563840,44761,1,821915,44761,35881,5,0
2023-01-09 07:31:19.356132,977,333,944,1780,1124,0,0,0,1106394,1659,704764,1258,S,15641,0,215,0,14,14,0,0,37,3366563840,44761,1,821877,44936,35944,5,0
2023-01-09 07:31:19.626811,982,334,948,1780,1124,0,0,0,1109697,1699,711734,1296,S,15773,0,216,0,14,15,0,0,37,3366408192,44936,1,823187,45256,36191,5,0
2023-01-09 07:31:19.883127,988,334,949,1780,1124,0,0,0,1110286,1706,713211,1304,S,15796,0,217,0,14,15,0,0,37,3366408192,44992,1,823461,45256,36190,5,0
2023-01-09 07:31:20.149036,993,336,954,1780,1124,0,0,0,1113188,1741,718738,1344,S,16236,0,223,0,18,15,0,0,41,3380043776,45338,1,825206,46047,36944,5,0
2023-01-09 07:31:20.414335,1000,337,959,1780,1124,0,0,0,1115994,1775,724959,1379,S,16269,0,223,0,19,15,0,0,41,3380043776,46047,1,825206,46128,36960,5,0
2023-01-09 07:31:20.664686,1009,339,962,1780,1124,0,0,0,1118829,1809,730652,1419,S,16494,0,223,0,21,15,0,0,41,3380043776,46194,1,825238,46691,37313,5,0
2023-01-09 07:31:20.919998,1014,339,964,1780,1124,0,0,0,1119518,1817,732369,1430,D,16761,0,223,0,23,15,0,0,41,3380174848,46381,1,825238,46691,37313,5,0
2023-01-09 07:31:21.193905,1041,343,969,1780,1124,0,0,0,1122258,1850,738740,1466,S,17318,0,223,0,25,15,0,0,41,3380174848,46691,1,825238,46691,37313,5,0
2023-01-09 07:31:21.459217,1057,347,973,1780,1124,0,0,0,1124252,1874,742085,1494,S,17318,0,223,0,26,15,0,0,41,3380174848,46691,1,825238,46700,37345,5,0
2023-01-09 07:31:21.718227,1078,357,981,1782,1124,0,0,0,1127138,1910,748217,1534,S,17545,0,223,0,28,15,0,0,41,3380174848,46701,0,825238,46701,37345,5,0
2023-01-09 07:31:21.997967,1096,363,986,1784,1125,0,0,0,1129340,1936,753035,1565,S,17570,0,223,0,28,15,0,0,41,3380174848,46701,0,825238,46716,37360,5,0
2023-01-09 07:31:22.237545,1101,364,989,1815,1125,0,0,0,1131896,1967,758945,1607,S,17761,0,224,0,29,15,0,0,41,3380174848,46718,0,825238,46718,37360,5,0
2023-01-09 07:31:22.487700,1106,365,992,1858,1125,0,0,0,1134848,2004,765286,1645,S,17774,0,224,0,30,15,0,0,41,3380174848,46718,0,825238,46718,37360,5,0
2023-01-09 07:31:22.753367,1109,365,994,1900,1125,0,0,0,1137272,2033,770458,1681,S,17803,0,224,0,30,15,0,0,41,3380174848,46745,0,825238,46745,37376,5,0
2023-01-09 07:31:23.013835,1113,366,996,1940,1129,0,0,0,1140026,2067,775630,1717,S,17803,0,224,0,31,15,0,0,41,3380174848,46745,0,825238,46745,37376,5,0
2023-01-09 07:31:23.284394,1117,366,999,1985,1130,0,0,0,1143176,2107,781773,1752,S,17804,0,224,0,32,15,0,0,41,3380174848,46745,0,825238,46690,37376,5,0
2023-01-09 07:31:23.555080,1121,367,1001,2027,1130,0,0,0,1145798,2139,786882,1787,S,17805,0,224,0,32,15,0,0,41,3380174848,46690,0,825238,46692,37377,5,0
2023-01-09 07:31:23.805282,1125,367,1004,2065,1131,0,0,0,1148264,2169,791967,1822,S,17862,0,225,0,33,15,0,0,41,3380174848,46708,1,825238,46708,37393,5,0
2023-01-09 07:31:24.065780,1133,372,1009,2091,1135,0,0,0,1150928,2202,796740,1853,S,17862,0,225,0,34,15,0,0,41,3380174848,46708,0,825238,46708,37393,5,0
2023-01-09 07:31:24.326282,1141,381,1020,2093,1145,0,0,0,1153394,2232,801645,1886,S,17948,0,225,0,34,15,0,0,41,3380174848,46737,0,825238,46737,37422,5,0
2023-01-09 07:31:24.586746,1145,382,1024,2135,1145,0,0,0,1156388,2270,806466,1917,S,17948,0,225,0,35,15,0,0,41,3380174848,46737,1,825238,46738,37422,5,0
2023-01-09 07:31:24.831926,1150,387,1026,2160,1146,0,0,0,1158830,2300,811438,1951,S,17990,0,225,0,35,16,0,0,41,3380174848,46738,1,825238,46738,37422,5,0
2023-01-09 07:31:25.118464,1161,391,1030,2165,1147,0,0,0,1161074,2327,816014,1979,S,17992,0,225,0,35,16,0,0,41,3380174848,46738,0,825238,46738,37422,5,0
2023-01-09 07:31:25.368693,1178,391,1034,2175,1147,0,0,0,1163804,2361,822335,2017,S,18120,0,225,0,36,16,0,0,41,3380174848,46739,0,825238,46739,37422,5,0
2023-01-09 07:31:25.623754,1194,392,1038,2185,1147,0,0,0,1166874,2399,828587,2052,S,18129,0,225,0,38,17,0,0,41,3380174848,46739,0,825238,46739,37422,5,0
2023-01-09 07:31:25.899291,1223,394,1040,2185,1147,0,0,0,1168490,2418,831524,2075,S,18129,0,225,0,38,17,0,0,41,3380174848,46739,0,825238,46739,37422,5,0
2023-01-09 07:31:26.157566,1228,398,1043,2207,1147,0,0,0,1171088,2450,836544,2109,S,18129,0,225,0,38,17,0,0,41,3380174848,46739,0,825238,46739,37422,5,0
2023-01-09 07:31:26.418070,1231,399,1045,2251,1147,0,0,0,1173752,2483,841498,2142,S,18130,0,225,0,38,18,0,0,41,3380174848,46739,1,825238,46728,37437,5,0
2023-01-09 07:31:26.668256,1233,399,1047,2291,1147,0,0,0,1176440,2516,846834,2180,S,18131,0,225,0,38,18,0,0,41,3380174848,46728,0,825238,46728,37437,5,0
2023-01-09 07:31:26.949382,1261,400,1052,2317,1147,0,0,0,1179194,2550,851878,2214,S,18296,0,225,0,40,19,0,0,41,3380174848,46761,0,825238,46761,37469,5,0
2023-01-09 07:31:27.207833,1273,400,1053,2337,1147,0,0,0,1181792,2582,856610,2244,S,18296,0,225,0,40,20,0,0,41,3380174848,46761,0,825238,46761,37469,5,0
2023-01-09 07:31:27.475116,1291,400,1058,2365,1147,0,0,0,1184810,2620,861720,2279,S,18388,0,225,0,42,20,0,0,41,3380174848,46762,0,825238,46763,37469,5,0
2023-01-09 07:31:27.732855,1315,401,1061,2368,1147,0,0,0,1187328,2650,866698,2312,S,18455,0,225,0,43,20,0,0,41,3380174848,46779,0,825238,46779,37485,5,0
