#de.bwulfert.suchecker
#./workspace/de.bwulfert.suchecker_0/de.bwulfert.suchecker.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-08 23:13:23.567583,767,236,770,630,1162,0,0,0,729336,1131,636643,947,S,15375,0,201,0,34,13,0,0,39,3376562176,49942,1,826825,51988,37924,5,0
2023-01-08 23:13:23.843555,773,236,771,630,1162,0,0,0,730767,1148,638913,962,S,16404,0,205,0,40,16,0,0,39,3379560448,50947,1,827392,53130,38950,5,0
2023-01-08 23:13:24.106998,795,240,777,630,1162,0,0,0,735944,1210,649410,1020,S,18124,0,216,0,78,22,0,0,41,3389128704,53211,1,827488,52164,38966,5,0
2023-01-08 23:13:24.367192,795,240,777,630,1162,0,0,0,734693,1195,647338,1008,S,18090,0,216,0,69,22,0,0,41,3388997632,53130,1,827488,52164,38966,5,0
2023-01-08 23:13:24.630370,806,241,779,630,1162,0,0,0,739669,1254,658448,1066,S,18189,0,216,0,92,25,0,0,41,3389390848,52164,1,827488,52173,38973,5,0
2023-01-08 23:13:24.902628,825,243,782,630,1162,0,0,0,740435,1263,661196,1075,S,18193,0,216,0,104,27,0,0,41,3389390848,52164,1,827488,52173,38973,5,0
2023-01-08 23:13:25.152639,831,243,784,630,1162,0,0,0,741316,1273,662745,1083,S,18193,0,216,0,110,27,0,0,41,3389390848,52164,1,827488,52173,38973,5,0
2023-01-08 23:13:25.423466,842,244,787,630,1162,0,0,0,744917,1316,670138,1127,S,18194,0,216,0,124,30,0,0,41,3389390848,52164,1,827488,52163,38973,5,0
2023-01-08 23:13:25.948414,854,245,791,630,1162,0,0,0,747652,1348,675838,1157,S,18194,0,216,0,150,35,0,0,41,3389390848,52170,1,827488,52163,38973,5,0
2023-01-08 23:13:25.689418,845,244,788,630,1162,0,0,0,746064,1330,673561,1142,S,18194,0,216,0,136,32,0,0,41,3389390848,52173,1,827488,52163,38973,5,0
2023-01-08 23:13:26.218751,869,245,793,630,1162,0,0,0,748767,1361,677682,1167,S,18194,0,216,0,151,36,0,0,41,3389390848,52168,1,827488,52163,38973,5,0
2023-01-08 23:13:26.473912,875,246,795,630,1162,0,0,0,752566,1407,684558,1206,S,18194,0,216,0,172,40,0,0,41,3389390848,52163,1,827520,52163,38973,5,0
2023-01-08 23:13:26.740523,884,248,797,630,1162,0,0,0,754876,1435,689008,1233,S,18194,0,216,0,178,41,0,0,41,3389390848,52163,1,827520,52163,38973,5,0
2023-01-08 23:13:27.013154,889,248,798,630,1162,0,0,0,757234,1463,695024,1265,S,18213,0,216,0,193,47,0,0,41,3389521920,52163,1,827520,52086,38973,5,0
2023-01-08 23:13:27.282729,900,249,801,630,1162,0,0,0,759214,1486,698564,1292,S,18213,0,216,0,203,49,0,0,41,3389521920,52086,1,827520,52086,38973,5,0
2023-01-08 23:13:27.534295,906,250,803,630,1162,0,0,0,760588,1502,701624,1305,S,18213,0,216,0,212,51,0,0,41,3389521920,52086,1,827520,52066,38973,5,0
2023-01-08 23:13:27.800917,915,250,804,630,1162,0,0,0,761991,1519,705161,1320,S,18214,0,216,0,225,53,0,0,41,3389521920,52067,1,827520,52065,38973,5,0
2023-01-08 23:13:28.315292,938,253,810,630,1162,0,0,0,766383,1572,713452,1380,S,18215,0,216,0,257,55,0,0,41,3389521920,52061,1,827520,52037,38973,5,0
2023-01-08 23:13:28.051276,924,251,807,630,1162,0,0,0,766383,1572,713452,1380,S,18214,0,216,0,243,53,0,0,41,3389521920,52065,1,827520,52037,38973,5,0
2023-01-08 23:13:28.569608,951,254,813,630,1162,0,0,0,770829,1625,723485,1432,S,18217,0,216,0,276,58,0,0,41,3389521920,52037,1,827520,52037,38973,5,0
2023-01-08 23:13:28.829039,954,254,814,630,1162,0,0,0,771690,1635,726198,1439,S,18217,0,216,0,283,59,0,0,41,3389521920,52037,1,827520,52033,38973,5,0
2023-01-08 23:13:29.357436,970,255,818,630,1162,0,0,0,775047,1676,730333,1473,S,18218,0,216,0,304,63,0,0,41,3389521920,52033,1,827520,52033,38973,5,0
2023-01-08 23:13:29.090668,968,255,818,630,1162,0,0,0,775515,1682,731720,1480,S,18218,0,216,0,296,62,0,0,41,3389521920,52037,1,827520,52033,38973,5,0
2023-01-08 23:13:29.618111,995,255,822,630,1162,0,0,0,779653,1731,741047,1534,S,18223,0,216,0,333,68,0,0,41,3389521920,52033,1,827520,52213,39104,5,0
2023-01-08 23:13:29.883943,997,255,822,630,1162,0,0,0,779842,1733,741203,1536,S,18271,0,217,0,343,70,0,0,41,3389521920,52033,1,827520,52213,39104,5,0
