#de.dirkamsink.birthdaycalendar.free
#./workspace/de.dirkamsink.birthdaycalendar.free_0/de.dirkamsink.birthdaycalendar.free.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 00:16:49.900164,534,126,649,823,851,0,0,0,117985,452,571251,648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:49.623966,540,126,650,823,851,0,0,0,118953,463,573009,659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:50.155076,541,127,651,823,851,0,0,0,120383,480,575398,677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:50.424278,549,131,657,823,851,0,0,0,125281,538,589155,735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:50.684830,561,132,661,823,851,0,0,0,128330,574,598895,773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:50.965218,570,133,663,823,851,0,0,0,129522,587,600504,783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:51.202207,586,134,666,823,851,0,0,0,133494,633,609751,823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:16:51.483445,602,134,670,823,851,0,0,0,134598,646,612744,835,D,5523,0,9,0,10,3,0,0,37,3331776512,35647,1,816284,40158,33632,5,0
2023-01-09 00:16:51.748330,607,135,671,823,851,0,0,0,139426,703,622315,889,S,8233,0,34,0,13,6,0,0,38,3343499264,40158,1,816284,40158,33632,5,0
2023-01-09 00:16:51.993293,621,135,675,823,851,0,0,0,138262,689,619809,876,S,8242,0,37,0,13,6,0,0,38,3343499264,40158,1,816284,40158,33632,5,0
