#greatestlove.quotes
#./workspace/greatestlove.quotes_0/greatestlove.quotes.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-30 19:43:13.215942,1118,324,739,3980,1875,0,0,0,2360142,1898,591845,716,S,21860,1654,311,0,49,16,1,2,62,3482230784,59938,0,850447,60045,43105,5,0
2022-11-30 19:43:13.501185,1154,325,750,3982,1880,0,0,0,2362920,1932,598296,753,S,21897,1654,311,0,64,20,1,2,62,3483582464,60045,0,851215,60866,43855,5,0
2022-11-30 19:43:13.741976,1181,326,760,3985,1880,0,0,0,2365584,1965,603301,786,S,23450,1654,314,0,71,22,1,2,62,3493732352,61780,1,862972,68658,45102,5,0
2022-11-30 19:43:14.023211,1206,327,770,3992,1881,0,0,0,2368182,1997,608083,816,S,31427,1654,326,0,82,24,1,2,65,3538952192,69825,1,864739,70687,45926,5,0
2022-11-30 19:43:14.293564,1225,327,773,4034,1882,0,0,0,2371110,2034,612991,846,S,32398,1654,330,0,99,26,1,2,65,3541970944,70733,1,864739,70733,45971,5,0
2022-11-30 19:43:14.543644,1227,327,775,4098,1882,0,0,0,2373750,2067,619003,880,S,32398,1654,330,0,100,26,1,2,65,3541970944,70733,1,864739,70737,45969,5,0
2022-11-30 19:43:14.803959,1228,327,776,4169,1882,0,0,0,2376636,2103,624207,916,S,32543,1654,331,0,101,26,1,2,65,3541970944,69036,1,864739,69036,45981,5,0
2022-11-30 19:43:15.069611,1230,327,778,4244,1884,0,0,0,2379588,2140,629255,950,S,32626,1654,331,0,102,26,1,2,65,3541970944,69036,1,864739,69036,45981,5,0
2022-11-30 19:43:15.316432,1232,327,780,4305,1884,0,0,0,2381898,2168,634321,984,S,32627,1654,331,0,102,26,1,2,65,3541970944,69036,0,864739,69054,45997,5,0
2022-11-30 19:43:15.577114,1233,327,783,4381,1885,0,0,0,2384160,2196,638847,1012,S,32829,1654,331,0,103,26,1,2,65,3538694144,69074,0,863939,69074,45993,5,0
