#griefapp.conversion
#./workspace/griefapp.conversion_0/griefapp.conversion.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-28 21:22:57.104357,1072,292,745,4384,1354,0,0,0,546710,660,599950,617,R,9047,0,306,0,14,9,0,0,38,3349176320,42455,1,818526,43078,35895,5,0
2022-11-28 21:22:57.364974,1090,293,756,4413,1361,0,0,0,550358,705,607667,666,S,9174,0,316,0,15,11,0,0,40,3352682496,43078,1,818526,43078,35895,5,0
2022-11-28 21:22:57.630416,1106,293,760,4467,1361,0,0,0,553286,742,612738,699,S,9231,0,317,0,16,11,0,0,40,3352711168,43275,2,818531,43349,36126,5,0
2022-11-28 21:22:57.889271,1124,293,765,4513,1362,0,0,0,556124,778,617292,726,S,9234,0,317,0,16,11,0,0,40,3352702976,43349,1,818531,43349,36126,5,0
2022-11-28 21:22:58.152336,1134,293,768,4578,1362,0,0,0,558854,812,622158,757,S,9254,0,317,0,17,11,0,0,40,3352702976,43274,2,818531,43606,36374,5,0
2022-11-28 21:22:58.407711,1142,293,770,4632,1364,0,0,0,561740,848,627156,790,S,9529,0,319,0,18,12,0,0,40,3354800128,43749,0,819631,44450,37071,5,0
2022-11-28 21:22:58.689221,1170,293,774,4668,1365,0,0,0,564356,881,631729,818,S,10338,0,321,0,20,12,0,0,40,3354931200,44015,2,819203,44093,36666,5,0
2022-11-28 21:22:58.958748,1196,295,781,4695,1365,0,0,0,567086,915,636680,851,S,10991,0,322,0,25,13,0,0,40,3355435008,44049,1,819198,44049,36698,5,0
2022-11-28 21:22:59.203101,1209,295,785,4739,1366,0,0,0,569816,949,642734,885,S,10991,0,322,0,25,13,0,0,40,3355435008,44049,1,819198,44049,36698,5,0
2022-11-28 21:22:59.468383,1213,295,787,4801,1368,0,0,0,572678,985,647619,917,S,11053,0,322,0,25,13,0,0,40,3355435008,44049,1,819198,44049,36698,5,0
2022-11-28 21:22:59.723743,1215,296,788,4881,1368,0,0,0,574940,1013,652012,943,S,11086,0,322,0,26,14,0,0,40,3355435008,44049,1,819198,44049,36698,5,0
2022-11-28 21:22:59.989237,1221,296,789,4951,1368,0,0,0,577694,1047,657431,981,S,11088,0,322,0,26,14,0,0,40,3355435008,44051,0,819198,44051,36698,5,0
2022-11-28 21:23:00.249562,1222,296,791,5024,1368,0,0,0,580580,1083,662958,1021,S,11088,0,322,0,26,14,0,0,40,3355435008,44051,2,819230,44068,36713,5,0
2022-11-28 21:23:00.510170,1225,296,793,5096,1368,0,0,0,583286,1117,668325,1055,S,11318,0,322,0,26,14,0,0,40,3355566080,44068,2,819230,44068,36713,5,0
2022-11-28 21:23:00.791685,1235,297,795,5165,1368,0,0,0,586016,1151,674029,1093,S,11332,0,322,0,27,14,0,0,40,3355566080,44075,2,819262,44075,36712,5,0
2022-11-28 21:23:01.036738,1245,297,797,5217,1368,0,0,0,588524,1182,679308,1126,S,11363,0,322,0,28,14,0,0,40,3355697152,44092,2,819262,44092,36712,5,0
2022-11-28 21:23:01.302232,1249,297,799,5289,1368,0,0,0,591098,1214,685432,1161,S,11373,0,322,0,28,14,0,0,40,3355697152,44072,1,819262,44072,36712,5,0
2022-11-28 21:23:01.562748,1251,297,802,5355,1369,0,0,0,593762,1247,690501,1195,S,11373,0,322,0,28,14,0,0,40,3355697152,44072,1,819262,44072,36712,5,0
2022-11-28 21:23:01.828297,1253,297,804,5428,1369,0,0,0,596516,1281,695726,1231,S,11373,0,322,0,28,14,0,0,40,3355697152,44072,1,819262,44072,36712,5,0
2022-11-28 21:23:02.091225,1265,298,810,5481,1369,0,0,0,599336,1316,700927,1266,S,11380,0,322,0,28,14,0,0,40,3355697152,44072,1,819262,44169,36761,5,0
2022-11-28 21:23:02.356323,1282,300,815,5507,1371,0,0,0,602000,1349,706029,1301,R,11469,0,322,0,30,14,0,0,40,3355697152,44169,1,819262,44169,36761,5,0
2022-11-28 21:23:02.601520,1304,300,821,5525,1371,0,0,0,604490,1379,711668,1338,S,11469,0,322,0,31,14,0,0,40,3355697152,44169,1,819262,44169,36761,5,0
2022-11-28 21:23:02.882568,1330,300,825,5561,1371,0,0,0,606998,1410,717193,1374,S,11525,0,322,0,31,15,0,0,40,3355881472,44233,2,819262,44217,36761,5,0
2022-11-28 21:23:03.152998,1358,300,830,5590,1371,0,0,0,609374,1439,722430,1406,S,11572,0,322,0,32,15,0,0,40,3355697152,44217,2,819262,44217,36761,5,0
2022-11-28 21:23:03.407997,1365,300,834,5651,1371,0,0,0,611996,1471,728716,1442,S,11572,0,322,0,32,15,0,0,40,3355697152,44217,2,819262,44217,36761,5,0
2022-11-28 21:23:03.673615,1368,300,835,5719,1371,0,0,0,614882,1507,733653,1474,S,11631,0,322,0,32,15,0,0,40,3355697152,44218,0,819262,44218,36761,5,0
2022-11-28 21:23:03.928928,1371,301,837,5791,1371,0,0,0,617564,1541,738164,1501,S,11683,0,322,0,33,15,0,0,40,3355881472,44218,0,819262,44259,36793,5,0
2022-11-28 21:23:04.203297,1392,301,841,5838,1371,0,0,0,619874,1569,744108,1534,S,11876,0,322,0,33,16,0,0,40,3355697152,44259,2,819262,44259,36793,5,0
2022-11-28 21:23:04.448276,1398,301,843,5894,1371,0,0,0,622184,1597,749199,1569,S,11876,0,322,0,33,16,0,0,40,3355697152,44259,1,819307,44279,36811,5,0
