#hastingsfirstchoice.app
#./workspace/hastingsfirstchoice.app_0/hastingsfirstchoice.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-07 20:20:18.863167,662,118,662,1531,802,0,0,0,39952,362,586571,646,Z,7748,0,350,0,8,11,0,0,2,0,0,1,-1,-1,-1,-1,-1
2023-01-07 20:20:19.139009,671,119,665,1531,802,0,0,0,42040,387,590647,672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:19.399287,677,121,668,1531,802,0,0,0,44268,413,594962,699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:19.899584,694,126,675,1531,805,0,0,0,49428,475,610295,760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:19.670670,693,126,675,1531,805,0,0,0,50232,484,611084,769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:20.165254,698,127,676,1531,805,0,0,0,50298,485,611084,769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:20.424394,709,128,680,1531,805,0,0,0,56374,556,625568,836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:20.684901,725,128,685,1531,805,0,0,0,57303,567,628855,849,S,8508,0,3,0,11,5,0,0,39,3349397504,40304,0,817788,40480,33966,5,0
2023-01-07 20:20:20.962734,729,128,686,1531,805,0,0,0,58610,582,632144,866,S,8514,0,3,0,11,5,0,0,39,3349397504,40304,0,817756,40480,33966,5,0
2023-01-07 20:20:21.202778,736,129,688,1531,805,0,0,0,61970,623,644989,910,S,8535,0,3,0,12,5,0,0,39,3349397504,40304,0,818174,41029,34529,5,0
2023-01-07 20:20:21.454712,747,130,694,1531,805,0,0,0,63245,638,647142,924,S,8709,0,12,0,14,5,0,0,39,3350843392,40681,0,818174,41313,34768,5,0
2023-01-07 20:20:21.715168,759,131,699,1531,805,0,0,0,66037,673,654614,962,S,9056,0,16,0,15,6,0,0,39,3351240704,41313,0,818895,42134,35521,5,0
2023-01-07 20:20:21.990979,779,133,707,1531,805,0,0,0,69401,714,661484,1004,D,9972,0,16,0,19,8,0,0,39,3354193920,42335,0,820768,42263,35648,5,0
2023-01-07 20:20:22.251648,790,136,714,1531,805,0,0,0,71177,735,664419,1027,S,10372,0,18,0,20,8,0,0,39,3361865728,42373,0,820768,43025,36398,5,0
2023-01-07 20:20:22.498297,817,145,723,1531,805,0,0,0,73709,766,669353,1061,S,10704,0,18,0,22,9,0,0,39,3361865728,43025,0,820768,43042,36414,5,0
2023-01-07 20:20:22.768066,826,150,731,1531,805,0,0,0,76147,796,674023,1091,S,10780,0,18,0,23,9,0,0,39,3361865728,43042,0,820768,43058,36429,5,0
2023-01-07 20:20:23.010945,834,162,742,1531,805,0,0,0,78769,828,678784,1122,S,10910,0,19,0,23,9,0,0,40,3362955264,43061,0,821034,43061,36429,5,0
2023-01-07 20:20:23.266456,845,176,751,1531,806,0,0,0,81301,859,683546,1153,S,10911,0,19,0,24,9,0,0,40,3362955264,43061,0,821034,43077,36445,5,0
2023-01-07 20:20:23.518236,858,186,762,1531,806,0,0,0,84283,895,689189,1194,S,10943,0,20,0,24,9,0,0,40,3362955264,43077,0,-1,-1,-1,-1,-1
2023-01-07 20:20:23.778644,963,196,789,1531,806,0,0,0,92534,993,706183,1280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:24.034178,952,195,784,1531,806,0,0,0,93815,1008,710335,1294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:24.294515,963,196,790,1531,806,0,0,0,91780,984,704706,1272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:24.820802,1009,199,803,1531,806,0,0,0,96434,1039,717648,1330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:24.560222,965,197,791,1531,806,0,0,0,97728,1054,719731,1345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-07 20:20:25.858091,1105,207,827,1531,806,0,0,0,104794,1137,735379,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
