#jojo.widget.mood
#./workspace/jojo.widget.mood_0/app1860.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-23 16:00:55.076692,1052,292,757,3461,1230,0,0,0,416897,549,568823,631,S,5857,5161,48,0,9,8,7,3,24,1141305344,28275,2,278907,28224,24009,5,0
2022-11-23 16:00:55.343921,1081,297,767,3464,1231,0,0,0,419249,578,574606,662,S,6706,5161,48,0,13,9,7,3,25,1142403072,28224,2,278907,28224,24009,5,0
2022-11-23 16:00:55.600086,1097,301,772,3464,1231,0,0,0,421985,611,581001,698,S,6706,5161,48,0,13,9,7,3,25,1142403072,28224,2,278907,28224,24009,5,0
2022-11-23 16:00:55.870453,1113,320,781,3474,1231,0,0,0,424295,639,585822,729,S,6742,5161,48,0,14,9,7,3,25,1142403072,28299,2,278907,28299,24039,5,0
2022-11-23 16:00:56.110511,1134,324,789,3479,1232,0,0,0,426629,667,590878,762,S,6757,5161,49,0,14,10,7,3,25,1142403072,28299,2,278907,28299,24039,5,0
2022-11-23 16:00:56.373804,1166,329,795,3493,1232,0,0,0,429095,697,595658,792,S,6761,5161,49,0,15,10,7,3,25,1142403072,28299,2,278907,28299,24039,5,0
2022-11-23 16:00:56.640063,1173,329,798,3557,1232,0,0,0,431603,728,600414,822,S,7546,5161,49,0,15,10,7,3,25,1145356288,29157,2,279628,29388,25066,5,0
2022-11-23 16:00:56.899804,1193,329,801,3611,1234,0,0,0,434111,759,605174,852,S,7762,5161,52,0,17,10,7,3,25,1145356288,29542,0,279628,29542,25196,5,0
2022-11-23 16:00:57.154925,1210,329,805,3631,1234,0,0,0,436709,791,610086,884,S,7763,5161,52,0,17,10,7,3,25,1145356288,29542,2,279628,29542,25196,5,0
2022-11-23 16:00:57.425730,1230,330,809,3681,1235,0,0,0,439103,821,615651,912,S,7937,5161,52,0,20,10,7,3,25,1145356288,29615,1,279628,29615,25257,5,0
2022-11-23 16:00:57.690168,1248,330,811,3713,1235,0,0,0,441635,852,620719,946,S,7967,5161,52,0,20,10,7,3,25,1145356288,29758,2,279628,29758,25351,5,0
2022-11-23 16:00:57.945418,1252,330,812,3784,1235,0,0,0,444455,887,625703,978,S,7967,5161,52,0,21,10,7,3,25,1145356288,29758,1,279628,29758,25351,5,0
2022-11-23 16:00:58.205832,1254,330,814,3859,1235,0,0,0,446831,916,630459,1008,S,8044,5161,52,0,21,10,7,3,25,1145356288,29853,1,279628,29853,25445,5,0
2022-11-23 16:00:58.471384,1255,330,815,3931,1235,0,0,0,449363,947,635438,1041,S,8175,5161,52,0,22,10,7,3,25,1145487360,29919,0,279660,29919,25509,5,0
2022-11-23 16:00:58.721515,1259,331,817,3994,1235,0,0,0,452269,983,640753,1078,S,8179,5161,52,0,22,11,7,3,25,1145487360,29919,0,279660,29919,25509,5,0
2022-11-23 16:00:58.982079,1259,331,819,4069,1235,0,0,0,454777,1014,645643,1110,S,8186,5161,52,0,22,11,7,3,25,1145487360,29919,2,279660,29919,25509,5,0
2022-11-23 16:00:59.242486,1264,331,821,4144,1235,0,0,0,457705,1051,650689,1144,S,8187,5161,52,0,22,11,7,3,25,1145487360,29919,1,279660,29919,25509,5,0
2022-11-23 16:00:59.520931,1267,331,824,4213,1235,0,0,0,460591,1087,655874,1179,S,8189,5161,52,0,23,11,7,3,25,1145487360,29919,0,279660,29919,25509,5,0
2022-11-23 16:00:59.776199,1270,331,827,4279,1235,0,0,0,463387,1122,660879,1212,S,8193,5161,52,0,23,11,7,3,25,1145487360,29919,0,279660,29919,25509,5,0
2022-11-23 16:01:00.036588,1274,331,830,4341,1237,0,0,0,466249,1158,666016,1247,S,8194,5161,52,0,24,11,7,3,25,1145487360,30002,0,279660,30002,25584,5,0
2022-11-23 16:01:00.296955,1275,331,831,4419,1237,0,0,0,468757,1189,670973,1280,S,8194,5161,52,0,24,11,7,3,25,1145487360,29986,2,279660,29986,25584,5,0
2022-11-23 16:01:00.567526,1290,331,835,4479,1238,0,0,0,471643,1225,676068,1314,S,9627,5161,55,0,26,12,7,3,25,1150865408,31367,0,280973,31367,26817,5,0
2022-11-23 16:01:00.822946,1315,332,840,4485,1238,0,0,0,474241,1257,680827,1344,S,9642,5161,56,0,27,12,7,3,25,1150865408,31367,0,281357,31623,26873,5,0
2022-11-23 16:01:01.078132,1331,338,846,4505,1238,0,0,0,476905,1290,685677,1375,S,10370,5161,56,0,29,12,7,3,25,1152438272,31756,1,280172,30611,25718,5,0
2022-11-23 16:01:01.349943,1367,339,852,4511,1239,0,0,0,479305,1319,691786,1409,S,10380,5161,56,0,30,13,7,3,25,1147584512,30611,2,280172,30611,25718,5,0
2022-11-23 16:01:01.604236,1388,339,857,4527,1239,0,0,0,481639,1347,696612,1440,R,10845,5161,56,0,32,14,7,3,25,1149202432,31047,0,281357,31837,26874,5,0
2022-11-23 16:01:01.863805,1415,339,864,4533,1239,0,0,0,483727,1372,701648,1474,S,11640,5161,56,0,33,15,7,3,25,1152438272,31837,2,280300,30756,25717,5,0
2022-11-23 16:01:02.130410,1441,339,871,4543,1239,0,0,0,485881,1398,706228,1502,S,11744,5161,56,0,34,15,7,3,25,1148108800,30756,2,280300,30756,25717,5,0
2022-11-23 16:01:02.375406,1467,339,877,4565,1239,0,0,0,488413,1429,711324,1536,S,11786,5161,57,0,35,15,7,3,25,1148108800,30756,2,280300,30756,25717,5,0
2022-11-23 16:01:02.637503,1485,339,880,4606,1239,0,0,0,490921,1460,716630,1569,S,11799,5161,57,0,35,16,7,3,25,1148108800,30771,2,280300,30771,25732,5,0
2022-11-23 16:01:02.892907,1488,339,882,4670,1239,0,0,0,493585,1493,722266,1606,S,11799,5161,57,0,35,16,7,3,25,1148108800,30771,2,280300,30804,25764,5,0
2022-11-23 16:01:03.175505,1511,340,885,4727,1240,0,0,0,495961,1522,728873,1643,S,12032,5161,57,0,38,16,7,3,25,1148108800,30849,2,280300,30849,25796,5,0
2022-11-23 16:01:03.433224,1537,340,890,4741,1240,0,0,0,498535,1554,733765,1675,S,12032,5161,57,0,38,16,7,3,25,1148108800,30849,0,280300,30849,25796,5,0
2022-11-23 16:01:03.675013,1559,340,893,4768,1240,0,0,0,501133,1586,738705,1707,S,12059,5161,57,0,39,16,7,3,25,1148108800,30865,2,280379,30551,25890,5,0
2022-11-23 16:01:03.933124,1584,340,898,4799,1240,0,0,0,503617,1617,743457,1737,S,12267,5161,57,0,42,16,7,3,26,1149288448,30473,1,280588,30473,25812,5,0
2022-11-23 16:01:04.213745,1612,343,907,4809,1241,0,0,0,505837,1644,748101,1766,S,12268,5161,57,0,42,16,7,3,26,1149288448,30473,1,280588,30473,25812,5,0
2022-11-23 16:01:04.458905,1634,344,910,4812,1241,0,0,0,508081,1671,753423,1800,S,12268,5161,57,0,42,16,7,3,26,1149288448,30473,1,280588,30473,25812,5,0
2022-11-23 16:01:04.730793,1655,345,917,4828,1241,0,0,0,510613,1702,759039,1837,S,12268,5161,57,0,42,16,7,3,26,1149288448,30473,1,280588,30473,25812,5,0
