#lt.paslaugos.app
#./workspace/lt.paslaugos.app_0/lt.paslaugos.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 00:48:07.590227,912,315,888,1712,1240,0,0,0,2393043,2107,619462,888,S,16163,0,195,0,45,15,0,0,52,3473215488,51368,0,849214,52994,38189,5,0
2023-01-09 00:48:07.857749,921,316,893,1712,1242,0,0,0,2396969,2155,630571,949,S,20273,0,206,0,62,20,0,0,52,3489996800,55807,0,853414,56698,40669,5,0
2023-01-09 00:48:08.133697,934,317,900,1712,1242,0,0,0,2399367,2183,635229,975,S,21090,0,206,0,66,20,0,0,53,3495419904,56697,0,853414,56717,40844,5,0
2023-01-09 00:48:08.387180,934,317,900,1712,1242,0,0,0,2400616,2198,638494,990,S,21087,0,206,0,66,20,0,0,53,3495387136,56531,0,853414,56717,40844,5,0
2023-01-09 00:48:08.652735,942,319,905,1712,1242,0,0,0,2402515,2221,642699,1013,S,21125,0,207,0,68,20,0,0,53,3495583744,56717,0,853414,56806,40931,5,0
2023-01-09 00:48:08.910028,950,320,909,1712,1242,0,0,0,2404315,2242,645823,1037,S,21131,0,209,0,70,21,0,0,53,3495583744,56717,0,853414,56287,40992,5,0
2023-01-09 00:48:09.160106,959,322,915,1712,1242,0,0,0,2406673,2270,653389,1076,S,21267,0,213,0,91,23,0,0,53,3495583744,56287,0,854567,56289,41055,5,0
2023-01-09 00:48:09.424528,961,324,918,1712,1242,0,0,0,2408667,2294,656758,1104,S,21735,0,213,0,92,24,0,0,53,3500310528,56305,0,861756,61541,41399,5,0
2023-01-09 00:48:09.688372,968,330,923,1712,1242,0,0,0,2411137,2324,661126,1130,S,27829,0,227,0,102,26,0,0,55,3534069760,62363,0,862826,63305,41522,5,0
2023-01-09 00:48:09.948967,981,336,928,1712,1242,0,0,0,2413603,2354,665893,1161,D,28907,0,228,0,119,26,0,0,55,3534135296,63305,0,862826,63306,41522,5,0
2023-01-09 00:48:10.208520,988,338,931,1712,1247,0,0,0,2415621,2378,670507,1190,S,29011,0,229,0,119,26,0,0,55,3534135296,63306,0,862826,63306,41522,5,0
2023-01-09 00:48:10.468801,996,346,939,1712,1263,0,0,0,2418309,2411,675390,1222,S,29099,0,230,0,119,27,0,0,55,3534135296,63306,1,862826,63306,41522,5,0
2023-01-09 00:48:10.729221,1008,360,949,1713,1267,0,0,0,2420973,2444,680209,1253,S,29360,0,230,0,120,27,0,0,55,3530858496,62303,1,862026,62303,41592,5,0
2023-01-09 00:48:10.989761,1027,371,956,1713,1267,0,0,0,2423391,2474,684578,1279,S,29366,0,230,0,121,27,0,0,55,3530858496,62303,1,862026,62303,41592,5,0
2023-01-09 00:48:11.264814,1045,381,964,1714,1269,0,0,0,2425791,2503,690584,1313,S,29459,0,230,0,121,28,0,0,55,3530858496,62304,1,862026,62304,41592,5,0
2023-01-09 00:48:11.529698,1066,388,968,1715,1269,0,0,0,2428521,2537,695379,1344,S,29578,0,230,0,122,28,0,0,55,3530858496,62304,1,862026,62274,41592,5,0
2023-01-09 00:48:11.788111,1076,404,974,1719,1270,0,0,0,2431275,2571,700330,1377,S,29619,0,230,0,123,28,0,0,55,3530858496,61914,1,862026,60476,41597,5,0
2023-01-09 00:48:12.053488,1090,412,980,1733,1273,0,0,0,2434113,2607,704945,1406,S,29663,0,230,0,123,28,0,0,55,3530858496,60476,1,862026,60476,41597,5,0
2023-01-09 00:48:12.303767,1094,417,983,1768,1274,0,0,0,2436513,2636,709938,1440,S,29688,0,230,0,123,28,0,0,55,3530858496,60476,0,862026,60492,41613,5,0
2023-01-09 00:48:12.569333,1100,417,986,1803,1276,0,0,0,2439333,2671,715069,1475,S,29717,0,231,0,123,29,0,0,55,3530858496,60492,1,862026,60507,41628,5,0
2023-01-09 00:48:12.824722,1106,418,989,1841,1276,0,0,0,2441667,2699,719888,1506,S,29771,0,232,0,123,30,0,0,55,3530858496,60507,1,862026,60507,41628,5,0
2023-01-09 00:48:13.080075,1109,418,991,1883,1276,0,0,0,2444487,2734,725019,1541,S,29771,0,232,0,123,30,0,0,55,3530858496,60507,1,862026,60507,41628,5,0
2023-01-09 00:48:13.335462,1112,419,994,1926,1276,0,0,0,2447217,2768,729971,1574,S,29857,0,232,0,124,30,0,0,55,3530858496,60510,0,862026,60510,41629,5,0
2023-01-09 00:48:13.606098,1114,420,996,1972,1279,0,0,0,2450037,2803,735037,1608,S,29857,0,232,0,125,30,0,0,55,3530858496,60510,1,862154,60553,41660,5,0
2023-01-09 00:48:13.866389,1126,421,1001,2004,1279,0,0,0,2452791,2837,740278,1645,S,30320,0,233,0,125,31,0,0,55,3531382784,60553,0,862154,60553,41660,5,0
2023-01-09 00:48:14.128752,1133,433,1007,2011,1280,0,0,0,2455455,2870,745297,1679,S,30397,0,233,0,125,32,0,0,55,3531382784,60553,1,862154,60553,41660,5,0
